year,month,date,arrival,min,max,modal
2024,April,05,0.05,5000,7000,6000
2024,March,26,0.06,6000,7500,7000
2024,February,27,0.10,7000,8000,7500
2015,November,05,0.15,4000,5000,4500
2015,December,04,0.20,6000,7000,6500
2023,December,14,0.20,8000,10000,9000
2016,April,30,0.21,3000,4000,3500
2015,October,05,0.24,7000,8000,7500
2016,January,28,0.25,3500,5000,4000
2016,January,07,0.25,4000,5000,4500
2015,November,28,0.25,7000,8000,7500
2015,October,27,0.25,7000,9000,8000
2015,September,26,0.25,8000,9000,8500
2015,November,20,0.28,6000,7000,6500
2017,March,18,0.30,2000,2500,2200
2017,February,06,0.30,3000,4000,3500
2016,May,27,0.30,3500,4000,3700
2016,May,14,0.30,3500,4000,3800
2023,November,23,0.30,8500,10000,9000
2015,October,28,0.30,17000,19000,18000
2015,October,26,0.32,6000,7000,6500
2017,February,14,0.35,3000,4000,3500
2016,January,13,0.35,3500,4000,3800
2015,November,03,0.35,7000,8000,7500
2015,September,29,0.35,7000,8000,7500
2015,October,30,0.35,7000,9000,8000
2015,September,22,0.35,7500,9000,8000
2016,January,11,0.36,4000,5000,4500
2015,September,30,0.36,6000,8000,7000
2017,April,18,0.40,2000,3000,2500
2019,March,02,0.40,3000,4000,3500
2016,May,16,0.40,3500,4000,3700
2016,May,18,0.40,3500,4000,3700
2016,May,20,0.40,3500,4000,3700
2016,May,24,0.40,3500,4000,3700
2016,May,26,0.40,3500,4000,3700
2016,July,21,0.40,3500,4000,3800
2016,May,23,0.40,3500,4000,3800
2016,June,27,0.40,3500,4000,3800
2015,November,02,0.40,7000,8000,7500
2015,November,10,0.43,5000,6000,5500
2015,September,18,0.45,7000,8000,7500
2016,April,06,0.46,2500,3000,2800
2015,November,26,0.46,5000,6000,5500
2017,February,04,0.50,2000,3000,2500
2017,April,11,0.50,2000,3000,2500
2017,March,17,0.50,2000,3000,2500
2024,March,09,0.50,2000,5000,3000
2017,April,17,0.50,2500,3000,2800
2017,March,28,0.50,2500,3000,2800
2016,May,17,0.50,3000,4000,3500
2016,October,04,0.50,3500,4000,3700
2016,May,13,0.50,3500,4000,3700
2016,November,23,0.50,3500,4000,3700
2016,October,13,0.50,3500,4000,3800
2017,January,25,0.50,3500,4000,3800
2016,October,25,0.50,3500,4000,3800
2016,October,26,0.50,3500,4000,3800
2017,January,30,0.50,3500,4000,3800
2016,November,01,0.60,3500,4000,3700
2015,September,21,0.65,8000,10000,9000
2017,March,23,3.00,2800,3000,2900
