year,month,date,arrival,min,max,modal
2024,April,05,0.05,6000,8000,7000
2024,March,26,0.07,5000,7000,6000
2015,November,05,0.10,2000,2500,2200
2015,September,26,0.15,3000,4000,3500
2015,December,04,0.20,2000,3000,2500
2016,May,14,0.20,3500,4000,3800
2024,February,27,0.20,4000,5000,4500
2015,October,05,0.22,3000,4000,3500
2015,September,29,0.25,3000,4000,3500
2016,January,28,0.28,2000,2500,2200
2016,January,07,0.29,1500,2500,2000
2016,May,16,0.30,3500,4000,3700
2016,May,26,0.30,3500,4000,3700
2016,May,27,0.30,3500,4000,3700
2023,December,14,0.30,4000,5000,4500
2016,June,27,0.30,5000,6000,5500
2015,October,27,0.32,3000,4000,3500
2015,October,07,0.34,3000,4000,3500
2015,November,03,0.35,2000,3000,2500
2017,February,14,0.35,2000,3000,2500
2015,October,28,0.35,2000,3000,2500
2015,October,30,0.35,2000,3000,2500
2016,April,30,0.35,5000,6000,5500
2016,January,11,0.36,1500,2500,2000
2015,November,10,0.38,2000,3000,2500
2016,January,13,0.39,2500,3000,2800
2015,September,22,0.40,2000,3000,2500
2016,May,18,0.40,3500,4000,3700
2016,May,20,0.40,3500,4000,3700
2016,May,24,0.40,3500,4000,3700
2016,May,23,0.40,3500,4000,3800
2015,November,26,0.42,2000,3000,2500
2016,April,06,0.43,3500,4000,3800
2015,November,02,0.45,2000,3000,2500
2023,November,23,0.45,3000,5000,4000
2015,September,30,0.48,2000,3000,2500
2017,March,28,0.50,1500,2000,1800
2017,April,18,0.50,1800,2500,2000
2017,February,04,0.50,2000,2500,2200
2017,April,12,0.50,2000,3000,2500
2015,November,28,0.50,2500,3500,3000
2016,October,04,0.50,3500,4000,3700
2016,May,13,0.50,3500,4000,3700
2016,October,13,0.50,3500,4000,3800
2017,January,25,0.50,3500,4000,3800
2016,October,25,0.50,3500,4000,3800
2016,October,26,0.50,3500,4000,3800
2017,January,30,0.50,3500,4000,3800
2016,May,17,0.60,5000,6000,5500
2016,November,23,0.60,5000,6000,5500
2015,September,21,0.72,2000,3000,2500
2016,November,01,0.80,3500,4000,3700
2024,March,09,1.00,3000,5000,3500
2017,March,23,2.00,1800,2000,1900
2017,April,17,3.00,1600,2000,1800
