year,month,date,arrival,min,max,modal
2019,May,13,0.04,6000,8000,7000
2024,April,05,0.05,3000,4500,4000
2024,March,26,0.05,6000,8000,7000
2024,February,27,0.05,6000,8000,7000
2016,May,14,0.05,9000,10000,9500
2016,May,18,0.05,10000,12000,11000
2019,May,07,0.08,6000,8000,7000
2015,November,03,0.08,7000,8000,7500
2016,April,29,0.10,5000,6000,5500
2016,May,03,0.10,7000,8000,7500
2015,September,26,0.10,7000,8000,7500
2023,December,14,0.10,8000,10000,9000
2016,May,16,0.10,8000,10000,9000
2023,November,23,0.10,8500,10000,9000
2016,May,10,0.10,9000,10000,9500
2016,May,17,0.10,10000,12000,11000
2016,May,24,0.10,10000,12000,11000
2016,May,26,0.10,10000,12000,11000
2016,May,27,0.10,10000,12000,11000
2019,May,09,0.11,6000,8000,7000
2016,January,28,0.11,6000,8000,7000
2015,September,22,0.11,7000,8000,7500
2015,November,05,0.12,5000,6000,5500
2015,October,27,0.12,7000,9000,8000
2016,April,30,0.13,5000,6000,5500
2015,October,05,0.15,6000,8000,7000
2015,December,04,0.15,7000,8000,7500
2016,May,20,0.15,10000,12000,11000
2016,April,20,0.20,2500,3000,2700
2016,May,02,0.20,6000,8000,7000
2016,May,11,0.20,6000,8000,7000
2016,May,13,0.20,8000,10000,9000
2016,May,23,0.20,10000,12000,10000
2024,July,23,0.20,10000,16000,12000
2016,April,26,0.21,3000,4000,3500
2015,September,30,0.22,5000,6000,5500
2015,November,20,0.22,6000,7000,6500
2016,April,27,0.25,4000,5000,4500
2015,September,29,0.25,6000,8000,7000
2019,March,02,0.25,6500,8000,7000
2015,November,02,0.28,6000,8000,7000
2017,March,23,0.30,3000,5000,4000
2017,February,06,0.30,5000,6000,5500
2017,February,08,0.30,5000,6000,5500
2015,November,28,0.30,7000,8000,7500
2015,November,26,0.32,6000,7000,6500
2016,January,07,0.34,5000,6000,5500
2015,October,07,0.35,6000,8000,7000
2015,September,21,0.35,6000,8000,7000
2015,October,30,0.38,6000,8000,7000
2017,April,18,0.40,1000,1500,1200
2015,October,28,0.45,6000,8000,7000
2016,March,08,0.47,1200,2000,1500
2016,March,12,0.48,1000,3000,2000
2016,March,02,0.48,2000,3000,2500
2017,April,11,0.50,1200,2000,1500
2017,April,15,0.50,1200,2000,1500
2017,April,17,0.50,2500,3000,2800
2017,January,25,0.50,3000,4000,3500
2017,March,28,0.50,3000,4000,3500
2017,March,20,0.50,4000,5000,4500
2017,January,30,0.50,4000,5000,4500
2016,November,01,0.50,4000,6000,5000
2016,October,26,0.50,4000,6000,5000
2017,February,07,0.50,4500,6000,5000
2017,February,04,0.50,5000,6000,5500
2016,October,04,0.50,5000,6000,5500
2016,October,13,0.50,5000,6000,5500
2017,March,17,0.50,5000,6000,5500
2016,November,23,0.50,5000,6000,5500
2016,October,25,0.50,5000,6000,5500
2024,March,09,0.50,5000,8000,6000
2024,August,29,0.50,8000,12000,10000
2024,August,20,0.50,10000,14000,13000
2016,April,06,0.53,2000,3000,2500
2017,April,12,0.65,1200,2000,1500
2017,April,13,0.65,1200,2000,1500
