year,month,date,arrival,min,max,modal
2019,May,03,0.05,2000,3000,2500
2019,March,08,0.05,2500,3500,3000
2019,March,04,0.10,2000,3500,3000
2019,March,09,0.10,2500,3200,3000
2019,March,07,0.10,2500,3500,3000
2019,April,22,0.10,2500,3500,3000
2019,March,29,0.10,2500,3500,3000
2019,March,18,0.12,2500,3500,3000
2019,March,23,0.20,2000,3000,2500
2022,January,29,1.50,4000,7000,5000
2022,April,29,2.00,3000,5000,4000
2022,April,30,2.00,3000,5000,4000
2022,April,04,2.00,4000,6000,5000
2022,April,05,2.00,4000,6000,5000
2022,April,06,2.00,4000,6000,5000
2022,April,07,2.00,4000,6000,5000
2022,April,09,2.00,4000,6000,5000
2022,March,14,2.00,4000,6000,5000
2022,March,15,2.00,4000,6000,5000
2022,March,16,2.00,4000,6000,5000
2022,April,18,2.00,4000,6000,5000
2022,April,19,2.00,4000,6000,5000
2022,April,20,2.00,4000,6000,5000
2022,April,21,2.00,4000,6000,5000
2022,March,21,2.00,4000,6000,5000
2022,March,22,2.00,4000,6000,5000
2022,March,23,2.00,4000,6000,5000
2022,April,25,2.00,4000,6000,5000
2022,March,25,2.00,4000,6000,5000
2022,April,26,2.00,4000,6000,5000
2022,March,26,2.00,4000,6000,5000
2022,April,28,2.00,4000,6000,5000
2022,January,31,2.00,4000,6000,5000
2022,May,02,2.50,3000,5000,4000
2022,May,04,2.50,3000,5000,4000
2022,May,05,2.50,3000,5000,4000
2022,May,18,2.50,3000,5000,4000
2022,March,17,2.50,4000,6000,5000
2022,March,19,2.50,4000,6000,5000
2022,April,27,2.50,4000,6000,5000
