year,month,date,arrival,min,max,modal
2019,March,09,0.03,5000,7000,6000
2019,March,04,0.05,5000,6000,5500
2019,April,06,0.05,5000,6000,5500
2019,March,29,0.05,5000,6000,5500
2019,March,07,0.05,5000,6500,6000
2019,March,23,0.05,5000,7000,6000
2019,May,03,0.05,6000,8000,7000
2022,January,28,0.08,5000,8000,6000
2019,March,18,0.12,5000,6000,5500
2022,May,02,0.30,3000,5000,4000
2022,January,31,0.50,4000,6000,5000
2022,May,05,0.50,4000,8000,6000
2022,May,18,0.50,4000,8000,6000
2022,March,14,0.50,5000,8000,6000
2022,March,15,0.50,5000,8000,6000
2022,March,19,0.50,5000,8000,6000
2022,March,22,0.50,5000,8000,6000
2022,March,23,0.50,5000,8000,6000
2022,March,26,0.50,5000,8000,6000
2022,June,21,0.50,6000,10000,8000
2022,May,25,0.50,8000,12000,10000
2022,March,16,0.60,5000,8000,6000
2022,March,17,0.60,5000,8000,6000
2022,March,21,0.60,5000,8000,6000
2022,March,25,0.60,5000,8000,6000
2022,June,20,0.60,6000,10000,8000
2022,June,22,0.60,8000,12000,10000
2022,May,04,0.70,4000,8000,6000
