year,month,date,arrival,min,max,modal
2021,March,19,25.00,4000,4100,4000
2020,September,29,51.00,4000,4300,4000
2021,October,30,5.00,4000,4100,4000
2022,May,21,8.00,4200,4200,4200
2021,May,16,10.00,3600,4000,3600
2021,June,06,10.00,3600,4000,4000
2021,April,14,10.00,3900,4000,3900
2020,December,07,10.00,4000,4000,4000
2021,September,12,10.00,4000,4000,4000
2020,November,14,10.00,4000,4000,4000
2021,January,18,10.00,4000,4000,4000
2022,March,19,10.00,4000,4000,4000
2021,November,19,10.00,4000,4000,4000
2021,February,22,10.00,4000,4000,4000
2020,November,22,10.00,4000,4000,4000
2022,January,23,10.00,4000,4000,4000
2020,October,24,10.00,4000,4000,4000
2020,May,25,10.00,4000,4000,4000
2020,November,27,10.00,4000,4000,4000
2020,November,28,10.00,4000,4000,4000
2021,August,16,10.00,4000,4200,4200
2021,February,20,10.00,4000,4400,4000
2020,July,20,10.00,4000,4400,4000
2020,October,02,10.00,4000,4600,4500
2022,May,26,10.00,4300,4300,4300
2022,June,12,10.00,4400,4400,4400
2021,June,07,11.00,3600,4000,4000
2022,March,05,11.00,4000,4000,4000
2020,November,16,11.00,4000,4000,4000
2021,February,18,11.00,4000,4000,4000
2021,January,19,11.00,4000,4000,4000
2020,November,30,11.00,4000,4000,4000
2020,June,08,11.00,4000,4200,4000
2021,May,17,12.00,3600,4000,3600
2021,June,18,12.00,3600,4000,3600
2022,January,03,12.00,4000,4000,4000
2021,August,13,12.00,4000,4000,4000
2021,November,13,12.00,4000,4000,4000
2021,February,14,12.00,4000,4000,4000
2020,November,15,12.00,4000,4000,4000
2021,November,15,12.00,4000,4000,4000
2020,December,12,12.00,4000,4200,4000
2020,June,01,13.00,3860,3860,3860
2020,August,03,13.00,4000,4000,4000
2020,September,19,13.00,4000,4200,4000
2022,January,21,13.00,4000,4300,4000
2021,November,05,14.00,4000,4000,4000
2020,May,29,14.00,4000,4000,4000
2021,December,09,14.00,4000,4300,4000
2020,December,03,14.00,4000,4300,4300
2022,June,07,14.00,4000,4600,4000
2022,January,22,14.00,4000,4600,4000
2022,September,30,14.00,4400,4400,4400
2018,February,24,15.00,3450,3450,3450
2014,January,02,15.00,3636,3650,3650
2020,February,24,15.00,3800,4200,4200
2022,May,31,15.00,3900,4400,4400
2021,March,15,15.00,4000,4000,4000
2020,October,16,15.00,4000,4000,4000
2022,April,18,15.00,4000,4000,4000
2021,April,19,15.00,4000,4000,4000
2021,September,24,15.00,4000,4000,4000
2021,March,07,15.00,4000,4100,4000
2021,January,26,15.00,4000,4200,4000
2023,September,11,15.00,4000,4300,4300
2021,December,04,15.00,4000,4400,4000
2021,January,25,15.00,4000,4500,4000
2022,July,09,15.00,4200,4200,4200
2022,September,25,15.00,4300,4300,4300
2021,May,13,16.00,3600,4000,3600
2021,November,18,16.00,4000,4000,4000
2021,March,08,16.00,4000,4100,4000
2023,March,15,16.00,4100,4200,4200
2022,February,13,16.00,4300,4300,4300
2023,May,20,16.00,4400,4500,4400
2021,November,21,17.00,3800,4000,4000
2022,March,23,17.00,4000,4000,4000
2020,October,23,17.00,4000,4200,4000
2023,January,30,17.00,4000,4200,4200
2021,October,13,17.00,4000,4700,4000
2022,July,01,17.00,4300,4400,4300
2021,July,03,18.00,4000,4000,4000
2021,September,17,18.00,4000,4000,4000
2020,November,23,18.00,4000,4000,4000
2021,March,25,18.00,4000,4000,4000
2020,October,01,18.00,4000,4300,4000
2022,December,18,18.00,4200,4200,4200
2022,May,25,18.00,4300,4300,4300
2022,September,19,18.00,4400,4400,4400
2022,September,08,18.00,4500,4500,4500
2020,May,31,19.00,3750,4235,4000
2022,June,04,19.00,4000,4000,4000
2022,January,24,19.00,4000,4000,4000
2022,March,24,19.00,4000,4000,4000
2021,October,20,19.00,4000,4200,4000
2022,October,15,19.00,4200,4600,4300
2022,May,28,19.00,4300,4300,4300
2021,May,03,20.00,3600,4000,3600
2021,May,11,20.00,3600,4000,3600
2021,May,14,20.00,3600,4000,3600
2021,May,18,20.00,3600,4000,3600
2021,April,30,20.00,3600,4000,4000
2022,March,14,20.00,3700,3900,3700
2022,March,13,20.00,3800,4000,4000
2024,March,08,20.00,3800,4600,4400
2022,July,25,20.00,3900,4400,4000
2021,October,01,20.00,4000,4000,4000
2021,January,03,20.00,4000,4000,4000
2021,July,05,20.00,4000,4000,4000
2022,November,06,20.00,4000,4000,4000
2021,September,06,20.00,4000,4000,4000
2020,October,10,20.00,4000,4000,4000
2021,October,10,20.00,4000,4000,4000
2022,September,10,20.00,4000,4000,4000
2022,March,11,20.00,4000,4000,4000
2021,September,13,20.00,4000,4000,4000
2021,August,14,20.00,4000,4000,4000
2021,January,16,20.00,4000,4000,4000
2022,January,16,20.00,4000,4000,4000
2021,March,18,20.00,4000,4000,4000
2020,September,18,20.00,4000,4000,4000
2022,January,19,20.00,4000,4000,4000
2022,June,19,20.00,4000,4000,4000
2021,April,20,20.00,4000,4000,4000
2021,November,20,20.00,4000,4000,4000
2021,February,21,20.00,4000,4000,4000
2021,January,17,20.00,4000,4100,4000
2021,March,22,20.00,4000,4100,4000
2021,January,20,20.00,4000,4200,4000
2021,February,10,20.00,4000,4300,4000
2021,September,10,20.00,4000,4300,4000
2020,July,12,20.00,4000,4300,4000
2020,July,27,20.00,4000,4300,4000
2020,July,22,20.00,4000,4400,4000
2022,June,20,20.00,4000,4500,4000
2020,November,29,20.00,4000,4500,4300
2020,April,28,20.00,4000,4650,4000
2021,August,19,20.00,4200,4200,4200
2022,May,03,20.00,4300,4300,4300
2023,January,16,20.00,4300,4300,4300
2021,October,25,20.00,4300,4300,4300
2023,February,04,20.00,4300,4500,4300
2023,January,14,20.00,4300,4700,4400
2022,October,17,20.00,4300,4700,4500
2022,June,13,20.00,4400,4600,4500
2021,June,04,21.00,3600,3600,3600
2021,June,14,21.00,3600,3600,3600
2021,April,21,21.00,3600,4000,3600
2021,December,12,21.00,4000,4000,4000
2021,March,14,21.00,4000,4000,4000
2020,December,21,21.00,4000,4000,4000
2020,September,24,21.00,4000,4000,4000
2020,September,26,21.00,4000,4000,4000
2020,August,29,21.00,4000,4000,4000
2021,November,29,21.00,4000,4000,4000
2020,May,30,21.00,4000,4000,4000
2021,December,27,21.00,4000,4200,4000
2020,October,05,21.00,4000,4300,4000
2021,February,09,21.00,4000,4400,4000
2021,August,25,21.00,4000,4400,4000
