year,month,date,arrival,min,max,modal
2015,August,22,1.00,1800,3000,2000
2015,October,21,1.70,1700,2500,2000
2015,October,22,1.80,1800,2200,2000
2015,October,10,1.80,2500,3500,3000
2015,October,04,1.80,2700,3500,3000
2015,November,07,1.90,2200,3000,2500
2015,October,07,1.90,2500,3500,3000
2015,October,30,2.00,2200,3000,2500
2015,October,01,2.00,2500,3500,3000
2015,October,13,2.00,2500,3500,3000
2015,October,23,2.10,180,2200,2000
2015,October,27,2.10,1800,2500,2000
2015,October,03,2.10,2500,3500,3000
2015,October,06,2.10,2500,3500,3000
2015,October,11,2.10,2500,3500,3000
2015,October,29,2.20,1800,2500,2000
2015,October,31,2.20,2000,3000,2500
2015,October,15,2.20,2200,3000,2500
2015,October,09,2.20,2500,3500,3000
2015,October,08,2.20,2700,3500,3000
2015,October,14,2.20,2700,3500,3000
2016,April,28,2.40,850,1200,1000
2016,January,05,2.40,1800,2200,2000
2015,October,16,2.40,2200,3000,2500
2016,February,06,2.50,1600,2000,1800
2016,January,27,2.50,1800,2200,2000
2015,October,28,2.50,1800,2500,2000
2015,November,06,2.50,2200,3000,2500
2015,October,17,2.50,2200,3000,2500
2016,September,01,2.70,850,1200,1000
2016,May,13,2.70,1000,1400,1200
2016,June,02,3.00,1000,1400,1200
2016,June,07,3.20,1000,1400,1200
2015,August,21,4.00,1800,3000,2000
2015,September,16,6.00,4500,6000,5000
2015,September,15,7.00,4500,6000,5000
2015,August,27,8.00,4500,6000,5000
2015,August,20,10.10,1800,3000,2000
2015,September,11,15.00,4500,6000,5000
2015,August,28,16.00,4500,6000,5000
2015,August,19,17.00,1800,3000,2000
2015,August,25,17.00,1800,3000,2000
2015,September,03,17.10,4500,6000,5000
2015,August,26,20.00,1800,5000,2000
2015,September,10,21.00,4500,6000,5000
2015,August,29,22.00,4000,6000,5000
2015,November,18,1.10,2200,3000,2500
2015,November,19,1.70,2200,3000,2500
2015,November,24,1.90,2200,3000,2500
2016,September,07,2.00,850,1200,1000
2015,December,03,2.00,2200,3000,2500
2015,November,04,2.00,2200,3000,2500
2015,November,20,2.00,2200,3000,2500
2015,November,13,2.10,2200,3000,2500
2015,November,17,2.10,2200,3000,2500
2015,November,25,2.10,2200,3000,2500
2016,March,17,2.20,850,1200,1000
2016,January,07,2.20,1800,2200,2000
2016,January,20,2.20,1800,2200,2000
2015,December,23,2.20,1800,2200,2000
2015,November,03,2.20,2200,3000,2500
2015,December,17,2.20,2200,3000,2500
2015,November,21,2.20,2200,3000,2500
2015,December,22,2.20,2200,3000,2500
2016,March,09,2.30,900,1200,1000
2015,December,02,2.30,2200,3000,2500
2015,November,05,2.30,2200,3000,2500
2015,November,12,2.30,2200,3000,2500
2015,December,15,2.30,2200,3000,2500
2015,December,24,2.30,2200,3000,2500
2016,March,15,2.40,850,1200,1000
2016,March,16,2.40,850,1200,1000
2016,February,19,2.40,1400,1800,1600
2016,February,17,2.40,1600,2000,1800
2016,January,01,2.40,1800,2200,2000
2016,January,08,2.40,1800,2200,2000
2016,January,23,2.40,1800,2200,2000
2016,January,29,2.40,1800,2200,2000
2016,March,02,2.50,850,1200,1000
2016,September,03,2.50,850,1200,1000
2016,September,06,2.50,850,1200,1000
2016,April,07,2.50,850,1200,1000
2016,March,19,2.50,850,1200,1000
2016,April,20,2.50,850,1200,1000
2016,March,30,2.50,850,1200,1000
2016,February,11,2.50,1600,2000,1800
2016,February,12,2.50,1600,2000,1800
2016,February,16,2.50,1600,2000,1800
2016,February,02,2.50,1800,2200,2000
2016,January,02,2.50,1800,2200,2000
2016,February,03,2.50,1800,2200,2000
2016,January,21,2.50,1800,2200,2000
2015,December,29,2.50,1800,2200,2000
2015,December,16,2.50,2200,3000,2500
2015,December,18,2.50,2200,3000,2500
2015,November,27,2.50,2200,3000,2500
2016,April,26,2.60,850,1200,1000
2016,September,29,2.60,850,1200,1000
2016,April,30,2.60,850,1200,1000
2016,May,11,2.60,1000,1400,1200
2016,February,23,2.60,1200,1600,1400
2016,February,24,2.60,1200,1600,1400
2016,July,29,2.60,1400,1800,1600
2016,February,13,2.60,1600,2000,1800
2016,January,06,2.60,1800,2200,2000
2016,January,13,2.60,1800,2200,2000
2016,January,19,2.60,1800,2200,2000
2016,January,28,2.60,1800,2200,2000
2015,December,25,2.60,2200,3000,2500
2015,May,01,2.70,18,22,20
2016,March,04,2.70,850,1200,1000
2016,March,05,2.70,850,1200,1000
2016,April,06,2.70,850,1200,1000
2016,April,12,2.70,850,1200,1000
2016,March,18,2.70,850,1200,1000
2016,March,22,2.70,850,1200,1000
2016,April,27,2.70,850,1200,1000
2016,March,29,2.70,850,1200,1000
2016,June,03,2.70,1000,1400,1200
2016,May,19,2.70,1000,1400,1200
2016,February,26,2.70,1000,1400,1200
2016,June,24,2.70,1200,1600,1400
2016,February,18,2.70,1400,1800,1600
2016,August,19,2.70,1400,1800,1600
2016,February,05,2.70,1600,2000,1800
2016,February,09,2.70,1600,2000,1800
2016,February,04,2.70,1800,2200,2000
2016,January,14,2.70,1800,2200,2000
2016,January,22,2.70,1800,2200,2000
2016,January,26,2.70,1800,2200,2000
2015,December,31,2.70,1800,2200,2000
2016,April,01,2.80,850,1200,1000
2016,March,01,2.80,850,1200,1000
2016,March,24,2.80,850,1200,1000
2016,February,27,2.80,850,1200,1000
2016,February,10,2.80,1600,2000,1800
2016,April,02,3.00,850,1200,1000
2016,March,03,3.00,850,1200,1000
2016,October,04,3.00,850,1200,1000
2016,April,19,3.00,850,1200,1000
2016,September,28,3.00,850,1200,1000
2016,April,29,3.00,850,1200,1000
2016,March,31,3.00,850,1200,1000
2016,June,04,3.00,1000,1400,1200
2016,June,08,3.00,1000,1400,1200
2016,June,09,3.00,1000,1400,1200
2016,May,12,3.00,1000,1400,1200
2016,May,18,3.00,1000,1400,1200
2016,May,25,3.00,1000,1400,1200
2016,May,26,3.00,1000,1400,1200
2016,May,28,3.00,1000,1400,1200
2016,August,31,3.00,1000,1400,1200
2016,July,12,3.00,1200,1600,1400
2016,June,14,3.00,1200,1600,1400
2016,June,22,3.00,1200,1600,1400
2016,June,23,3.00,1200,1600,1400
2016,August,24,3.00,1200,1600,1400
2016,June,25,3.00,1200,1600,1400
2016,August,27,3.00,1200,1600,1400
2016,August,17,3.00,1400,1800,1600
2016,August,18,3.00,1400,1800,1600
2016,July,28,3.00,1400,1800,1600
2016,August,03,3.00,1600,2000,1800
2016,August,10,3.00,1600,2000,1800
2016,July,20,3.00,1600,2000,1800
2016,July,21,3.00,1600,2000,1800
2016,July,27,3.00,1600,2000,1800
2016,September,02,3.20,850,1200,1000
2016,September,16,3.20,850,1200,1000
2016,May,17,3.20,1000,1400,1200
2016,May,20,3.20,1000,1400,1200
2016,July,02,3.20,1200,1600,1400
2016,June,15,3.20,1200,1600,1400
2016,August,26,3.20,1200,1600,1400
2016,July,13,3.20,1400,1800,1600
2016,July,14,3.20,1400,1800,1600
2016,July,16,3.20,1400,1800,1600
2016,August,05,3.20,1600,2000,1800
2016,July,22,3.20,1600,2000,1800
2016,July,30,3.20,1600,2000,1800
2016,September,21,3.30,800,1200,1000
2016,September,30,3.40,850,1200,1000
2016,August,30,3.40,1200,1600,1400
2016,September,27,3.50,850,1200,1000
2016,July,06,3.50,1200,1600,1400
2016,August,06,3.50,1600,2000,1800
2016,August,11,3.50,1600,2000,1800
2016,October,01,3.60,850,1200,1000
2016,January,12,5.40,1800,2200,2000
2016,September,08,8.00,850,1200,1000
2015,August,18,9.00,1800,2200,2000
2015,April,07,2.00,16,20,18
2015,May,27,2.00,16,20,18
2015,July,29,2.00,2400,3000,2600
2015,May,14,2.10,16,20,18
2015,April,16,2.10,18,22,20
2015,July,01,2.10,2200,2600,2400
2015,June,18,2.10,2200,2600,2400
2015,April,08,2.20,16,20,18
2015,May,15,2.20,16,20,18
2015,April,29,2.20,16,20,18
2015,April,22,2.20,18,22,20
2015,April,23,2.20,18,22,20
2015,May,29,2.20,18,22,20
2015,May,30,2.20,18,22,20
2015,June,03,2.20,1800,2200,2000
2015,July,07,2.20,2200,2600,2400
2015,July,08,2.20,2200,2600,2400
2015,April,09,2.30,16,20,18
2015,June,04,2.30,1800,2200,2000
2015,July,09,2.30,2200,2600,2400
2015,June,19,2.30,2200,2600,2400
2015,June,27,2.30,2200,2600,2400
2015,April,15,2.40,16,20,18
2015,May,20,2.40,16,20,18
2015,April,02,2.40,18,22,20
2015,May,21,2.40,18,22,20
2015,May,28,2.40,18,22,20
2015,June,11,2.40,2000,2400,2200
2015,June,20,2.40,2200,2600,2400
2015,June,25,2.40,2200,2600,2400
2015,June,30,2.40,2200,2600,2400
2015,May,19,2.50,16,20,18
2015,April,24,2.50,18,22,20
2015,April,30,2.50,18,22,20
2015,June,02,2.50,1800,2200,2000
2015,June,05,2.50,1800,2200,2000
2015,July,02,2.50,2200,2600,2400
2015,July,14,2.50,2200,2600,2400
2015,May,05,2.60,16,20,18
2015,April,10,2.60,16,20,18
2015,April,17,2.60,16,20,18
2015,April,21,2.60,18,22,20
2015,June,06,2.60,1800,2200,2000
2015,June,09,2.60,1800,2200,2000
2015,June,10,2.60,1800,2200,2000
2015,July,04,2.60,2200,2600,2400
2015,May,02,2.70,16,20,18
2015,May,16,2.70,16,20,18
2015,June,16,2.70,2000,2400,2200
2015,June,23,2.70,2200,2600,2400
2015,July,28,3.00,2500,3000,2600
2015,August,07,13.00,1800,3000,2000
2015,August,12,17.00,2000,3000,2600
2015,July,30,100.00,1800,3000,2000
2015,August,14,4.00,1800,3000,2000
