year,month,date,arrival,min,max,modal
2015,August,19,0.60,1400,1800,1600
2016,June,02,0.60,2000,2400,2200
2015,November,27,0.60,2000,2400,2200
2016,September,28,0.60,2700,3200,3000
2015,April,16,0.65,16,20,18
2015,June,06,0.65,1600,2000,1800
2016,January,01,0.65,1800,2200,2000
2016,May,13,0.65,1800,2200,2000
2016,May,19,0.70,1800,2200,2000
2016,January,26,0.70,1800,2200,2000
2016,June,07,0.70,2000,2400,2200
2015,April,17,0.75,16,20,18
2015,April,30,0.80,16,20,18
2015,June,25,0.80,1600,2000,1800
2016,June,25,0.80,2000,2400,2200
2015,November,18,0.30,1800,2200,2000
2015,November,17,0.50,1800,2200,2000
2015,September,18,0.50,1800,2200,2000
2015,September,30,0.50,1800,2200,2000
2016,July,29,0.50,2700,3200,3000
2015,November,13,0.55,1800,2200,2000
2015,September,13,0.55,1800,2200,2000
2015,May,27,0.60,16,20,18
2015,July,28,0.60,1400,1800,1600
2015,July,01,0.60,1600,2000,1800
2015,July,08,0.60,1600,2000,1800
2016,February,16,0.60,1600,2000,1800
2016,April,02,0.60,1800,2200,2000
2015,September,02,0.60,1800,2200,2000
2015,September,03,0.60,1800,2200,2000
2015,October,04,0.60,1800,2200,2000
2015,September,04,0.60,1800,2200,2000
2016,January,05,0.60,1800,2200,2000
2015,September,05,0.60,1800,2200,2000
2016,April,06,0.60,1800,2200,2000
2016,February,06,0.60,1800,2200,2000
2015,October,06,0.60,1800,2200,2000
2016,April,07,0.60,1800,2200,2000
2015,October,07,0.60,1800,2200,2000
2016,January,08,0.60,1800,2200,2000
2015,September,08,0.60,1800,2200,2000
2016,February,11,0.60,1800,2200,2000
2016,May,11,0.60,1800,2200,2000
2016,May,12,0.60,1800,2200,2000
2015,November,12,0.60,1800,2200,2000
2016,January,13,0.60,1800,2200,2000
2015,October,14,0.60,1800,2200,2000
2015,December,15,0.60,1800,2200,2000
2015,October,15,0.60,1800,2200,2000
2015,December,16,0.60,1800,2200,2000
2016,March,16,0.60,1800,2200,2000
2015,October,16,0.60,1800,2200,2000
2015,December,17,0.60,1800,2200,2000
2016,February,17,0.60,1800,2200,2000
2015,December,18,0.60,1800,2200,2000
2016,February,18,0.60,1800,2200,2000
2016,April,19,0.60,1800,2200,2000
2016,January,19,0.60,1800,2200,2000
2016,April,20,0.60,1800,2200,2000
2016,January,20,0.60,1800,2200,2000
2016,May,20,0.60,1800,2200,2000
2015,October,21,0.60,1800,2200,2000
2015,August,22,0.60,1800,2200,2000
2015,December,22,0.60,1800,2200,2000
2016,January,22,0.60,1800,2200,2000
2015,October,22,0.60,1800,2200,2000
2015,December,23,0.60,1800,2200,2000
2015,December,24,0.60,1800,2200,2000
2016,April,26,0.60,1800,2200,2000
2015,August,26,0.60,1800,2200,2000
2015,October,27,0.60,1800,2200,2000
2016,January,28,0.60,1800,2200,2000
2016,April,29,0.60,1800,2200,2000
2015,August,29,0.60,1800,2200,2000
2015,October,29,0.60,1800,2200,2000
2016,April,30,0.60,1800,2200,2000
2016,March,30,0.60,1800,2200,2000
2015,October,30,0.60,1800,2200,2000
2015,August,31,0.60,1800,2200,2000
2016,June,03,0.60,2000,2400,2200
2016,June,09,0.60,2000,2400,2200
2016,June,15,0.60,2000,2400,2200
2015,November,20,0.60,2000,2400,2200
2015,November,21,0.60,2000,2400,2200
2016,May,26,0.60,2000,2400,2200
2016,July,21,0.60,2200,2600,2400
2015,November,25,0.60,2200,2600,2400
2016,September,01,0.60,2700,3200,3000
2016,August,03,0.60,2700,3200,3000
2016,October,04,0.60,2700,3200,3000
2016,September,07,0.60,2700,3200,3000
2016,August,10,0.60,2700,3200,3000
2016,September,16,0.60,2700,3200,3000
2016,August,19,0.60,2700,3200,3000
2016,July,20,0.60,2700,3200,3000
2016,July,22,0.60,2700,3200,3000
2016,July,28,0.60,2700,3200,3000
2016,August,31,0.60,2700,3200,3000
2015,May,19,0.65,16,20,18
2015,April,22,0.65,16,20,18
2015,May,28,0.65,16,20,18
2015,May,30,0.65,16,20,18
2015,December,03,0.65,200,2400,2200
2015,July,30,0.65,1400,1800,1600
2015,June,11,0.65,1600,2000,1800
2015,July,14,0.65,1600,2000,1800
2015,June,18,0.65,1600,2000,1800
2015,June,23,0.65,1600,2000,1800
2015,July,29,0.65,1600,2000,1800
2015,June,03,0.65,1600,20000,1800
2016,March,01,0.65,1800,2200,2000
2015,September,01,0.65,1800,2200,2000
2016,February,03,0.65,1800,2200,2000
2016,January,07,0.65,1800,2200,2000
2015,November,07,0.65,1800,2200,2000
2015,October,08,0.65,1800,2200,2000
2016,April,12,0.65,1800,2200,2000
2015,September,12,0.65,1800,2200,2000
2015,October,13,0.65,1800,2200,2000
2016,January,14,0.65,1800,2200,2000
2015,September,15,0.65,1800,2200,2000
2016,March,17,0.65,1800,2200,2000
2016,May,18,0.65,1800,2200,2000
2016,January,21,0.65,1800,2200,2000
2015,September,22,0.65,1800,2200,2000
2015,October,23,0.65,1800,2200,2000
2015,August,25,0.65,1800,2200,2000
2016,February,26,0.65,1800,2200,2000
2016,January,27,0.65,1800,2200,2000
2015,September,29,0.65,1800,2200,2000
2015,November,19,0.65,2000,2400,2200
2016,June,24,0.65,2000,2400,2200
2015,November,24,0.65,2000,2400,2200
