year,month,date,arrival,min,max,modal
2015,November,17,0.80,3700,4200,4000
2016,June,07,1.20,4500,5000,4700
2015,August,20,1.60,800,1000,900
2015,September,03,1.60,850,1200,1000
2015,October,08,1.60,1400,1800,1600
2016,May,19,1.60,3200,3600,3400
2015,September,02,1.70,850,1200,1000
2015,July,29,1.70,1000,1400,1200
2016,February,02,1.80,500,700,600
2015,October,17,1.80,1800,2200,2000
2016,September,01,2.00,300,500,400
2015,November,18,0.40,4000,5000,4500
2015,November,13,0.80,3700,4200,4000
2015,November,20,0.80,4200,5000,4500
2015,November,19,0.85,4200,5000,4500
2015,November,12,0.90,3700,4200,4000
2015,November,21,0.90,4000,5000,4500
2015,November,05,1.10,2700,3200,3000
2015,November,07,1.10,3200,4000,3600
2015,November,03,1.20,2700,3200,3000
2015,November,24,1.30,2200,3000,2500
2016,May,12,1.30,2500,3000,2700
2015,November,06,1.30,2700,3200,3000
2016,May,20,1.30,3300,4000,3600
2016,May,26,1.30,3700,4200,4000
2016,May,25,1.30,4200,4600,4400
2016,June,08,1.30,4500,5500,5000
2016,June,14,1.30,6500,8000,7000
2015,August,29,1.40,850,1200,1000
2015,August,31,1.40,850,1200,1000
2016,April,20,1.40,1000,1400,1200
2015,September,26,1.40,1400,1800,1600
2015,November,04,1.40,1800,2200,2000
2015,November,25,1.40,2200,3000,2500
2015,December,18,1.40,2400,3000,2600
2016,May,13,1.40,3200,3600,3400
2016,May,18,1.40,3200,3600,3400
2016,January,02,1.40,3700,4500,4000
2016,January,06,1.40,3700,4500,4000
2016,June,02,1.40,3800,4200,4000
2016,June,15,1.40,6500,8000,7000
2015,May,27,1.50,27,32,30
2015,September,04,1.50,800,1000,900
2015,September,18,1.50,1000,1400,1200
2015,August,22,1.50,1000,1400,1200
2015,October,14,1.50,1800,2200,2000
2016,April,29,1.50,1800,2200,2000
2016,June,22,1.50,2200,3000,2600
2016,June,04,1.50,4000,4500,4200
2016,May,28,1.50,4000,5000,4500
2016,June,09,1.50,4500,5500,5000
2015,May,20,1.60,18,22,20
2015,May,21,1.60,18,22,20
2016,February,03,1.60,600,800,700
2016,February,11,1.60,600,800,700
2016,April,07,1.60,700,1000,800
2015,September,10,1.60,700,1000,800
2015,September,11,1.60,700,1000,800
2015,September,22,1.60,1000,1400,1200
2015,September,24,1.60,1000,1400,1200
2015,July,28,1.60,1000,1400,1200
2015,August,27,1.60,1200,1600,1400
2015,September,30,1.60,1400,1800,1600
2015,October,31,1.60,1400,1800,1600
2015,October,07,1.60,1600,2000,1800
2015,October,15,1.60,1600,2000,1800
2016,April,26,1.60,1600,2000,1800
2015,July,01,1.60,1800,2200,2000
2015,July,02,1.60,1800,2200,2000
2015,July,08,1.60,1800,2200,2000
2015,July,14,1.60,1800,2200,2000
2015,October,21,1.60,1800,2200,2000
2015,October,22,1.60,1800,2200,2000
2015,October,28,1.60,1800,2200,2000
2015,October,29,1.60,1800,2200,2000
2015,June,27,1.60,2000,2400,2200
2015,July,09,1.60,2200,2600,2400
2016,June,24,1.60,2400,30000,2600
2016,January,08,1.60,2700,3400,3000
2016,January,12,1.60,2700,3400,3000
2016,January,13,1.60,2700,3400,3000
2016,January,07,1.60,2800,3400,3000
2015,December,15,1.60,3200,3600,3400
2016,January,05,1.60,3700,4500,4000
2016,June,03,1.60,3800,4200,4000
2016,February,19,1.70,400,600,500
2016,March,19,1.70,400,600,500
2016,March,30,1.70,450,600,500
2016,February,23,1.70,600,800,700
2015,September,09,1.70,700,1000,800
2015,September,15,1.70,700,1000,800
2015,September,13,1.70,800,1200,1000
2015,August,19,1.70,800,1200,1000
2016,January,26,1.70,800,1200,1000
2016,July,29,1.70,800,1200,1000
2015,June,04,1.70,850,1200,1000
2016,April,12,1.70,850,1200,1000
2015,September,23,1.70,850,1200,1000
2015,September,05,1.70,1000,1400,1200
2016,January,22,1.70,1200,1600,1400
2015,August,26,1.70,1200,1600,1400
2015,June,11,1.70,1400,1800,1600
2015,October,30,1.70,1400,1800,1600
2015,October,01,1.70,1600,2000,1800
2015,October,06,1.70,1600,2000,1800
2015,October,16,1.70,1600,2000,1800
2015,September,29,1.70,1600,2000,1800
2015,October,04,1.70,1800,2200,2000
2015,October,09,1.70,1800,2200,2000
