year,month,date,arrival,min,max,modal
2021,November,28,0.01,2200,3600,3000
2021,November,27,0.01,2500,3800,3200
2021,November,29,0.01,2500,4000,3200
2021,November,30,0.01,2500,4500,3800
2021,December,01,0.01,2700,6000,5000
2021,November,26,0.01,3000,5000,4000
2021,December,02,0.01,3000,6000,5000
2021,October,18,0.10,2200,3000,2700
2021,October,16,0.10,2200,3100,2800
2021,October,17,0.10,2300,3200,2800
2021,October,20,0.10,2500,3200,2800
2021,October,15,0.20,2000,3000,2700
2018,November,26,1.00,350,850,550
2018,November,25,1.00,400,1000,650
2018,November,15,1.00,500,1100,750
2018,November,23,1.00,500,1400,950
2021,October,19,1.00,2700,3500,3000
2018,November,22,1.10,600,1500,1000
2018,November,24,1.20,550,1400,900
2018,November,21,1.20,650,1500,1000
2018,November,20,1.30,600,1400,950
2019,February,10,1.50,400,1000,700
2018,November,13,1.50,400,1000,700
2018,November,14,1.50,500,1100,750
2018,November,19,1.50,650,1400,950
2019,November,04,1.50,1200,2500,1900
2019,February,08,1.70,500,1000,700
2017,February,16,1.70,1900,2500,2100
2017,February,05,1.80,1800,2500,2100
2017,February,07,1.80,1800,2600,2200
2017,February,11,1.90,1750,2300,2000
2017,February,13,1.90,1750,2400,2100
2017,February,10,1.90,1900,2400,2100
2017,February,06,1.90,1900,2500,2100
2019,February,09,2.00,400,900,650
2018,November,10,2.00,400,1000,650
2018,November,09,2.00,400,1000,700
2018,November,12,2.00,400,1000,700
2019,February,11,2.00,450,1000,700
2019,November,02,2.00,1000,2350,1700
2019,November,05,2.00,1100,2400,1800
2019,November,03,2.00,1100,2500,1700
2017,February,08,2.00,1700,2400,2000
2017,February,15,2.00,1700,2400,2000
2017,February,14,2.00,1750,2400,2000
2017,February,09,2.00,1750,2400,2100
2017,February,12,2.00,1800,2350,2000
2017,February,03,2.00,1800,2400,2100
2017,February,04,2.00,1800,2400,2100
2017,February,17,2.00,1800,2500,2100
2017,February,19,2.20,1900,2500,2100
2017,February,20,2.30,1900,2500,2100
2017,February,26,2.30,1950,2600,2150
2017,February,28,2.40,1900,2650,2200
2018,November,08,2.50,350,950,600
2018,November,11,2.50,350,1000,650
2017,February,18,2.50,1750,2450,2000
2017,February,22,2.50,1900,2500,2100
2017,February,27,2.50,1900,2600,2100
2017,February,21,2.60,1700,2450,2000
2017,February,24,2.60,1900,2500,2100
2017,February,23,2.70,1850,2500,2100
2018,August,05,2.80,500,850,600
2017,February,25,2.80,1850,2500,2100
2018,February,03,3.00,250,500,370
2018,September,15,3.00,300,650,450
2018,August,07,3.00,400,800,550
2018,August,06,3.50,400,800,550
2016,January,05,3.50,2750,4000,3500
2016,January,04,3.50,2800,4000,3300
2015,December,16,3.60,1600,2600,2200
2018,February,02,3.80,250,500,350
2017,November,10,3.80,2000,4000,3200
2017,November,12,3.80,2000,4500,3800
2016,January,12,3.80,2500,3500,3000
2016,January,09,3.80,2600,3800,3100
2016,January,06,3.80,2700,4000,3500
2017,November,11,3.90,2000,4000,3300
2016,January,03,3.90,2200,3800,3000
2016,January,07,3.90,2500,3800,3300
2018,January,29,4.00,200,400,300
2018,January,25,4.00,200,410,300
2018,January,30,4.00,200,420,290
2018,January,28,4.00,200,430,300
2016,February,21,4.00,250,450,350
2016,February,22,4.00,250,450,350
2016,February,18,4.00,300,550,400
2016,February,07,4.00,350,650,500
2016,February,13,4.00,350,650,500
2016,February,11,4.00,400,700,500
2016,February,12,4.00,400,700,500
2018,October,26,4.00,700,1300,1000
2016,January,20,4.00,1000,2000,1500
2016,January,13,4.00,1300,2800,2000
2016,January,17,4.00,1350,2700,2000
2015,December,21,4.00,1500,2000,1700
2015,December,22,4.00,1500,2100,1750
2015,December,29,4.00,1550,2100,1700
2015,December,24,4.00,1550,2200,1800
2015,December,28,4.00,1650,2200,1850
2015,December,20,4.00,1650,2600,2200
2017,November,08,4.00,1700,3700,2900
2017,November,14,4.00,1750,3600,2700
2017,November,09,4.00,1750,3800,3000
2017,November,19,4.00,1800,3600,2750
2017,November,20,4.00,1900,3600,2700
2017,November,17,4.00,1900,3700,2700
2017,November,18,4.00,1950,3650,2700
2016,January,01,4.00,2000,3500,2700
2016,January,02,4.00,2100,3600,2800
2017,November,13,4.00,2200,4600,3700
2016,January,08,4.00,2500,3700,3200
2016,January,10,4.00,2600,3500,3000
2016,February,09,4.10,350,600,450
2016,February,08,4.10,350,650,500
2016,February,25,4.10,400,750,550
2016,January,19,4.10,1000,2000,1500
2015,December,26,4.10,1500,2100,1750
2017,November,15,4.10,1700,3600,2650
2018,January,27,4.20,200,420,300
2016,February,23,4.20,200,450,300
2016,February,20,4.20,250,500,350
2016,February,27,4.20,250,500,350
2016,March,03,4.20,250,600,400
2016,March,05,4.20,250,650,400
2016,February,15,4.20,300,600,400
2016,February,17,4.20,300,600,400
2016,February,14,4.20,300,650,450
2016,March,07,4.20,300,700,500
2016,February,10,4.20,350,650,500
2016,February,26,4.20,350,650,500
2016,February,05,4.20,350,700,500
2016,February,06,4.20,350,700,500
2016,February,24,4.20,350,700,500
2016,February,04,4.20,450,700,600
2016,January,14,4.20,1400,2750,2000
2015,December,25,4.20,1450,2100,1700
2015,December,23,4.20,1500,2100,1700
2015,December,19,4.20,1600,2400,2100
2015,December,17,4.20,1600,2600,2200
2017,November,16,4.20,1700,3600,2650
2016,January,11,4.20,2550,3500,3000
2018,January,31,4.30,190,420,300
2016,March,08,4.30,300,700,500
2016,February,02,4.30,350,700,550
2016,January,15,4.30,1300,2700,2000
2016,January,16,4.30,1300,2700,2000
2016,January,18,4.30,1300,2700,2000
2015,December,27,4.30,1500,2100,1750
2014,December,08,4.40,1600,2200,1900
2018,January,22,4.50,200,420,300
2018,January,24,4.50,210,430,310
2018,February,10,4.50,210,480,320
2016,February,19,4.50,250,500,350
2016,March,04,4.50,250,600,400
2016,January,26,4.50,250,600,400
2016,January,28,4.50,250,600,400
2016,February,16,4.50,280,550,400
2016,February,01,4.50,300,650,450
2016,March,06,4.50,300,650,450
2016,February,03,4.50,500,750,600
2014,December,12,4.50,1000,1400,1200
2014,December,11,4.50,1000,1600,1300
2017,December,07,4.50,1100,2100,1650
2014,December,04,4.50,1400,2000,1700
2014,December,05,4.50,1500,2000,1800
2014,December,07,4.50,1500,2000,1800
2017,November,07,4.50,1500,3500,2450
2017,November,05,4.50,1500,3500,2700
2017,October,25,4.50,1750,3500,2900
2017,October,24,4.50,1800,3500,2900
2015,November,06,4.50,2500,4000,3200
2015,November,07,4.50,2600,4200,3500
2016,January,27,4.60,250,600,400
2016,January,29,4.60,300,600,400
2014,December,13,4.70,850,1200,1000
2015,December,18,4.70,1500,2400,2100
2015,November,16,4.70,2800,3800,3200
2018,January,23,4.80,190,420,300
2018,January,26,4.80,200,420,280
2014,December,03,4.80,1100,1500,1300
2014,December,10,4.80,1100,1800,1400
2017,November,22,4.80,1500,3000,2300
2017,October,26,4.80,1700,3400,2800
2015,November,17,4.80,2800,3800,3200
2014,November,24,4.90,800,1200,1000
2014,November,30,4.90,1000,1400,1200
2014,November,18,4.90,1200,1700,1400
2014,December,06,4.90,1300,1800,1500
2017,October,12,4.90,1600,2700,2100
2015,November,08,4.90,2500,4500,3500
2015,November,09,4.90,2500,4500,3500
2015,November,15,4.90,2600,3500,3000
2015,November,21,4.90,3000,3900,3600
2018,February,13,5.00,200,400,300
2018,February,14,5.00,200,420,300
2018,March,03,5.00,200,450,300
2016,March,15,5.00,200,450,300
2018,February,07,5.00,200,480,320
2016,March,12,5.00,200,500,300
2018,February,09,5.00,210,470,300
2018,February,11,5.00,220,450,310
2018,February,05,5.00,220,490,350
2016,March,13,5.00,220,520,300
2018,February,04,5.00,230,500,350
2016,February,28,5.00,250,480,350
2016,March,01,5.00,250,500,350
2017,December,13,5.00,250,700,400
2014,January,26,5.00,300,420,350
2014,April,06,5.00,300,500,400
2014,April,08,5.00,300,520,400
2015,March,03,5.00,300,600,400
2018,March,09,5.00,300,600,400
2016,April,03,5.00,300,650,450
2018,January,04,5.00,300,650,450
2016,March,09,5.00,300,650,450
2014,March,24,5.00,350,500,400
2015,August,15,5.00,350,600,450
2015,August,10,5.00,350,650,450
2015,March,11,5.00,350,700,500
2015,March,13,5.00,350,700,500
2015,March,14,5.00,350,700,500
2015,March,17,5.00,350,700,500
2014,April,02,5.00,350,700,550
2015,March,19,5.00,350,800,500
2018,August,04,5.00,400,600,500
2015,August,16,5.00,400,650,500
2015,September,03,5.00,400,700,500
2014,April,12,5.00,400,700,500
2015,September,04,5.00,400,800,500
2015,February,18,5.00,400,800,500
2015,March,21,5.00,400,800,550
2015,February,12,5.00,400,800,600
2015,February,13,5.00,400,800,600
2015,April,16,5.00,400,800,600
2015,February,11,5.00,400,800,650
2014,December,31,5.00,400,850,600
2015,April,13,5.00,400,850,650
2015,January,24,5.00,400,900,700
2016,January,25,5.00,400,950,700
2015,September,15,5.00,400,1000,700
2014,December,20,5.00,450,700,550
2014,December,24,5.00,450,700,600
2015,March,12,5.00,450,750,600
2015,March,20,5.00,450,800,550
2015,September,07,5.00,450,800,600
2015,April,12,5.00,450,800,600
2015,August,18,5.00,450,800,650
2014,December,25,5.00,450,800,650
2015,February,04,5.00,450,800,700
2015,September,05,5.00,450,850,600
2015,April,14,5.00,450,900,650
2015,March,22,5.00,450,900,700
2015,January,30,5.00,450,900,700
2015,January,11,5.00,450,950,700
2014,December,26,5.00,450,1000,700
2017,January,08,5.00,500,800,650
2015,September,11,5.00,500,800,700
2014,November,20,5.00,500,800,700
2015,August,30,5.00,500,900,700
2015,April,15,5.00,500,900,750
2015,August,07,5.00,550,900,700
2015,March,23,5.00,550,900,700
2015,September,16,5.00,550,1000,700
2015,September,19,5.00,550,1000,700
2015,August,21,5.00,550,1000,700
2015,September,17,5.00,550,1000,750
2015,August,25,5.00,550,1000,750
2015,April,18,5.00,550,1000,800
2015,September,13,5.00,600,950,800
2015,August,20,5.00,600,1000,700
2015,August,23,5.00,600,1000,700
2015,January,14,5.00,600,1000,750
2015,August,24,5.00,600,1000,800
2015,August,26,5.00,600,1100,800
2015,January,16,5.00,600,1100,850
2014,November,21,5.00,650,900,800
2016,April,08,5.00,650,1000,800
2015,September,14,5.00,650,1000,800
2014,November,22,5.00,650,1000,800
2015,September,22,5.00,650,1000,800
2015,September,23,5.00,650,1100,800
2015,April,19,5.00,650,1200,900
2014,June,19,5.00,670,820,700
2014,December,15,5.00,700,900,800
2014,April,24,5.00,700,900,800
2014,April,25,5.00,700,900,800
2014,November,27,5.00,700,1000,800
2015,January,02,5.00,700,1100,800
2015,September,24,5.00,700,1300,900
2015,September,26,5.00,700,1300,900
2014,December,14,5.00,750,1000,900
2016,September,06,5.00,750,1250,1000
2016,April,09,5.00,750,1300,1000
2014,November,23,5.00,800,1200,1000
2014,November,26,5.00,800,1200,1000
2015,April,20,5.00,800,1500,1000
2018,October,25,5.00,800,1500,1200
2016,January,21,5.00,800,1700,1350
2015,September,25,5.00,850,1350,1000
2015,August,27,5.00,900,1200,1000
2014,November,28,5.00,900,1300,1100
2016,April,14,5.00,950,1300,1100
2015,June,16,5.00,950,1350,1100
2015,June,17,5.00,950,1400,1200
2015,October,01,5.00,950,1500,1200
2017,October,01,5.00,950,1500,1200
2016,April,20,5.00,1000,1300,1200
2016,April,16,5.00,1000,1350,1200
2015,June,12,5.00,1000,1400,1150
2014,December,02,5.00,1000,1400,1200
2015,June,05,5.00,1000,1400,1200
2015,June,07,5.00,1000,1400,1200
2015,June,11,5.00,1000,1400,1200
2015,June,20,5.00,1000,1400,1200
2014,November,29,5.00,1000,1400,1200
2015,June,21,5.00,1000,1450,1200
2014,November,15,5.00,1000,1500,1200
2015,May,16,5.00,1000,1500,1200
2014,November,16,5.00,1000,1500,1200
2014,December,01,5.00,1000,1500,1300
2015,May,03,5.00,1000,1600,1200
2015,April,21,5.00,1000,1600,1200
2017,October,06,5.00,1000,1600,1250
2017,October,04,5.00,1000,1600,1300
2015,May,05,5.00,1000,1600,1300
2015,October,25,5.00,1000,1600,1350
2015,October,27,5.00,1000,1600,1350
2015,May,02,5.00,1000,1600,1400
2015,October,30,5.00,1000,1650,1300
2015,October,24,5.00,1000,1650,1400
2015,May,07,5.00,1000,1700,1300
2015,October,31,5.00,1000,1700,1300
2015,May,18,5.00,1000,1700,1400
2015,April,23,5.00,1000,1700,1400
2015,October,23,5.00,1000,1700,1400
2017,March,01,5.00,1000,1800,1400
2015,April,24,5.00,1000,1800,1500
2017,December,08,5.00,1000,2000,1650
2015,October,07,5.00,1100,1650,1400
2015,November,01,5.00,1100,1700,1400
2015,October,06,5.00,1100,1700,1400
2015,October,21,5.00,1100,1700,1450
2015,October,20,5.00,1100,1700,1500
2015,October,17,5.00,1100,1750,1500
2017,October,08,5.00,1100,1800,1400
2017,October,09,5.00,1100,1800,1400
2017,March,21,5.00,1100,1800,1400
2015,November,02,5.00,1100,1800,1500
2015,May,08,5.00,1100,1800,1500
2015,May,19,5.00,1100,1800,1500
2015,October,08,5.00,1200,1700,1450
2015,October,02,5.00,1200,1700,1500
2015,October,05,5.00,1200,1700,1500
2014,November,17,5.00,1200,1700,1500
2015,October,28,5.00,1200,1700,1600
2015,November,03,5.00,1200,1800,1500
2015,October,18,5.00,1200,1800,1500
2014,November,19,5.00,1200,1800,1500
2015,May,22,5.00,1200,2000,1600
2015,May,20,5.00,1200,2000,1700
2017,December,03,5.00,1200,2500,1800
2015,October,14,5.00,1250,1900,1650
2017,October,19,5.00,1250,3000,2100
2017,October,13,5.00,1250,3000,2200
2015,October,10,5.00,1300,1800,1550
2016,April,24,5.00,1300,2000,1750
2017,October,21,5.00,1300,3100,2300
2015,October,11,5.00,1350,1800,1600
2015,July,05,5.00,1350,2000,1700
2017,October,10,5.00,1350,2400,1900
2017,October,16,5.00,1350,3500,2400
2015,October,15,5.00,1400,1900,1650
2015,July,01,5.00,1400,2000,1700
2015,November,26,5.00,1400,2200,1800
2017,October,15,5.00,1400,3500,2500
2014,December,09,5.00,1450,2000,1800
2015,November,11,5.00,1450,2300,1800
2015,October,12,5.00,1500,1950,1750
2015,June,26,5.00,1500,2000,1700
2016,April,25,5.00,1500,2100,1800
2015,November,10,5.00,1500,2300,1800
2015,May,23,5.00,1500,2700,2200
2017,November,01,5.00,1500,3500,2800
2016,April,30,5.00,1550,2200,1900
2017,October,11,5.00,1550,2700,2000
2015,July,26,5.00,1600,1900,1700
2015,July,23,5.00,1600,1950,1700
2015,June,24,5.00,1600,2000,1800
2015,June,25,5.00,1600,2000,1800
2015,July,24,5.00,1650,2000,1800
2015,July,19,5.00,1700,2200,1900
2015,July,07,5.00,1700,2300,2000
2015,July,12,5.00,1700,2300,2000
2017,October,27,5.00,1750,3400,2900
2017,October,29,5.00,1750,3500,2900
2015,July,08,5.00,1800,2400,2000
2016,May,01,5.00,1800,2600,2200
2015,July,13,5.00,1900,2400,2100
2015,July,14,5.00,1900,2400,2100
2016,May,02,5.00,1900,2700,2300
2014,August,12,5.00,2000,2800,2400
2016,May,04,5.00,2000,2900,2500
2015,November,04,5.00,2000,3500,2800
2015,November,05,5.00,2000,3500,2800
2014,July,12,5.00,2100,2500,2300
2014,July,14,5.00,2200,2600,2400
2016,May,05,5.00,2200,3000,2700
2017,June,10,5.00,2200,3200,2800
2014,July,16,5.00,2500,3200,2800
2015,November,13,5.00,2600,3500,3000
2015,November,14,5.00,2600,3700,3100
2015,November,12,5.00,2700,3500,3000
2015,November,18,5.00,2700,3500,3100
2015,November,19,5.00,2700,3550,3100
2017,June,23,5.00,2700,3700,3200
2017,June,11,5.00,2800,3500,3200
2016,May,09,5.00,2800,3800,3500
2015,November,20,5.00,2900,3800,3400
2017,June,25,5.00,2900,4000,3500
2014,July,19,5.00,3000,3800,3500
2015,November,24,5.00,3000,3800,3500
2015,November,25,5.00,3000,3800,3500
2014,July,20,5.00,3000,4000,3500
2016,May,10,5.00,3000,4000,3600
2016,May,12,5.00,3000,4000,3600
2017,June,27,5.00,3000,5000,4400
2017,June,28,5.00,3000,5100,4400
2015,November,22,5.00,3100,4000,3600
2014,August,03,5.00,3200,3800,3500
2014,August,04,5.00,3200,3800,3500
2016,May,13,5.00,3300,4000,3700
2016,May,14,5.00,3500,4200,3800
2014,July,29,5.00,3500,4200,3800
2016,May,21,5.00,3600,4300,3900
2018,February,12,5.10,220,450,310
2018,February,06,5.10,230,500,350
2016,March,02,5.10,250,470,350
2016,February,29,5.10,270,500,350
