year,month,date,arrival,min,max,modal
2017,July,04,4.00,1550,3300,2100
2017,July,13,4.00,2700,4500,3500
2017,July,15,4.00,2750,4700,3600
2017,July,16,4.00,2800,4900,3850
2019,March,05,5.00,250,550,350
2019,April,11,5.00,450,1400,600
2019,January,16,5.00,600,1800,1200
2022,January,16,5.00,1000,2000,1500
2020,July,11,5.00,1900,3000,2100
2020,July,12,5.00,1900,3100,2100
2020,July,19,5.00,1900,3100,2100
2020,July,10,5.00,1900,3100,2200
2020,July,07,5.00,2000,3000,2100
2020,July,09,5.00,2000,3000,2100
2020,July,01,5.00,2000,3000,2200
2020,July,05,5.00,2000,3000,2200
2020,July,06,5.00,2000,3100,2100
2020,July,08,5.00,2000,3100,2200
2020,July,13,5.00,2000,3200,2200
2020,July,20,5.00,2000,3300,2200
2019,June,25,5.00,2000,3300,2600
2020,July,14,5.00,2000,3500,2500
2020,July,18,5.00,2000,3500,2500
2020,July,17,5.00,2000,3600,2500
2020,July,15,5.00,2100,3600,2500
2020,July,04,5.00,2200,3500,2500
2020,July,16,5.00,2200,4000,2700
2019,April,27,8.00,600,1500,700
2017,July,19,9.00,2300,4700,3300
2017,July,14,9.00,2750,4700,3600
2015,December,15,10.00,280,600,450
2020,January,30,10.00,500,700,600
2022,January,23,10.00,500,1000,700
2015,November,22,10.00,700,2000,1350
2020,June,07,10.00,750,950,850
2023,January,16,10.00,800,1200,1000
2016,January,21,10.00,900,1200,1050
2023,March,04,10.00,900,1500,1100
2020,June,12,10.00,950,1250,1100
2023,February,19,10.00,1000,1800,1500
2022,January,15,10.00,1000,2000,1500
2017,June,30,10.00,1050,2600,1400
2017,June,22,10.00,1100,1800,1450
2017,June,26,10.00,1200,2000,1500
2016,January,01,10.00,1350,1950,1500
2016,January,12,10.00,1600,1900,1700
2016,January,17,10.00,1600,1900,1700
2016,January,11,10.00,1600,1900,1750
2020,July,25,10.00,1600,2700,1900
2016,January,18,10.00,1700,1950,1800
2016,January,20,10.00,1700,1950,1800
2016,January,10,10.00,1700,2200,2000
2016,January,19,10.00,1750,1900,1800
2016,January,09,10.00,1800,2300,2000
2016,May,16,10.00,1900,2100,2000
2016,January,06,10.00,2000,2500,2200
2020,July,02,10.00,2000,3200,2200
2016,June,03,10.00,2050,2850,2650
2016,June,26,10.00,2300,2700,2500
2017,July,06,10.00,2300,4000,3100
2016,May,22,10.00,2500,3000,2700
2016,May,27,10.00,2500,3000,2850
2016,June,04,10.00,2500,3800,3600
2016,June,05,10.00,2500,3800,3600
2017,July,07,10.00,2500,4300,3500
2017,July,09,10.00,2500,4500,3600
2016,May,17,10.00,2600,2800,2700
2016,May,26,10.00,2800,3300,3100
2016,June,20,10.00,3000,3800,3500
2016,June,18,10.00,3200,3900,3700
2016,June,19,10.00,3200,3900,3700
2016,June,17,10.00,3500,4100,3900
2016,June,09,10.00,3700,4600,4200
2016,June,10,10.00,3700,4600,4200
2016,June,11,10.00,3700,4600,4200
2016,June,06,10.00,3800,4700,4300
2016,June,07,10.00,3800,4700,4300
2016,June,08,10.00,3800,4700,4300
2016,June,12,10.00,3800,4700,4300
2016,June,16,10.00,4000,4700,4500
2024,June,19,10.00,4000,5000,4200
2016,June,13,10.00,4400,5000,4600
2016,June,14,10.00,4400,5000,4600
2016,June,15,10.00,4450,5050,4700
2021,November,19,10.00,4800,5000,4900
2019,March,31,12.00,400,1200,800
2019,April,13,12.00,500,1500,700
2019,April,02,12.00,500,1500,800
2019,April,04,12.00,500,1500,800
2019,April,06,12.00,500,1500,800
2019,April,20,12.00,550,1450,650
2019,April,22,12.00,550,1450,650
2019,April,23,12.00,550,1450,650
2019,April,09,12.00,550,1550,750
2019,April,15,12.00,600,1500,700
2019,April,18,12.00,600,1500,700
2019,April,24,12.00,600,1500,700
2019,April,08,12.00,600,1600,700
2017,June,17,12.00,700,1550,1000
2017,June,18,12.00,800,1600,1100
2017,June,19,12.00,1000,2000,1400
2017,February,24,12.00,1100,1400,1200
2016,May,14,12.00,1850,2150,1950
2019,June,18,12.00,2000,3300,2600
2019,June,22,12.00,2000,3300,2600
2018,March,18,15.00,140,340,240
2018,November,08,15.00,200,500,300
2019,January,23,15.00,200,1400,1000
2016,April,09,15.00,280,400,320
2020,March,09,15.00,400,600,500
2020,May,18,15.00,400,600,500
2020,May,19,15.00,400,600,500
2019,March,22,15.00,400,800,600
2019,March,06,15.00,400,900,600
2017,June,08,15.00,400,900,600
2019,March,23,15.00,400,900,600
2020,March,02,15.00,450,650,550
2020,March,05,15.00,450,650,550
2020,March,08,15.00,450,650,550
2020,March,30,15.00,450,650,550
2019,April,10,15.00,450,1400,600
2019,April,14,15.00,500,1500,700
2019,April,03,15.00,500,1500,800
2019,April,05,15.00,500,1500,800
2019,January,17,15.00,500,1700,1000
2019,April,21,15.00,550,1450,650
2019,March,21,15.00,600,1000,700
2019,April,16,15.00,600,1500,700
2019,April,17,15.00,600,1500,700
2020,February,22,15.00,650,850,750
2021,January,15,15.00,650,1300,950
2023,February,08,15.00,700,1300,1000
2020,November,27,15.00,700,1500,1000
2016,May,05,15.00,800,1000,900
2015,November,24,15.00,800,2200,1400
2015,November,18,15.00,800,2200,1600
2017,February,28,15.00,900,1300,1100
2017,February,15,15.00,1000,1350,1100
2023,February,16,15.00,1000,2000,1500
2015,November,23,15.00,1000,2400,1600
2019,July,03,15.00,1000,3200,2000
2017,June,23,15.00,1300,2100,1700
2017,June,24,15.00,1300,2100,1700
2019,May,11,15.00,1500,3000,2500
2016,January,13,15.00,1600,1900,1700
2016,January,15,15.00,1600,1900,1700
2016,January,14,15.00,1650,1950,1750
2016,January,07,15.00,2000,2500,2200
2016,January,08,15.00,2000,2500,2200
2022,January,09,15.00,2000,3200,2500
2019,June,26,15.00,2000,3300,2600
2019,June,28,15.00,2000,3300,2600
2024,June,08,15.00,2200,3000,2600
2017,July,20,16.00,2300,4600,3400
2017,July,17,16.00,2300,4700,3300
2017,July,21,16.00,2300,4700,3500
2017,July,22,16.00,2350,4900,3500
2017,July,18,16.00,2800,4900,3800
2016,March,09,17.00,170,250,200
2017,January,15,17.00,360,470,400
2019,March,26,17.00,400,1000,700
2016,April,28,17.00,650,850,700
2019,January,10,17.00,850,2500,1800
2017,March,04,17.00,900,1200,1050
2017,February,12,17.00,900,1300,1000
2017,February,16,17.00,900,1300,1000
2017,February,22,17.00,900,1300,1000
2017,March,06,17.00,1000,1400,1200
2023,January,17,17.00,1000,1500,1200
2019,July,06,17.00,1000,2500,1500
2017,June,21,17.00,1100,1800,1450
2020,June,20,17.00,1300,2000,1500
2020,June,21,17.00,1300,2000,1500
2019,June,10,17.00,1800,3100,2400
2020,July,22,17.00,1900,3200,2200
2019,July,01,17.00,2000,3300,2600
2019,June,03,17.00,2000,3300,2600
2019,June,06,17.00,2000,3300,2600
2019,June,20,17.00,2000,3300,2600
2019,June,27,17.00,2000,3300,2600
2019,June,29,17.00,2000,3300,2600
2019,June,30,17.00,2000,3300,2600
2019,June,13,17.00,2200,3500,2800
2019,May,24,17.00,2200,3700,3000
2017,July,24,17.00,2200,4600,3400
2019,April,26,18.00,600,1500,700
2019,April,28,18.00,600,1500,700
2019,May,01,18.00,700,1600,800
2019,April,30,18.00,700,1600,800
2019,May,08,18.00,1100,2500,2000
2019,May,04,18.00,1300,2800,2200
2019,May,06,18.00,1300,2800,2200
2017,June,27,18.00,1400,2300,1800
2019,February,03,20.00,180,700,500
2019,February,20,20.00,180,700,500
2019,February,25,20.00,180,700,500
2019,February,27,20.00,180,700,500
2019,March,13,20.00,200,650,400
2019,March,17,20.00,200,700,500
2018,November,23,20.00,300,700,500
2015,November,29,20.00,400,900,600
2015,December,31,20.00,450,560,500
2020,February,29,20.00,450,600,500
2015,December,30,20.00,500,650,600
2020,January,16,20.00,500,700,600
2020,February,14,20.00,600,800,700
2023,March,23,20.00,600,800,700
2020,February,09,20.00,650,850,750
2015,November,26,20.00,670,1900,1200
2020,February,08,20.00,700,900,800
2020,February,10,20.00,700,900,800
2023,February,05,20.00,700,1300,1000
2019,January,09,20.00,700,1800,1400
2015,November,19,20.00,700,2000,1350
2015,November,20,20.00,700,2100,1400
2017,March,30,20.00,750,1250,950
2015,November,21,20.00,800,2200,1600
2017,February,13,20.00,900,1300,1000
2015,November,17,20.00,900,2400,1700
2023,February,18,20.00,1000,1600,1400
2023,February,15,20.00,1000,1700,1300
2019,July,12,20.00,1300,3000,2400
2017,June,28,20.00,1650,3300,2300
2016,January,16,20.00,1700,2000,1800
2020,July,24,20.00,1700,2800,1900
2016,June,01,20.00,1800,2600,2400
2016,June,02,20.00,1800,2600,2400
2019,June,07,20.00,1800,3100,2400
2016,May,15,20.00,1850,2150,1950
2016,May,30,20.00,1900,2500,2300
2016,May,31,20.00,1900,2900,2500
2020,July,03,20.00,1900,3000,2100
2020,July,21,20.00,1950,3250,2200
2016,May,28,20.00,2000,2600,2500
2019,June,05,20.00,2000,3300,2600
2019,June,11,20.00,2000,3300,2600
2019,June,12,20.00,2000,3300,2600
2019,June,17,20.00,2000,3300,2600
2019,June,19,20.00,2000,3300,2600
2019,June,21,20.00,2000,3300,2600
2016,May,29,20.00,2100,2600,2500
2016,May,20,20.00,2500,2700,2600
2016,May,21,20.00,2500,3000,2700
2024,June,09,20.00,2500,3500,3000
2016,May,19,20.00,2650,2850,2750
2016,May,25,20.00,2800,3300,3100
2016,May,24,20.00,2800,3400,3200
2017,June,06,22.00,300,900,600
2017,June,12,22.00,400,950,700
2017,June,14,22.00,400,1100,700
2016,April,27,22.00,500,600,550
2017,June,16,22.00,650,1450,950
2023,March,08,22.00,800,1200,1000
2017,February,27,22.00,900,1300,1100
2019,July,07,22.00,1000,2500,1500
2017,June,25,22.00,1200,2000,1500
2017,June,20,22.00,1200,2300,1500
2019,July,09,22.00,1200,2800,1600
2017,June,29,22.00,1350,2900,2000
2017,July,01,22.00,1500,3200,2000
2016,May,11,22.00,1600,2000,1800
2016,May,12,22.00,1700,2100,1900
2017,July,03,22.00,1700,3400,2100
2016,May,13,22.00,1800,2100,1900
2016,June,25,22.00,1900,2500,2300
2019,June,15,22.00,2000,3300,2600
2019,June,16,22.00,2000,3300,2600
2019,June,23,22.00,2000,3300,2600
2019,July,05,22.00,2000,3300,2800
2019,June,14,22.00,2000,3500,2800
2017,July,23,22.00,2200,4600,3600
2016,June,24,22.00,2300,2700,2500
2016,June,28,22.00,2300,2700,2500
2019,April,29,23.00,700,1600,800
2020,June,13,23.00,1000,1300,1150
2019,May,02,23.00,1000,2200,1500
2019,July,10,23.00,1200,2800,1600
2016,March,05,24.00,150,230,180
2019,January,21,24.00,200,800,600
2017,June,11,24.00,400,1100,700
2017,June,09,24.00,450,1050,750
2017,June,15,24.00,500,1250,800
2017,March,14,24.00,600,800,700
2017,February,18,24.00,900,1300,1000
2019,May,05,24.00,1300,2800,2200
2019,May,12,24.00,1500,3000,2500
2016,June,27,24.00,2200,2600,2400
2019,May,26,24.00,2200,3700,3000
2019,March,10,25.00,100,500,300
2018,March,19,25.00,140,340,240
2019,February,18,25.00,180,700,500
2019,February,22,25.00,180,700,500
2019,March,07,25.00,250,700,500
2015,December,03,25.00,300,600,450
2015,December,06,25.00,300,800,600
2016,April,17,25.00,360,600,500
2017,June,10,25.00,400,1000,700
2017,January,16,25.00,410,550,480
2020,January,28,25.00,500,700,600
2020,January,17,25.00,500,1000,700
2020,February,17,25.00,550,700,600
2021,January,02,25.00,550,1200,850
2016,April,29,25.00,650,850,700
2020,February,04,25.00,700,900,800
2023,February,24,25.00,900,1500,1300
2023,February,12,25.00,900,1600,1100
2023,February,20,25.00,1000,2000,1500
2019,July,02,25.00,1000,2300,1500
2020,June,19,25.00,1200,1500,1300
2015,November,15,25.00,1700,2800,2150
2019,May,23,25.00,2000,3100,2600
2019,June,24,25.00,2000,3300,2600
2016,May,18,25.00,2650,2850,2750
2016,May,23,25.00,2800,3400,3200
2024,June,21,25.00,5600,6600,6100
2016,March,04,27.00,150,230,180
2016,March,06,27.00,150,230,180
2016,April,06,27.00,270,390,330
2016,April,11,27.00,280,400,320
2017,June,13,27.00,400,1100,700
2019,March,28,27.00,400,1100,800
2019,March,29,27.00,400,1100,800
2020,March,04,27.00,450,650,550
2020,March,12,27.00,450,650,550
2020,February,16,27.00,500,700,600
2020,March,17,27.00,500,700,600
2020,March,18,27.00,500,700,600
2020,March,15,27.00,550,750,650
2019,January,14,27.00,550,1800,1300
2020,February,18,27.00,600,800,700
2020,February,24,27.00,650,850,750
2020,February,23,27.00,700,900,800
2017,February,06,27.00,800,1100,900
2017,February,09,27.00,800,1100,900
2017,February,10,27.00,800,1100,900
2017,March,02,27.00,850,1150,1000
2017,March,05,27.00,900,1050,1000
2017,March,13,27.00,900,1100,1000
2017,February,08,27.00,900,1300,1000
2017,February,14,27.00,900,1300,1000
2017,February,17,27.00,900,1300,1000
2017,February,23,27.00,900,1300,1000
2023,March,09,27.00,900,1300,1100
2023,January,24,27.00,900,1800,1200
2020,June,18,27.00,1150,1500,1300
2023,February,22,27.00,1200,2200,1800
2017,March,08,27.00,1300,1700,1500
2019,July,17,27.00,1500,3200,2700
2019,June,09,27.00,1800,3100,2400
2024,June,10,27.00,2800,3800,3000
2019,July,08,28.00,1200,2800,1650
2017,July,02,28.00,1550,3300,2100
2016,March,03,29.00,150,300,200
2019,January,25,29.00,200,800,600
2016,April,08,29.00,280,400,320
2019,March,24,29.00,300,900,600
2020,March,29,29.00,500,700,600
2019,April,01,29.00,500,1500,800
2020,June,08,29.00,900,1200,1000
2019,July,11,29.00,1200,2800,1600
2019,July,13,29.00,1300,3000,2400
2019,July,16,29.00,1500,3200,2700
2019,July,18,29.00,1500,3200,2700
2019,May,29,29.00,2000,3300,2800
2024,June,20,29.00,5500,6500,6000
2018,February,15,30.00,80,250,200
2018,March,14,30.00,100,300,200
2019,February,05,30.00,180,700,500
2015,December,11,30.00,200,450,350
2015,December,12,30.00,200,450,350
2019,March,15,30.00,200,600,400
2019,February,09,30.00,200,750,550
2019,February,10,30.00,200,750,550
2019,February,11,30.00,200,750,550
2015,December,13,30.00,250,500,400
2014,April,24,30.00,300,500,400
2019,January,19,30.00,300,1000,600
2019,January,20,30.00,330,850,500
2015,December,18,30.00,340,600,460
2015,December,19,30.00,360,550,480
2015,December,29,30.00,400,600,490
2020,March,01,30.00,400,600,500
2020,March,03,30.00,400,600,500
2020,March,07,30.00,400,600,500
2020,May,14,30.00,400,600,500
2020,May,21,30.00,400,600,500
2020,February,28,30.00,400,600,500
2020,May,30,30.00,400,600,500
2019,March,30,30.00,400,1100,800
2020,March,11,30.00,450,650,550
2020,March,13,30.00,450,650,550
2020,March,31,30.00,450,650,550
2019,January,24,30.00,450,1000,700
2016,January,24,30.00,500,600,550
2016,January,25,30.00,500,600,550
2020,February,03,30.00,500,700,600
2020,March,14,30.00,500,700,600
2021,April,14,30.00,500,900,800
2021,March,12,30.00,500,950,800
2017,June,04,30.00,500,1000,600
2021,January,08,30.00,500,1150,800
2020,February,02,30.00,550,850,700
2021,January,16,30.00,550,1200,800
2020,February,26,30.00,600,800,700
2019,December,26,30.00,600,1000,800
2016,April,30,30.00,700,900,750
2020,June,06,30.00,700,900,800
2023,January,27,30.00,700,1400,1000
2017,January,31,30.00,750,1000,800
2019,January,08,30.00,750,1850,1350
2023,March,07,30.00,800,1200,1000
2023,February,09,30.00,800,1400,1100
2023,January,30,30.00,800,1500,1100
2023,February,03,30.00,800,1600,1100
2017,February,03,30.00,900,1300,1000
2017,February,05,30.00,900,1300,1000
2017,February,07,30.00,900,1300,1000
2017,February,11,30.00,900,1300,1000
2017,February,21,30.00,900,1300,1000
2023,February,27,30.00,900,1400,1200
2023,February,25,30.00,900,1500,1300
2023,March,03,30.00,900,1700,1200
2023,February,13,30.00,900,1800,1200
2020,June,14,30.00,1000,1300,1150
2023,January,23,30.00,1100,2100,1500
2019,January,06,30.00,1100,2200,1700
2023,January,19,30.00,1200,2200,1500
2019,May,10,30.00,1300,2800,2200
2019,May,14,30.00,1300,2800,2200
2015,November,14,30.00,1500,2600,2050
2019,May,16,30.00,1500,3000,2500
2019,July,19,30.00,1500,3200,2700
2016,January,02,30.00,1800,2400,2100
2016,January,03,30.00,1800,2400,2100
2019,June,04,30.00,2000,3300,2600
2024,June,18,30.00,3800,4800,4000
2019,March,11,32.00,100,550,300
2019,March,01,32.00,180,700,500
2019,February,14,32.00,180,700,500
2019,February,26,32.00,180,700,500
2019,March,27,32.00,300,1000,600
2017,June,03,32.00,340,640,440
2016,April,15,32.00,350,600,390
2016,April,19,32.00,370,610,510
2016,April,23,32.00,400,640,540
2019,January,27,32.00,400,1000,700
2019,January,29,32.00,400,1000,700
2016,April,25,32.00,410,650,550
2020,February,15,32.00,500,700,600
2020,January,15,32.00,500,700,600
2020,January,31,32.00,500,700,600
