year,month,date,arrival,min,max,modal
2019,July,28,0.08,500,1500,1000
2019,June,17,0.08,800,1800,1300
2019,September,29,0.10,800,1800,1300
2019,July,04,0.10,1000,2000,1500
2018,September,05,0.10,1000,2000,1500
2019,September,19,0.10,1000,2000,1500
2019,October,29,0.10,1500,2500,2000
2019,May,31,0.12,500,1500,1000
2019,August,07,0.12,1000,2000,1500
2019,October,26,0.12,1000,2000,1500
2019,August,14,0.14,1000,2000,1500
2019,August,17,0.16,500,1500,1000
2019,June,21,0.16,600,1600,1100
2019,September,18,0.16,700,1700,1400
2019,August,10,0.16,1000,2000,1500
2019,October,18,0.16,1000,2000,1500
2019,November,07,0.16,1500,2500,2000
2019,May,09,0.18,750,1750,1250
2023,November,07,0.18,1000,2000,1500
2019,May,23,0.20,500,1000,750
2019,May,14,0.20,800,1800,1300
2019,June,25,0.20,800,1800,1300
2019,August,20,0.20,1000,1500,1250
2023,November,02,0.20,1000,2000,1500
2019,November,03,0.20,1000,2000,1500
2023,May,04,0.20,1000,2000,1500
2023,May,05,0.20,1000,2000,1500
2019,August,11,0.20,1000,2000,1500
2023,May,16,0.20,1000,2000,1500
2019,July,18,0.20,1000,2000,1500
2019,October,20,0.20,1000,2000,1500
2019,July,21,0.20,1000,2000,1500
2019,October,21,0.20,1000,2000,1500
2019,July,22,0.20,1000,2000,1500
2019,July,24,0.20,1000,2000,1500
2023,April,28,0.20,1000,2000,1500
2023,October,30,0.20,1000,2000,1500
2019,July,31,0.20,1000,2000,1500
2022,March,05,0.20,1200,2000,1600
2023,May,10,0.22,1000,2000,1500
2023,November,15,0.22,1000,2000,1500
2023,November,22,0.22,1000,2000,1500
2023,April,27,0.22,1000,2000,1500
2023,November,30,0.22,1000,2000,1500
2019,August,29,0.24,500,1500,1000
2019,June,29,0.24,600,1600,1100
2018,October,06,0.24,1000,2000,1500
2019,October,13,0.24,1000,2000,1500
2019,July,20,0.24,1000,2000,1500
2023,May,22,0.24,1000,2000,1500
2019,July,23,0.24,1000,2000,1500
2019,November,24,0.24,1000,2000,1500
2023,April,26,0.24,1000,2000,1500
2019,November,04,0.24,1500,2500,2000
2022,May,10,0.26,1000,1800,1400
2023,October,19,0.26,1000,2000,1500
2019,October,22,0.26,1000,2000,1500
2023,October,25,0.26,1200,2200,1500
2019,May,18,0.28,750,1750,1250
2023,May,08,0.28,1000,2000,1500
2019,September,08,0.28,1000,2000,1500
2023,May,20,0.28,1000,2000,1500
2023,May,23,0.28,1000,2000,1500
2023,December,05,0.28,1200,2000,1600
2023,December,12,0.28,1200,2000,1600
2023,December,22,0.28,1200,2000,1600
2019,July,13,0.28,2000,4000,3000
2019,April,13,0.30,500,1500,1000
2019,April,21,0.30,500,1500,1000
2019,April,23,0.30,500,1500,1000
2019,October,28,0.30,500,1500,1000
2019,September,03,0.30,1000,2000,1500
2022,March,14,0.30,1000,2000,1500
2023,November,17,0.30,1000,2000,1500
