year,month,date,arrival,min,max,modal
2021,November,22,1.00,4000,5000,4500
2021,December,03,1.00,4400,4800,4600
2021,December,09,1.00,4600,5200,4900
2021,November,20,2.00,4500,5000,4750
2021,December,08,4.00,4500,4800,4600
2021,November,15,10.00,4000,4500,4250
2021,October,20,10.00,4100,4500,4300
2021,December,31,10.00,4500,5000,4800
2021,October,16,12.00,4000,5000,4500
2021,November,25,12.00,4200,4800,4450
2021,December,06,12.00,4500,5000,4700
2021,December,07,12.00,4500,5000,4700
2021,November,17,12.00,4500,5000,4750
2021,December,04,12.00,4500,5200,4800
2021,November,23,12.50,4500,5000,4750
2021,November,01,25.00,4000,4500,4250
2021,October,14,25.00,4000,5000,4500
2021,November,27,25.00,4500,5000,4750
2021,December,01,40.00,4500,5000,4750
2017,April,22,0.10,2350,2650,2500
2017,March,21,0.10,2400,2600,2500
2017,March,22,0.10,2400,2600,2500
