year,month,date,arrival,min,max,modal
2019,November,02,0.10,200,300,250
2019,November,04,0.10,500,1000,750
2018,July,24,0.10,1500,2000,1700
2020,October,27,0.10,1500,2000,1800
2020,April,09,0.30,200,300,250
2018,August,01,0.30,200,400,300
2018,August,03,0.30,200,400,300
2020,March,05,0.30,200,400,300
2020,April,06,0.30,200,400,300
2020,April,13,0.30,200,400,300
2019,October,24,0.30,200,400,300
2019,October,22,0.30,200,500,300
2019,October,23,0.30,200,500,300
2019,October,25,0.30,200,500,300
2020,March,02,0.30,200,500,350
2020,March,03,0.30,200,500,350
2020,March,07,0.30,200,500,350
2020,March,09,0.30,200,500,350
2020,March,10,0.30,200,500,350
2020,March,11,0.30,200,500,350
2020,March,12,0.30,200,500,350
2020,March,13,0.30,200,500,350
2020,March,16,0.30,200,500,350
2020,March,20,0.30,200,500,350
2020,February,22,0.30,200,500,350
2020,March,31,0.30,200,500,350
2019,November,01,0.30,200,500,400
2018,August,02,0.30,200,500,400
2019,December,07,0.30,200,600,400
2018,August,26,0.30,250,450,350
2018,August,06,0.30,300,400,350
2018,September,04,0.30,300,500,400
2018,August,05,0.30,300,500,400
2018,August,07,0.30,300,500,400
2018,August,09,0.30,300,500,400
2018,August,27,0.30,300,500,400
2020,April,08,0.30,300,600,450
2019,December,04,0.30,300,700,500
2020,May,06,0.30,300,700,500
2019,December,27,0.30,300,700,500
2020,January,03,0.30,300,750,500
2018,September,03,0.30,350,500,400
2018,October,22,0.30,350,500,400
2018,December,05,0.30,350,600,500
2018,September,05,0.30,400,500,450
2018,November,06,0.30,400,500,450
2018,September,06,0.30,400,500,450
2018,September,07,0.30,400,500,450
2018,September,09,0.30,400,500,450
2018,August,10,0.30,400,500,450
2018,September,10,0.30,400,500,450
2018,October,17,0.30,400,500,450
2018,August,31,0.30,400,500,450
2018,November,05,0.30,400,600,500
2019,February,09,0.30,400,600,500
2019,February,12,0.30,400,600,500
2018,November,17,0.30,400,600,500
2019,February,18,0.30,400,600,500
2019,February,19,0.30,400,600,500
2019,March,19,0.30,400,600,500
2019,March,20,0.30,400,600,500
2019,March,21,0.30,400,600,500
2018,August,25,0.30,400,600,500
2018,October,29,0.30,400,600,500
2019,March,31,0.30,400,600,500
2018,November,24,0.30,400,700,550
2020,February,11,0.30,400,750,600
2019,December,30,0.30,400,750,600
2020,January,04,0.30,400,800,600
2019,December,28,0.30,400,800,600
2018,October,18,0.30,450,500,475
2018,September,08,0.30,450,550,500
2019,March,16,0.30,450,600,500
2020,February,05,0.30,450,850,650
2020,January,31,0.30,450,850,650
2018,November,02,0.30,500,600,550
2018,November,07,0.30,500,600,550
2019,April,08,0.30,500,600,550
2018,November,09,0.30,500,600,550
2018,September,11,0.30,500,600,550
2019,April,12,0.30,500,600,550
2018,September,12,0.30,500,600,550
2019,February,13,0.30,500,600,550
2018,November,13,0.30,500,600,550
2019,March,14,0.30,500,600,550
2018,November,14,0.30,500,600,550
2018,September,14,0.30,500,600,550
2018,September,15,0.30,500,600,550
2018,October,20,0.30,500,600,550
2019,March,23,0.30,500,600,550
2018,September,23,0.30,500,600,550
2019,March,24,0.30,500,600,550
2018,October,24,0.30,500,600,550
2019,March,25,0.30,500,600,550
2018,October,25,0.30,500,600,550
2019,March,26,0.30,500,600,550
2018,October,27,0.30,500,600,550
2018,August,29,0.30,500,600,550
2019,January,01,0.30,500,700,600
2019,March,01,0.30,500,700,600
2018,November,01,0.30,500,700,600
2019,February,04,0.30,500,700,600
2019,February,05,0.30,500,700,600
2019,April,06,0.30,500,700,600
2019,February,06,0.30,500,700,600
2018,October,09,0.30,500,700,600
2018,October,10,0.30,500,700,600
2019,February,11,0.30,500,700,600
2018,December,14,0.30,500,700,600
2019,March,18,0.30,500,700,600
2019,February,20,0.30,500,700,600
2018,November,20,0.30,500,700,600
2019,February,21,0.30,500,700,600
2019,February,22,0.30,500,700,600
2018,October,26,0.30,500,700,600
2019,February,27,0.30,500,700,600
2018,November,28,0.30,500,700,600
2018,November,29,0.30,500,700,600
2018,August,30,0.30,500,700,600
2018,October,30,0.30,500,700,600
2019,October,03,0.30,500,750,600
2020,February,10,0.30,500,750,650
2019,February,17,0.30,500,800,700
2020,May,01,0.30,500,1000,700
2019,September,09,0.30,500,1000,700
2020,May,15,0.30,500,1000,700
2019,October,01,0.30,500,1000,750
2019,December,02,0.30,500,1000,750
2019,December,03,0.30,500,1000,750
2020,February,04,0.30,500,1000,750
2020,May,04,0.30,500,1000,750
2019,October,04,0.30,500,1000,750
2019,December,05,0.30,500,1000,750
2019,November,05,0.30,500,1000,750
2019,October,05,0.30,500,1000,750
2020,January,06,0.30,500,1000,750
2019,September,06,0.30,500,1000,750
2020,May,07,0.30,500,1000,750
2019,October,07,0.30,500,1000,750
2020,January,08,0.30,500,1000,750
2019,November,08,0.30,500,1000,750
2019,December,09,0.30,500,1000,750
2020,January,09,0.30,500,1000,750
2019,November,11,0.30,500,1000,750
2019,September,11,0.30,500,1000,750
2019,September,12,0.30,500,1000,750
2020,January,13,0.30,500,1000,750
2019,September,13,0.30,500,1000,750
2019,November,14,0.30,500,1000,750
2019,October,16,0.30,500,1000,750
2019,December,17,0.30,500,1000,750
2020,February,17,0.30,500,1000,750
