year,month,date,arrival,min,max,modal
2022,January,17,1.80,670,2000,1340
2022,January,16,1.90,740,2740,1740
2022,January,15,2.00,740,2740,1740
2017,December,03,2.70,1000,2140,1200
2022,January,22,3.00,670,1600,1140
2016,January,12,3.00,1100,1566,1200
2022,February,19,3.50,600,870,740
2016,February,14,4.00,300,500,400
2022,January,18,4.10,740,1670,1200
2022,January,21,4.50,670,1600,1140
2016,February,15,5.00,333,533,400
2016,January,25,5.00,400,600,500
2016,February,01,5.00,500,690,600
2014,January,04,5.00,500,733,533
2014,January,02,5.00,533,833,633
2016,January,26,5.00,600,820,710
2022,February,04,5.40,670,1340,1000
2022,January,30,5.50,540,1200,870
2022,January,27,5.50,540,1470,1000
2022,February,05,5.50,670,1340,1000
2022,January,20,5.60,670,1470,1070
2022,January,24,5.70,670,1600,1140
2022,January,13,5.70,670,2670,1670
2022,January,14,5.70,670,2670,1670
2022,January,02,5.80,670,4270,2470
2016,March,02,6.00,250,333,300
2016,March,07,6.00,300,366,333
2016,March,08,6.00,300,466,433
2022,February,24,6.00,600,870,740
2022,January,23,6.00,670,1340,1000
2022,January,26,6.10,670,2000,1340
2022,January,06,6.10,670,2670,1670
2022,January,03,6.40,670,2800,1740
2016,March,01,6.50,333,433,350
2022,January,01,6.60,670,4270,2470
2022,January,29,6.80,540,1200,870
2016,March,04,7.00,333,466,350
2016,February,26,7.00,400,533,450
2022,February,06,7.00,540,1070,800
2016,January,22,7.00,850,1333,1000
2016,January,17,7.00,1500,2333,1900
2016,February,18,7.50,300,400,333
2016,March,03,7.50,300,430,333
2016,March,06,7.50,333,466,400
2016,February,08,7.50,333,533,400
2024,March,09,7.50,1000,1200,1100
2024,February,24,7.60,1070,1340,1200
2022,February,20,7.80,540,940,740
2016,March,10,8.00,350,466,433
2016,March,09,8.00,433,533,453
2016,January,27,8.00,500,866,666
2024,February,27,8.40,1000,1140,1070
2019,March,11,8.50,200,1340,770
2016,March,05,8.50,250,333,300
2022,February,08,8.50,540,940,740
2022,January,05,8.80,670,2670,1670
2022,January,12,8.90,670,2670,1670
2022,January,07,9.00,670,3340,2000
2022,February,23,9.30,540,940,740
2019,January,17,9.50,1133,2133,2000
2022,January,31,9.60,540,800,670
2022,January,10,9.70,670,2670,1670
2016,February,11,10.00,250,333,300
2016,February,10,10.00,300,433,333
2016,February,05,10.00,300,566,400
2016,February,09,10.00,333,466,400
2016,February,12,10.00,333,466,400
2016,February,16,10.00,333,466,400
2016,February,19,10.00,333,466,400
2016,February,20,10.00,333,466,400
2016,February,21,10.00,333,466,400
2016,February,17,10.00,333,470,400
2016,February,04,10.00,333,533,400
2016,February,13,10.00,333,566,433
2016,February,03,10.00,333,666,500
2016,January,31,10.00,333,666,500
2016,March,13,10.00,350,466,430
2016,February,27,10.00,350,533,400
2016,February,06,10.00,400,566,500
2016,February,23,10.00,433,666,500
2016,January,24,10.00,450,800,500
2016,February,24,10.00,500,690,600
2015,February,06,10.00,500,700,600
2015,February,07,10.00,500,700,600
2015,February,08,10.00,500,700,600
2015,February,13,10.00,500,700,600
2015,February,14,10.00,500,700,600
2016,February,25,10.00,500,733,600
2016,January,29,10.00,500,733,600
2016,January,28,10.00,600,833,733
2015,February,12,10.00,600,850,700
2015,February,05,10.00,700,1000,750
2015,January,01,10.00,700,1000,800
2016,January,20,10.00,750,1133,900
2016,January,21,10.00,850,1466,1100
2015,January,02,10.00,1000,1300,1150
2014,December,07,10.00,1200,2200,1500
2016,January,19,10.00,1400,1800,1500
2016,January,11,10.00,1500,2666,1800
2016,January,15,10.00,1500,2966,2533
2016,January,13,10.00,1800,2833,2233
2016,January,03,10.00,1800,3100,2333
2016,January,10,10.00,1800,3100,2500
2016,January,14,10.00,1900,2733,2100
2016,January,09,10.00,1900,2966,2500
2016,January,07,10.00,1900,3333,2500
2016,January,08,10.00,1900,3333,2500
2016,January,06,10.00,2000,3666,3000
2016,January,04,10.00,3000,6000,4000
2022,February,07,10.10,540,1200,870
2022,February,16,10.40,600,870,740
2022,February,18,10.50,540,940,740
2023,January,21,10.50,1670,2200,2000
2022,February,26,10.70,540,940,740
