year,month,date,arrival,min,max,modal
2019,October,30,8.00,2956,2956,2956
2019,November,24,10.00,3200,3200,3200
2019,November,12,10.00,3325,3325,3325
2019,November,27,12.00,3200,3200,3200
2019,November,22,18.00,3061,3430,3061
2019,November,03,25.00,3281,3281,3281
2015,December,28,2.50,2000,2100,2050
2015,December,31,2.50,2000,2100,2050
2019,November,14,5.00,2000,2000,2000
2019,November,13,10.00,2000,2000,2000
2019,November,16,10.00,2000,2000,2000
2019,November,18,10.00,2000,2000,2000
2019,November,28,10.00,2000,2000,2000
2015,October,10,10.00,2000,2100,2050
2015,October,15,10.00,2000,2100,2050
2015,November,21,10.00,2000,2100,2050
2015,September,23,10.00,2000,2100,2050
2014,January,28,10.00,2000,2100,2050
2014,September,28,10.00,2000,2100,2050
2014,September,29,10.00,2000,2100,2050
2019,November,25,10.00,2000,2500,2500
2019,December,01,10.00,2200,2200,2200
2019,November,02,10.00,2200,2200,2200
2019,December,04,10.00,2200,2200,2200
2019,November,04,10.00,2200,2200,2200
2019,December,06,10.00,2200,2200,2200
2019,November,15,10.00,2200,2200,2200
2019,November,23,10.00,2200,2200,2200
2019,October,31,10.00,2200,2200,2200
2018,January,06,11.00,2000,2100,2050
2015,December,27,12.00,2000,2100,2050
2016,October,28,12.00,2000,2100,2050
2019,December,02,12.00,2200,2200,2200
2019,December,05,12.00,2200,2200,2200
2019,November,06,12.00,2200,2200,2200
2019,December,19,12.00,2200,2200,2200
2019,December,20,12.00,2200,2200,2200
2019,October,29,12.00,2200,2200,2200
2015,October,25,12.50,2000,2100,2050
2019,November,01,12.50,2200,2200,2200
2019,November,07,12.50,2200,2200,2200
2019,November,19,12.50,2200,2200,2200
2017,December,05,13.00,2000,2100,2050
2014,August,28,13.80,2000,2100,2050
2015,October,27,15.00,2000,2100,2050
2019,December,03,15.00,2200,2200,2200
2019,December,21,15.00,2200,2200,2200
2016,October,20,16.00,2000,2100,2050
2015,September,03,17.00,2000,2100,2050
2015,September,06,17.00,2000,2100,2050
2015,September,07,17.00,2000,2100,2050
2014,March,13,17.00,2000,2100,2050
2015,August,21,17.00,2000,2100,2050
2016,March,22,17.00,2000,2100,2050
2016,December,23,17.00,2000,2100,2050
2014,February,23,17.00,2000,2100,2050
2015,August,26,17.00,2000,2100,2050
2015,November,29,17.00,2000,2100,2050
2019,December,16,17.50,2200,2200,2200
2019,December,18,18.00,2200,2200,2200
2019,November,26,18.60,2000,2500,2000
2019,November,20,20.00,2000,2000,2000
2019,November,21,20.00,2000,2000,2000
2019,November,30,20.00,2200,2200,2200
2019,December,17,21.00,2000,2000,2000
2019,November,17,21.00,2000,2000,2000
2016,October,19,21.00,2000,2100,2050
2019,November,29,21.00,2500,2500,2500
2014,January,24,22.00,2000,2100,2050
2019,November,08,22.00,2200,2200,2200
2017,December,11,23.00,2000,2100,2050
2014,May,26,25.00,2000,2100,2050
2019,November,05,25.00,2200,2200,2200
2017,December,18,33.00,2000,2100,2050
2014,June,29,150.00,2000,2100,2050
2014,February,24,1,585.50,2000,2100,2050
