year,month,date,arrival,min,max,modal
2016,March,20,52.00,200,500,300
2021,December,26,1.75,1160,4400,2800
2017,February,08,2.20,800,2000,1369
2023,March,06,2.48,640,2320,1520
2023,February,20,2.52,680,2800,1600
2021,February,28,2.75,600,1200,920
2023,January,18,2.77,1200,2800,2080
2023,January,11,2.85,600,1000,800
2022,January,15,2.88,680,1720,1200
2023,January,19,2.92,1000,3600,2200
2019,July,07,3.13,800,3280,2040
2020,July,14,3.13,1120,4400,2760
2022,January,11,3.20,1000,3200,2080
2023,February,23,3.30,640,2600,1600
2023,March,03,3.35,720,2720,1720
2020,July,17,3.38,1200,5600,3400
2020,August,23,3.45,880,4600,2720
2020,July,15,3.52,1160,4800,3000
2023,February,24,3.55,640,2160,1400
2023,January,24,3.63,760,2000,1360
2023,February,11,3.67,720,2200,1400
2023,February,09,3.67,760,2400,1480
2023,January,20,3.67,880,3400,2120
2023,January,23,3.83,720,2200,1080
2023,February,03,3.88,760,2080,1400
2023,March,08,4.05,640,2200,1400
2023,January,12,4.05,680,1520,1080
2023,February,17,4.05,680,2560,1600
2022,December,12,4.08,800,2400,1600
2022,January,10,4.13,1160,3600,2400
2023,February,18,4.20,640,2520,1560
2021,December,12,4.25,1400,4800,3120
2020,December,06,4.28,400,1600,1000
2021,April,04,4.30,480,800,640
2023,February,04,4.30,720,2000,1360
2021,December,19,4.40,760,3400,2080
2023,January,21,4.42,760,2800,1800
2022,January,18,4.50,760,2560,1680
2017,July,08,4.60,2000,6000,4000
2023,February,06,4.70,680,1880,1360
2020,July,22,4.70,1000,3600,2280
2023,February,16,4.75,720,2600,1640
2022,January,12,4.75,880,2800,1840
2020,July,16,4.75,1080,5000,3040
2023,February,08,4.78,720,2000,1360
2023,January,13,4.88,760,1600,1160
2020,August,04,4.90,1000,3400,2200
2023,February,28,4.92,640,2400,1480
2023,February,13,4.92,760,2400,1520
2023,January,25,4.95,720,1760,1160
2016,January,23,5.00,200,900,500
2020,February,16,5.00,280,800,520
2021,January,21,5.00,550,1400,920
2022,January,14,5.03,760,1800,1280
2020,December,08,5.08,600,2000,1360
2023,January,26,5.08,800,2000,1400
2023,February,07,5.10,760,2120,1440
2021,March,07,5.25,600,1000,800
2021,January,09,5.25,800,2800,1800
2022,January,07,5.25,880,2800,1840
2022,January,03,5.28,1120,4800,3000
2019,June,30,5.30,600,2880,1600
2023,February,27,5.35,680,2400,1520
2023,March,01,5.35,680,2480,1560
2020,February,23,5.38,440,1600,1000
2020,July,13,5.45,1400,5600,3440
2023,March,04,5.47,680,2520,1600
2020,December,13,5.50,720,2000,1360
2022,January,19,5.50,720,2000,1360
2023,March,02,5.55,640,2400,1520
2021,January,22,5.58,560,2000,1040
2022,January,08,5.63,1000,3400,2200
2022,December,26,5.70,560,1000,760
2023,January,10,5.70,600,1200,880
2023,January,02,5.70,640,1040,840
2023,March,09,5.70,680,2400,1520
2023,February,15,5.72,760,2800,1760
2022,February,27,5.75,600,840,720
2022,January,21,5.75,640,1600,1120
2021,December,25,5.75,1200,5200,3800
2020,July,18,5.83,1120,4400,2760
2023,March,07,5.88,640,2120,1360
2020,August,03,5.88,880,3400,2120
2019,December,19,5.91,460,800,660
2022,December,17,5.97,680,1480,1080
2023,February,25,5.97,720,2400,1560
2020,December,27,6.00,400,1200,800
2021,January,20,6.00,720,1600,1160
2021,December,06,6.03,2400,8000,5200
2019,April,12,6.05,800,3600,2200
2021,April,11,6.08,520,680,600
2022,December,14,6.08,680,1600,1120
2020,March,15,6.13,400,880,640
2021,July,22,6.13,840,2400,1640
2020,December,29,6.25,520,1400,960
2023,February,02,6.25,720,2080,1400
2021,December,30,6.25,1280,5600,3440
2021,December,31,6.25,1280,5600,3440
2022,December,27,6.30,600,1000,800
2020,August,16,6.38,800,3200,2000
2021,November,28,6.38,1000,4800,2920
2020,June,21,6.38,1200,2800,2200
2023,February,14,6.45,720,2720,1720
2022,December,19,6.47,680,1400,1040
2022,February,20,6.50,520,1000,720
2022,January,27,6.50,800,2200,1520
2022,January,06,6.63,920,3000,1960
2021,December,28,6.63,1280,6400,3800
2021,December,07,6.67,2200,7600,5000
2017,February,05,6.70,1200,2080,1720
2023,January,06,6.75,680,1440,1040
2024,February,25,6.83,760,1400,1080
2022,December,13,6.85,760,1800,1280
2022,December,29,6.88,640,1080,840
2023,January,09,6.88,640,1280,960
2022,December,31,6.88,680,1120,880
2021,July,18,6.88,720,1520,1120
2022,January,05,6.88,960,3200,2080
2022,January,01,6.88,1280,5400,3360
2021,January,02,6.95,400,1320,880
2022,December,24,7.05,640,1080,800
2020,February,22,7.13,400,1400,880
2021,December,27,7.13,1440,7200,4000
2021,January,23,7.20,720,2240,1480
2020,January,26,7.25,320,1400,840
2020,March,08,7.25,400,840,640
2023,February,01,7.25,760,2120,1400
2021,December,20,7.25,800,3600,2200
2023,February,21,7.25,800,3600,2200
2020,August,30,7.25,1040,4400,2720
2023,March,10,7.33,640,2200,1400
2022,November,13,7.35,800,2000,1280
2023,January,05,7.38,600,1120,840
