year,month,date,arrival,min,max,modal
2017,March,06,1.00,2000,2000,2000
2017,December,24,1.50,2000,2000,2000
2017,December,04,2.00,2000,2000,2000
2015,November,12,2.00,2000,2000,2000
2015,April,16,2.00,2000,2000,2000
2016,December,19,2.00,2000,2000,2000
2016,December,20,2.00,2000,2000,2000
2016,December,27,2.00,2000,2000,2000
2016,February,02,2.50,2000,2000,2000
2015,June,06,2.50,2000,2000,2000
2015,June,09,2.50,2000,2000,2000
2016,January,13,2.50,2000,2000,2000
2015,May,15,2.50,2000,2000,2000
2015,October,15,2.50,2000,2000,2000
2017,November,19,2.50,2000,2000,2000
2015,April,22,2.50,2000,2000,2000
2017,October,22,2.50,2000,2000,2000
2015,December,27,2.50,2000,2000,2000
2015,July,28,2.50,2000,2000,2000
2017,March,29,2.50,2000,2000,2000
2017,March,30,2.50,2000,2000,2000
2018,January,01,3.00,2000,2000,2000
2018,January,03,3.00,2000,2000,2000
2016,January,04,3.00,2000,2000,2000
2018,March,07,3.00,2000,2000,2000
2017,December,09,3.00,2000,2000,2000
2018,January,11,3.00,2000,2000,2000
2017,November,11,3.00,2000,2000,2000
2017,November,13,3.00,2000,2000,2000
2017,November,15,3.00,2000,2000,2000
2018,March,16,3.00,2000,2000,2000
2017,December,20,3.00,2000,2000,2000
2017,September,21,3.00,2000,2000,2000
2017,October,25,3.00,2000,2000,2000
2017,December,26,3.00,2000,2000,2000
2017,November,27,3.00,2000,2000,2000
2017,December,29,3.00,2000,2000,2000
2016,May,17,5.00,200,2000,2000
2015,July,03,5.00,2000,2000,2000
2015,September,07,5.00,2000,2000,2000
2018,March,12,5.00,2000,2000,2000
2016,January,14,5.00,2000,2000,2000
2016,January,15,5.00,2000,2000,2000
2015,December,26,5.00,2000,2000,2000
2017,November,03,5.50,2000,2000,2000
2018,February,15,7.00,2000,2000,2000
2017,June,08,7.50,2000,2000,2000
2016,January,09,7.50,2000,2000,2000
2015,September,15,7.50,2000,2000,2000
2015,September,16,7.50,2000,2000,2000
2015,September,17,7.50,2000,2000,2000
2016,January,30,8.00,2000,2000,2000
2016,March,04,8.60,2000,2000,2000
2015,October,23,9.00,2000,2000,2000
2016,May,04,10.00,2000,2000,2000
2016,January,06,10.00,2000,2000,2000
2017,January,06,10.00,2000,2000,2000
2017,December,10,10.00,2000,2000,2000
2017,November,10,10.00,2000,2000,2000
2017,December,15,10.00,2000,2000,2000
2016,October,17,10.00,2000,2000,2000
2015,June,20,10.00,2000,2000,2000
2015,May,20,10.00,2000,2000,2000
2016,August,23,10.00,2000,2000,2000
2016,January,24,10.00,2000,2000,2000
2015,December,25,10.00,2000,2000,2000
2015,November,26,10.00,2000,2000,2000
2015,April,29,10.00,2000,2000,2000
2016,April,29,10.00,2000,2000,2000
2016,February,29,10.00,2000,2000,2000
2017,October,15,10.50,2000,2000,2000
2017,April,04,11.00,2000,2000,2000
2015,August,07,11.00,2000,2000,2000
2016,October,05,11.00,2000,2500,2300
2017,September,11,12.00,2000,2000,2000
2017,January,13,12.00,2000,2000,2000
2016,September,13,12.00,2000,2000,2000
