year,month,date,arrival,min,max,modal
2014,February,13,0.80,1950,2000,1975
2014,February,24,1.15,1650,1674,1662
2014,February,25,1.15,1650,1674,1662
2014,May,13,1.35,1625,1680,1653
2014,February,21,1.40,1700,1741,1720
2014,May,12,1.50,1500,1560,1530
2014,May,10,2.50,1500,1600,1550
2014,February,08,2.50,1800,1820,1810
2014,March,11,2.57,1550,1816,1701
2014,March,01,4.85,1560,1625,1593
2014,March,19,5.00,1545,1551,1548
2014,March,04,8.25,1575,1600,1587
2014,March,20,10.50,1548,1610,1579
2014,March,13,12.05,1575,1918,1746
2014,March,12,13.50,1600,1800,1700
