year,month,date,arrival,min,max,modal
2017,January,19,10.00,500,600,550
2017,February,04,10.00,500,700,600
2017,March,01,15.00,400,600,500
2017,February,27,15.00,400,600,500
2017,January,02,15.00,500,700,600
2017,March,15,15.00,500,700,600
2017,March,24,15.00,500,700,600
2017,January,25,15.00,550,650,600
2017,April,04,15.00,600,700,650
2017,March,21,15.00,650,750,700
2017,September,06,15.00,1600,1800,1700
2017,August,28,18.00,1600,2000,1800
2017,January,16,19.00,500,700,600
2017,January,04,20.00,500,700,600
2017,February,06,20.00,500,700,600
2017,January,07,20.00,500,700,600
2017,February,09,20.00,500,700,600
2017,January,24,20.00,500,700,600
2017,January,03,20.00,600,700,650
2017,January,06,20.00,600,700,650
2017,January,11,25.00,500,700,600
2017,January,12,30.00,500,700,600
