year,month,date,arrival,min,max,modal
2018,February,13,0.23,1500,2000,1700
2018,February,03,0.28,1500,1800,1600
2018,January,24,0.30,1500,1700,1600
2018,May,02,0.30,2000,2200,2100
2018,February,04,0.31,1500,1800,1600
2018,February,21,0.32,1400,1700,1500
2018,February,10,0.32,1500,2000,1700
2018,January,22,0.32,1500,2000,1700
2018,March,18,0.32,1600,1800,1700
2018,March,15,0.34,1500,1700,1600
2018,March,03,0.35,1400,1700,1500
2018,May,17,0.35,2200,2500,2300
2018,April,10,0.38,1500,2400,1800
2018,May,08,0.38,2000,2200,2100
2018,March,11,0.39,1600,1900,1700
2018,February,23,0.40,1400,1600,1500
2018,March,02,0.40,1500,1800,1600
2018,March,17,0.40,1500,1800,1600
2018,February,07,0.40,1500,1800,1700
2018,February,11,0.40,1500,2000,1600
2018,May,14,0.40,2000,2500,2200
2018,May,29,0.40,2500,2700,2600
2018,June,15,0.40,3000,3500,3200
2018,February,18,0.41,1700,2000,1800
2018,February,16,0.42,1400,1800,1500
2018,March,14,0.42,1500,1800,1600
2018,February,24,0.42,1600,1900,1700
2018,May,01,0.42,2000,2200,2100
2018,March,12,0.42,2200,2800,2600
2018,January,19,0.43,1500,2000,1700
2018,April,19,0.43,1700,2000,1800
2018,January,21,0.43,1700,2000,1800
2018,April,16,0.44,1500,1800,1600
2018,February,09,0.44,1500,2000,1700
2018,January,10,0.44,1700,2000,1900
2018,May,19,0.45,2200,2400,2300
2018,June,17,0.45,2800,3500,3200
2018,June,21,0.45,2800,3500,3200
2018,February,14,0.46,1500,2000,1700
2018,March,10,0.46,1500,2000,1800
2018,March,19,0.46,1600,1800,1700
2018,May,10,0.46,2000,2200,2100
2018,May,21,0.46,2500,3000,2600
2018,March,06,0.50,1400,1800,1500
2018,February,20,0.50,1500,1800,1700
2018,January,13,0.50,1800,2000,1900
2018,May,16,0.50,2200,2500,2300
2018,May,20,0.50,2200,2500,2300
2018,June,10,0.50,2500,2800,2600
2018,June,11,0.50,2500,2800,2700
2018,March,21,0.51,1500,1700,1600
2018,April,05,0.51,1500,1900,1700
2018,March,20,0.51,1600,1800,1700
2018,April,15,0.52,1500,1700,1600
2018,March,13,0.52,1500,2000,1600
2018,April,06,0.52,1600,1900,1800
2018,April,18,0.53,1700,2000,1800
2018,April,12,0.53,2000,2200,2100
2018,April,04,0.54,1500,2000,1600
2018,April,21,0.55,1500,1900,1700
2018,January,20,0.55,1700,2000,1800
2018,January,15,0.55,1800,2000,1900
2018,January,14,0.55,1900,2200,2000
2018,April,02,0.56,1500,1800,1700
2018,March,29,0.60,1400,1700,1500
2018,March,26,0.60,1500,1800,1600
2018,March,28,0.60,1500,1800,1600
2018,June,07,0.60,2500,2700,2600
2018,June,13,0.60,2500,2700,2600
2018,June,12,0.60,2500,2800,2600
2018,February,02,0.65,1500,2000,1700
2018,June,09,0.65,2500,2700,2600
2018,March,30,0.72,1400,1600,1500
2018,February,27,0.20,2800,3200,3000
2018,February,19,0.20,3200,3500,3300
2018,February,15,0.24,3000,3400,3100
2018,March,16,0.25,2800,3000,2900
2018,February,17,0.28,3200,3500,3300
2018,February,08,0.31,3200,3600,3500
2018,April,03,0.32,2400,2700,2500
2018,January,17,0.38,3800,4000,3900
2018,March,08,0.40,2500,2800,2600
2018,February,06,0.40,3500,4000,3700
2018,April,07,0.42,2000,2300,2100
2018,January,16,0.42,3700,4000,3800
2018,March,01,0.43,2800,3100,3000
2018,March,27,0.45,2000,2700,2400
2018,April,20,0.45,2400,2700,2500
2018,May,09,0.46,2500,2800,2700
2018,April,09,0.48,2700,3000,2800
2018,June,18,0.48,3800,4000,3900
2018,March,07,0.50,1600,2000,1800
2018,June,19,0.50,3800,4000,3900
2018,March,09,0.52,2500,2800,2600
2018,February,01,0.52,3800,4000,3900
2018,January,12,0.54,3500,4000,3700
2018,March,31,0.55,2400,2700,2500
2018,May,18,0.55,2700,3000,2800
2018,January,11,0.66,1300,1800,1600
2017,August,13,0.01,900,3000,2100
2018,January,02,0.26,2000,2400,2200
2018,January,05,0.34,2000,3000,2500
2017,June,08,0.40,1000,1200,1100
2017,June,17,0.40,1100,1300,1200
2017,December,30,0.43,2400,3000,2700
2018,January,04,0.46,2000,2400,2200
2018,January,06,0.46,2000,2800,2400
2017,December,29,0.46,2400,3000,2700
2017,June,06,0.50,1000,1050,1025
2017,June,07,0.50,1000,1200,1100
2017,June,09,0.50,1000,1200,1100
2017,June,10,0.50,1000,1200,1100
2017,June,13,0.50,1100,1300,1200
2017,June,19,0.50,1100,1300,1200
2018,January,07,0.56,1800,2800,2500
2018,January,03,0.57,2000,3000,2500
2017,December,24,0.60,2200,2800,2500
2017,December,12,0.60,2300,3000,2500
2017,December,15,0.60,2300,3000,2600
2017,December,13,0.60,2300,3010,2700
2018,January,01,0.64,2200,2400,2300
2017,December,31,0.76,2000,3000,2500
2017,December,14,0.90,2500,3000,2800
2017,August,05,1.00,900,2100,1500
2017,July,12,1.00,950,970,960
2017,July,13,1.00,950,970,960
2017,July,14,1.00,950,970,960
2017,July,16,1.00,950,970,960
2017,July,22,1.00,950,970,960
2017,July,05,1.00,950,1050,1000
2017,July,11,1.00,950,1050,1000
2017,July,07,1.00,950,1200,1050
2017,July,09,1.00,950,1550,1200
2017,June,20,1.00,1000,1200,1100
2017,June,21,1.00,1000,1200,1100
2017,June,23,1.00,1000,1200,1100
2017,June,26,1.00,1000,1200,1100
2017,June,29,1.00,1000,1200,1100
2017,June,14,1.00,1100,1300,1200
2017,June,16,1.00,1100,1300,1200
2017,June,24,1.00,1100,1300,1200
2017,June,22,1.00,1200,1400,1300
2017,July,04,1.00,1500,1700,1600
2017,August,15,1.05,900,3000,2100
2017,July,15,1.05,950,970,960
2017,July,20,1.05,950,970,960
2017,July,21,1.05,950,970,960
2017,August,02,1.20,900,2000,1450
2017,August,03,1.20,900,2100,1500
2017,August,04,1.20,900,2100,1500
2017,August,18,1.20,950,3000,2200
2017,July,26,1.20,1000,2200,1600
2017,July,29,1.20,1000,2200,1600
2017,December,10,1.20,2200,3000,2500
2017,August,06,1.30,900,2200,1600
2017,December,09,1.30,2200,3000,2600
2017,August,14,1.36,900,3000,2100
2017,August,07,1.40,900,2200,1600
2017,August,12,1.40,900,3000,2000
2017,August,10,1.50,900,2400,1600
2017,August,09,1.50,900,2400,1700
2017,August,16,1.60,900,3000,2100
2017,July,17,1.60,950,970,960
2017,August,11,1.60,950,3000,1900
2018,January,08,1.80,2300,3000,2600
2017,November,06,2.00,900,1700,1300
2017,December,11,2.00,2300,3000,2500
2017,October,24,2.25,900,1500,1200
2017,October,18,2.40,850,3000,1800
2017,October,31,2.40,4000,6000,5000
2017,August,22,2.50,1100,3000,2200
2017,October,25,2.60,900,1500,1200
