year,month,date,arrival,min,max,modal
2017,November,10,0.05,6800,7200,7000
2017,July,05,0.14,3500,4000,3700
2017,July,07,0.15,3300,3800,3500
2017,June,20,0.15,5700,6000,5850
2018,February,10,0.18,2000,2500,2200
2018,February,21,0.20,1800,2000,1900
2018,February,20,0.20,1900,2100,2000
2018,March,17,0.20,2000,2500,2200
2018,March,12,0.20,2200,2500,2300
2018,March,10,0.20,2500,2800,2600
2018,May,16,0.20,2700,3000,2800
2017,July,12,0.20,3200,3400,3300
2017,June,29,0.20,3300,3500,3400
2017,June,26,0.20,3400,3700,3500
2017,June,23,0.20,3400,3700,3600
2017,June,24,0.20,3500,3900,3700
2017,June,21,0.20,3500,4000,3750
2017,June,22,0.20,3500,4000,3750
2017,July,02,0.20,3800,8000,4000
2018,January,06,0.20,4500,5000,4800
2018,February,07,0.21,2000,2500,2100
2018,March,05,0.21,2000,2500,2200
2018,May,09,0.21,2600,2800,2700
2018,February,19,0.22,1900,2200,2000
2018,February,04,0.22,2000,2200,2100
2018,March,15,0.22,2000,2500,2300
2018,January,08,0.22,4800,5000,4900
2018,January,04,0.22,4800,5200,5000
2018,March,21,0.23,2000,2200,2100
2018,February,23,0.23,2000,2200,2100
2018,February,05,0.23,2000,2500,2100
2018,March,20,0.23,2200,2400,2300
2018,March,14,0.23,2200,2500,2300
2018,April,19,0.23,2500,2700,2600
2018,February,14,0.24,2000,2400,2100
2018,March,18,0.24,2400,2800,2500
2018,March,19,0.25,2200,2400,2300
2018,February,27,0.25,2200,2500,2300
2017,July,04,0.25,4000,4600,4300
2017,October,11,0.25,5000,6000,5500
2017,October,23,0.25,5500,6500,6000
2018,March,08,0.26,2500,2800,2600
2017,October,17,0.26,5500,6000,5750
2018,February,06,0.27,2000,2300,2200
2017,October,16,0.27,5000,6000,5500
2018,March,30,0.28,2100,2500,2200
2018,March,06,0.28,2200,2600,2300
2018,April,17,0.28,2500,2700,2600
2017,October,15,0.28,5000,6200,5600
2018,April,09,0.29,2000,2400,2200
2018,May,05,0.29,2500,3000,2600
2018,February,24,0.30,2000,2400,2100
2018,February,12,0.30,2000,2500,2200
2018,March,31,0.30,2000,2500,2200
2018,March,16,0.30,2200,2500,2300
2018,May,19,0.30,2700,3000,2800
2018,May,20,0.30,2700,3000,2800
2018,June,14,0.30,3000,3500,3200
2018,January,22,0.30,3000,4000,3500
2017,July,09,0.30,3200,3800,3500
2018,January,19,0.30,3500,4000,3700
2017,July,11,0.30,4000,5000,4500
2017,October,10,0.30,5000,6000,5500
2017,July,13,0.30,5800,6000,5900
2017,July,15,0.30,5900,6200,6000
2017,July,16,0.30,5900,6500,6000
2018,June,21,0.30,6800,8000,7500
2018,February,17,0.31,2000,2200,2100
2018,March,09,0.31,2500,2800,2600
2018,February,28,0.32,1900,2300,2200
2018,March,01,0.32,2000,2200,2100
2018,March,03,0.32,2000,2500,2100
2018,February,18,0.32,2000,2500,2100
2018,February,03,0.32,2000,2500,2200
2018,March,07,0.32,2000,2500,2200
2018,February,08,0.32,2000,2500,2200
2018,March,27,0.32,2000,2500,2300
2018,May,01,0.32,2000,3000,2100
2018,April,11,0.32,2200,2600,2400
2018,April,21,0.32,2400,2600,2500
2018,April,04,0.32,2400,2800,2500
2018,May,08,0.32,2500,2700,2600
2018,April,13,0.32,2500,2700,2600
2018,April,16,0.32,2500,2700,2600
2018,April,18,0.32,2500,2700,2600
2018,April,10,0.32,2500,2800,2600
2018,May,06,0.32,2500,3000,2600
2018,May,10,0.32,2500,3000,2600
2018,May,17,0.32,2700,3000,2800
2018,May,18,0.32,2700,3000,2800
2018,May,22,0.32,2800,3000,2900
2018,May,29,0.32,3000,3300,3100
2018,June,11,0.32,3000,3500,3200
2018,February,01,0.32,3000,4000,3200
2018,January,20,0.32,3500,4000,3600
2018,January,12,0.32,3500,4000,3700
2018,February,16,0.32,4000,4300,4100
2017,October,13,0.32,5000,6000,5500
2018,June,16,0.32,5000,6000,5500
2018,June,17,0.32,5000,7000,6000
2017,October,18,0.32,5500,6000,5750
2018,June,18,0.32,6000,8000,7000
2018,June,19,0.32,6000,8000,7000
2018,June,20,0.32,6500,8000,7000
2017,November,01,0.32,7500,8000,7725
2018,March,13,0.33,2200,2500,2300
2018,May,15,0.34,2500,3000,2700
2018,May,21,0.34,2800,3000,2900
2018,January,21,0.34,3200,3800,3500
2018,February,02,0.34,3500,3800,3600
2018,January,05,0.34,5000,5500,5200
2017,September,02,0.34,7800,8000,7900
2018,April,02,0.35,2000,2500,2300
2018,March,26,0.35,2000,2500,2300
2018,May,02,0.35,2000,3000,2300
