year,month,date,arrival,min,max,modal
2015,March,05,0.70,2300,2400,2350
2015,March,12,0.80,2200,2300,2200
2015,April,01,0.80,2250,2300,2250
2015,March,14,0.80,2300,2350,2300
2015,March,31,0.80,2300,2350,2300
2015,March,10,0.80,2300,2380,2300
2015,March,04,0.80,2300,2400,2300
2015,April,08,0.80,2350,2400,2350
2015,April,30,0.80,2450,2500,2450
2015,March,09,0.90,2300,2450,2300
2015,April,10,0.90,2350,2400,2350
2015,March,07,1.00,2300,2375,2300
2015,April,09,1.00,2300,2400,2300
2015,March,24,1.00,2350,2500,2350
2015,May,06,1.00,2470,2500,2470
2015,September,08,1.00,5700,5900,5700
2015,May,01,1.10,2400,2450,2400
2015,March,19,1.10,2450,2500,2450
2015,April,29,1.10,2450,2500,2450
2015,May,13,1.10,2500,2550,2500
2015,March,13,1.20,2250,2375,2250
2015,March,17,1.20,2280,2350,2280
2015,April,06,1.20,2300,2380,2300
2015,March,11,1.20,2350,2400,2350
2015,April,20,1.20,2350,2400,2350
2015,April,13,1.20,2350,2500,2350
2015,March,30,1.20,2400,2550,2400
2015,May,15,1.20,2500,2550,2500
2015,June,08,1.20,2700,2750,2700
2015,July,13,1.20,3050,3100,3050
2015,September,07,1.20,5500,5700,5500
2015,April,28,1.30,2400,2500,2400
2015,May,05,1.30,2450,2500,2450
2015,May,11,1.30,2470,2550,2470
2015,May,22,1.30,2550,2600,2550
2015,May,27,1.30,2560,2600,2560
2015,April,07,1.40,2300,2400,2300
2015,April,23,1.40,2380,2450,2380
2015,May,07,1.40,2460,2500,2460
2015,May,04,1.40,2480,2500,2480
2015,May,16,1.40,2480,2550,2480
2015,June,16,1.40,2950,3000,2950
2015,June,24,1.40,2980,3050,2980
2015,March,27,1.50,2300,2450,2300
2015,March,18,1.50,2350,2450,2400
2015,March,23,1.50,2350,2500,2350
2015,April,17,1.50,2400,2550,2400
2015,April,27,1.50,2450,2500,2450
2015,May,09,1.50,2460,2500,2460
2015,May,18,1.50,2500,2550,2500
2015,May,08,1.50,2500,2570,2500
2015,May,26,1.50,2550,2600,2550
2015,May,23,1.50,2560,2600,2560
2015,May,21,1.50,2570,2600,2570
2015,May,28,1.50,2570,2600,2570
2015,May,25,1.50,2580,2630,2580
2015,June,01,1.50,2600,2650,2600
2015,June,03,1.50,2800,2850,2800
2015,June,02,1.50,2800,3000,2800
2015,June,11,1.50,2900,3000,2900
2015,June,13,1.50,2950,3000,2950
2015,June,25,1.50,2950,3000,2950
2015,June,22,1.50,2980,3300,2980
2015,July,21,1.50,3100,3150,3100
2015,July,09,1.50,3100,3200,3100
2015,August,07,1.50,3300,3400,3300
2015,August,11,1.50,3300,3400,3300
2015,August,12,1.50,3400,3500,3400
2015,August,18,1.50,3600,3700,3600
2015,November,05,1.50,4500,4700,4500
2015,September,02,1.50,4800,5000,4800
2015,September,09,1.50,5300,5500,5300
2015,September,10,1.50,5400,5500,5400
2015,September,29,1.50,5600,5800,5600
2015,May,29,1.60,2560,2600,2560
2015,June,18,1.60,2900,3000,2900
2015,July,01,1.60,3000,3100,3000
2015,July,10,1.60,3100,3150,3100
2015,August,24,1.60,4200,4350,4200
2015,June,10,1.70,2860,2900,2860
2015,August,21,1.70,3700,3900,3700
2015,April,22,1.80,2400,2530,2400
2015,April,18,1.80,2400,2550,2400
2015,June,15,1.80,2800,2900,2800
2015,June,06,1.80,2880,2920,2880
2015,June,05,1.80,2880,2940,2880
2015,July,04,1.80,3000,3100,3000
2015,July,15,1.80,3100,3150,3100
2015,July,17,1.80,3100,3150,3100
2015,July,29,1.80,3100,3150,3100
2015,August,05,1.80,3100,3200,3100
2015,July,20,1.80,3100,3200,3100
2015,July,30,1.80,3100,3200,3100
2015,August,20,1.80,3800,4000,3800
2015,November,02,1.80,4500,4700,4500
2015,September,03,1.80,4700,4900,4700
2015,September,04,1.80,5000,5200,5000
2015,September,24,1.80,5600,5800,5600
2015,October,13,1.80,5800,6000,5800
2015,September,11,1.80,6000,6200,6000
2015,September,15,1.90,5500,5700,5500
2015,September,18,1.90,5500,5700,5500
2015,June,27,2.00,2900,3000,2900
2015,June,20,2.00,2950,3000,2950
2015,July,07,2.00,3000,3100,3000
2015,July,08,2.00,3000,3100,3000
2015,June,29,2.00,3000,3100,3000
2015,July,02,2.00,3080,3150,3080
2015,July,14,2.00,3100,3150,3100
2015,July,18,2.00,3100,3150,3100
2015,July,22,2.00,3100,3150,3100
2015,July,23,2.00,3100,3150,3100
2015,July,16,2.00,3100,3200,3100
2015,July,28,2.00,3100,3200,3100
2015,July,31,2.00,3100,3200,3100
2015,August,19,2.00,3500,3600,3500
2015,August,25,2.00,4100,4200,4100
2015,August,31,2.00,4200,4350,4200
2015,October,03,2.00,5600,5700,5600
2015,October,08,2.10,5700,5900,5700
2015,August,29,2.20,4150,4300,4150
2015,October,29,2.20,4700,4800,4700
2015,September,14,2.20,5400,5600,5400
2015,September,23,2.20,5500,5650,5500
2015,September,16,2.20,5500,5700,5500
2015,September,17,2.20,5500,5700,5500
2015,October,16,2.20,5800,6000,5800
2015,October,15,2.20,5900,6100,5900
2015,August,01,2.30,3100,3150,3100
2015,July,25,2.30,3100,3200,3100
2015,September,01,2.30,4500,4700,4500
2015,October,01,2.30,5600,5800,5600
2015,October,05,2.30,5800,6000,5800
2015,October,14,2.30,5800,6000,5800
2015,November,04,2.40,4500,4700,4500
2015,July,11,2.50,3000,3100,3000
2015,July,24,2.50,3100,3200,3100
2015,August,08,2.50,3300,3500,3300
2015,August,28,2.50,4200,4300,4200
2015,October,31,2.50,4500,4600,4500
2015,October,28,2.50,4500,4650,4500
2015,October,26,2.50,4800,5000,4800
2015,September,28,2.50,5500,5700,5500
2015,October,09,2.50,5700,5800,5700
2015,October,30,3.00,4500,4700,4500
2015,March,28,240.00,2400,2600,2400
