year,month,date,arrival,min,max,modal
2015,March,05,0.30,1000,1100,1000
2015,April,27,2.00,850,880,850
2015,March,31,2.20,850,900,850
2015,April,06,2.20,875,900,875
2015,April,10,2.20,880,900,880
2015,March,19,2.20,880,900,880
2015,April,30,2.40,850,880,850
2015,April,13,2.40,850,900,850
2015,May,25,2.40,870,920,870
2015,May,05,2.50,850,900,850
2015,May,06,2.50,850,900,850
2015,May,18,2.50,850,900,850
2015,April,29,2.50,870,900,870
2015,March,11,2.50,900,950,900
2015,March,13,2.50,900,975,900
2015,July,08,2.50,1050,1100,1050
2015,August,12,2.50,1050,1100,1050
2015,July,17,2.50,1050,1100,1050
2015,July,15,2.50,1100,1150,1100
2015,September,10,2.50,1100,1200,1100
2015,September,21,2.50,1100,1200,1100
2015,September,24,2.50,1100,1200,1100
2015,April,08,2.60,880,900,880
2015,March,14,2.60,900,930,900
2015,May,12,2.70,860,900,860
2015,April,01,2.80,850,880,850
2015,May,13,2.80,860,900,860
2015,April,23,2.80,880,900,880
2015,March,12,2.80,900,900,900
2015,August,18,2.80,1050,1100,1050
2015,September,03,2.80,1100,1200,1100
2015,May,20,3.00,860,900,860
2015,May,26,3.00,870,920,870
2015,June,03,3.00,900,950,900
2015,March,10,3.00,900,950,900
2015,June,11,3.00,950,1000,950
2015,June,20,3.00,950,1000,950
2015,June,25,3.00,1000,1050,1000
2015,July,04,3.00,1000,1100,1000
2015,June,18,3.00,1000,1200,1000
2015,July,14,3.00,1050,1100,1050
2015,July,21,3.00,1050,1100,1050
2015,July,22,3.00,1050,1100,1050
2015,July,23,3.00,1050,1100,1050
2015,July,24,3.00,1050,1100,1050
2015,July,29,3.00,1050,1100,1050
2015,September,08,3.00,1100,1200,1100
2015,September,09,3.00,1100,1200,1100
2015,September,14,3.00,1100,1200,1100
2015,October,15,3.00,1100,1200,1100
2015,August,21,3.00,1100,1200,1100
2015,August,28,3.00,1100,1200,1100
2015,October,29,3.00,1100,1200,1100
2015,September,29,3.00,1100,1200,1100
2015,October,30,3.00,1100,1200,1100
2015,April,20,3.20,850,900,850
2015,May,04,3.20,870,900,870
2015,May,07,3.20,870,900,870
2015,May,08,3.20,870,900,870
2015,May,27,3.20,880,920,880
2015,July,13,3.20,1050,1100,1050
2015,July,16,3.20,1050,1100,1050
2015,July,20,3.20,1050,1100,1050
2015,November,02,3.20,1100,1200,1100
2015,September,18,3.20,1100,1200,1100
2015,August,20,3.20,1100,1200,1100
2015,May,01,3.40,850,900,850
2015,May,09,3.40,860,900,860
2015,May,14,3.40,880,920,880
2015,April,18,3.40,900,950,900
2015,March,28,3.40,940,1000,940
2015,June,05,3.40,950,1000,950
2015,June,08,3.40,960,1000,960
2015,March,04,3.40,1000,1100,1000
2015,August,05,3.40,1050,1100,1050
2015,July,10,3.40,1050,1100,1050
2015,July,25,3.40,1050,1100,1050
2015,July,30,3.40,1050,1100,1050
2015,July,31,3.40,1050,1100,1050
2015,November,05,3.40,1100,1200,1100
2015,September,11,3.40,1100,1200,1100
2015,October,12,3.40,1100,1200,1100
2015,September,17,3.40,1100,1200,1100
2015,April,22,3.50,850,900,850
2015,April,28,3.50,850,900,850
2015,May,21,3.50,880,900,880
2015,May,15,3.50,880,920,880
2015,May,29,3.50,880,920,880
2015,June,10,3.50,900,950,900
2015,June,15,3.50,900,950,900
2015,June,13,3.50,950,1000,950
2015,June,24,3.50,980,1000,980
2015,June,22,3.50,1000,1050,1000
2015,July,09,3.50,1000,1100,1000
2015,July,11,3.50,1000,1100,1000
2015,August,01,3.50,1050,1100,1050
2015,July,02,3.50,1050,1100,1050
2015,August,03,3.50,1050,1100,1050
2015,August,07,3.50,1050,1100,1050
2015,August,08,3.50,1050,1100,1050
2015,July,28,3.50,1050,1100,1050
2015,June,29,3.50,1050,1100,1050
2015,September,02,3.50,1100,1200,1100
2015,November,04,3.50,1100,1200,1100
2015,October,05,3.50,1100,1200,1100
2015,September,07,3.50,1100,1200,1100
2015,October,09,3.50,1100,1200,1100
2015,September,16,3.50,1100,1200,1100
2015,August,19,3.50,1100,1200,1100
2015,September,23,3.50,1100,1200,1100
2015,August,24,3.50,1100,1200,1100
2015,September,28,3.50,1100,1200,1100
2015,August,31,3.50,1100,1200,1100
2015,April,09,3.60,880,900,880
2015,March,24,3.60,900,900,900
2015,March,17,3.60,900,950,900
2015,March,23,3.60,900,950,900
2015,May,28,3.70,880,920,880
2015,April,07,3.80,850,900,850
2015,May,16,3.80,860,900,860
2015,May,22,3.80,880,920,880
2015,March,27,3.80,900,920,900
2015,March,18,3.80,900,940,900
2015,April,17,3.80,900,950,900
2015,June,16,3.80,950,1000,950
2015,August,11,3.80,1050,1100,1050
2015,July,18,3.80,1050,1100,1050
2015,October,01,3.80,1100,1200,1100
2015,September,04,3.80,1100,1200,1100
2015,October,14,3.80,1100,1200,1100
2015,June,02,3.90,900,950,900
2015,September,01,3.90,1100,1200,1100
2015,June,01,4.00,880,920,880
2015,May,23,4.00,880,920,880
2015,March,16,4.00,900,900,900
2015,June,06,4.00,950,1000,950
2015,July,01,4.00,1050,1100,1050
2015,July,07,4.00,1050,1100,1050
2015,October,03,4.00,1100,1200,1100
