year,month,date,arrival,min,max,modal
2019,July,17,0.97,9700,10200,9800
2019,September,21,1.27,9700,10200,9800
2019,July,29,1.27,9700,10200,9800
2019,September,25,1.46,9700,10200,9800
2019,November,15,1.46,9800,10500,10220
2019,November,14,1.64,9600,10200,9800
2019,August,26,1.64,9700,10200,9800
2019,November,05,1.87,9600,10200,9800
2019,November,20,1.87,9800,10500,10200
2019,November,27,4.85,9800,10500,10200
2019,July,19,1.01,9700,10200,9800
2019,July,20,1.12,9700,10200,9800
2019,July,25,1.16,9700,10200,9800
2019,August,31,1.43,9700,10200,9800
2019,August,01,1.46,9700,10200,9800
2019,September,23,1.57,9700,10200,9800
2019,September,30,1.64,9700,10200,9800
2019,October,24,1.64,9700,10300,9800
2019,August,22,1.67,9700,10200,9800
2019,September,24,1.67,9700,10200,9800
2019,September,07,1.72,9700,10200,9800
2019,July,18,1.79,9700,10200,9800
2019,September,26,1.79,9700,10200,9800
2019,September,17,2.39,9700,10200,9800
2016,February,07,2.54,2750,3000,2900
2019,December,23,2.61,7800,10200,9800
2019,December,30,3.13,9400,10200,9800
2019,September,05,3.13,9700,10200,9800
2015,February,14,3.28,2250,3000,2600
2014,August,06,3.87,9000,9100,9050
2019,December,07,3.88,9400,10200,9800
2019,December,04,4.63,9400,10200,9800
2019,December,06,4.63,9400,10200,9800
2019,December,11,4.63,9400,10200,9800
2015,February,15,5.37,2300,3000,2800
2019,December,03,5.67,9800,10500,10200
