year,month,date,arrival,min,max,modal
2018,June,18,1.50,2070,2100,2080
2018,August,02,2.00,2090,2150,2140
2018,July,21,2.20,2090,2150,2140
2018,October,05,2.20,2160,2210,2200
2018,July,27,2.30,2090,2150,2140
2018,August,04,2.40,2090,2150,2140
2018,June,21,2.50,2080,2150,2100
2018,August,09,2.50,2090,2150,2140
2018,August,13,2.50,2090,2150,2140
2018,July,17,2.50,2090,2150,2140
2018,July,19,2.50,2090,2150,2140
2018,June,22,2.80,2080,2150,2100
2018,June,25,2.80,2080,2160,2115
2018,August,08,2.80,2090,2150,2140
2018,July,18,2.80,2090,2150,2140
2018,July,26,2.80,2090,2150,2140
2018,July,30,2.80,2090,2150,2140
2018,July,31,2.80,2090,2150,2140
2018,July,12,2.80,2090,2160,2140
2018,October,04,2.80,2140,2190,2170
2018,October,21,2.80,2270,2310,2300
2018,August,03,2.90,2090,2150,2140
2018,June,26,3.00,2080,2160,2115
2018,August,06,3.00,2090,2150,2140
2018,July,25,3.00,2090,2150,2140
2018,September,25,3.00,2110,2150,2130
2018,September,26,3.20,2110,2140,2130
2018,June,27,3.50,2080,2160,2115
2018,September,27,3.80,2140,2190,2170
2018,October,25,3.80,2220,2250,2240
2018,June,20,3.90,2070,2150,2100
2018,June,24,4.00,2080,2160,2115
2019,August,21,4.50,2400,2600,2410
2019,August,25,4.50,2400,2600,2410
2019,July,31,4.50,2400,2600,2410
2019,July,22,4.80,2400,2600,2410
2019,September,30,4.80,2400,2600,2410
2019,September,26,5.00,2400,2600,2410
2019,July,30,5.00,2400,2600,2410
2018,December,06,5.00,2730,2880,2780
2019,September,07,5.50,2400,2600,2410
2019,September,21,5.80,2400,2600,2410
2019,September,23,5.80,2400,2600,2410
2019,September,25,5.80,2400,2600,2410
2019,September,05,6.00,2400,2600,2410
2019,September,16,6.00,2400,2600,2410
2019,August,31,6.00,2400,2600,2410
2019,August,26,6.00,2400,2800,2410
2019,August,08,6.00,2600,2700,2650
2019,November,01,6.00,2800,3100,2950
2019,November,20,6.00,2800,3100,2950
2019,July,25,6.20,2400,2600,2410
2018,July,13,6.50,2090,2150,2140
2018,September,20,6.50,2110,2140,2130
2019,August,01,6.50,2400,2600,2410
2019,September,11,6.50,2400,2600,2410
2019,September,19,6.50,2400,2600,2410
2019,September,24,6.50,2400,2600,2410
2019,August,29,6.50,2400,2600,2410
2019,July,29,6.50,2400,2600,2410
2019,November,05,6.50,2800,3100,2950
2019,September,02,6.80,2400,2600,2410
2019,September,17,6.80,2400,2600,2410
2019,August,27,6.80,2400,2600,2410
2019,November,18,6.80,2800,3100,2950
2019,July,20,7.00,2300,2800,2310
2019,November,08,7.00,2800,3100,2950
2019,December,06,7.00,2900,3050,2950
2019,August,22,7.50,2300,2800,2310
2019,July,15,7.50,2350,2800,2400
2019,August,28,7.50,2400,2600,2410
2018,November,28,7.50,2730,2800,2780
2019,November,13,7.50,2800,3100,2950
2019,December,04,7.50,2900,3050,2950
2019,August,30,8.00,2400,2600,2410
2019,September,27,8.00,2400,2600,2420
2019,July,16,8.50,2315,2800,2320
