year,month,date,arrival,min,max,modal
2014,July,01,5.00,2000,2200,2200
2014,July,02,5.00,2000,2300,2200
2014,July,03,5.50,2100,2300,2200
2014,July,05,6.50,2100,2300,2200
2014,July,07,7.00,2100,2300,2200
2014,July,06,8.30,2200,2300,2250
2014,June,03,0.10,3200,3300,3250
2014,June,04,0.10,3200,3300,3250
2014,June,21,0.10,3200,3300,3250
2014,June,26,0.10,3200,3300,3250
2014,July,29,3.00,3350,3850,3850
2014,January,20,3.50,3100,3300,3250
2014,July,14,4.00,3200,3800,3300
2014,March,07,4.50,3200,3300,3250
2014,June,09,4.50,3200,3300,3250
2014,February,11,4.50,3200,3300,3250
2014,June,20,4.50,3200,3300,3250
2014,June,23,4.50,3200,3300,3250
2014,June,24,4.50,3200,3300,3250
2014,June,25,4.50,3200,3300,3250
2014,June,27,4.50,3200,3300,3250
2014,June,30,4.50,3200,3300,3250
2014,July,25,4.50,3200,3800,3600
2014,January,22,4.60,3100,3300,3250
2014,January,24,4.90,3100,3300,3250
2014,July,01,5.00,3200,3300,3250
2014,July,02,5.00,3200,3300,3250
2014,April,08,5.00,3200,3300,3250
2014,July,09,5.00,3200,3300,3250
2014,July,12,5.00,3200,3800,3300
2014,July,03,5.50,3200,3300,3250
2014,July,10,5.70,3200,3400,3300
2014,March,20,6.00,3200,3300,3250
2014,March,21,6.00,3200,3300,3250
2014,June,12,6.00,3200,3300,3300
2014,August,02,6.50,2800,3000,3000
2014,July,05,6.50,3200,3300,3250
2014,July,11,6.50,3200,3400,3300
2014,July,13,6.80,3200,3800,3300
2014,July,07,7.00,3200,3300,3250
2014,July,26,7.50,3200,3800,3800
2014,August,04,8.00,2800,3000,3000
2014,June,10,8.20,3250,3400,3300
2014,June,11,8.20,3250,3400,3300
2014,August,01,8.30,2800,3000,3000
2014,July,06,8.30,3200,3300,3250
2014,July,21,8.30,3200,3800,3300
2014,July,23,8.30,3200,3800,3300
2014,August,03,8.50,2800,3000,3000
2014,January,02,10.00,3150,3200,3150
2014,July,30,10.00,3300,3800,3800
2016,February,12,11.00,3000,3200,3150
2014,July,28,11.00,3350,3850,3850
2014,January,09,12.00,3100,3150,3150
2014,January,10,12.00,3100,3150,3150
2015,July,20,22.00,3450,3800,3650
2015,May,01,27.00,3300,3800,3650
2015,May,30,28.00,3350,3800,3700
2016,February,04,29.00,3050,3150,3100
2015,February,08,30.00,3300,3750,3600
2014,August,06,30.00,3350,3650,3500
2015,August,06,30.00,3400,3800,3600
2015,September,06,30.00,3400,3800,3600
2015,May,18,30.00,3400,3800,3700
2015,June,27,30.00,3400,3800,3700
2016,May,02,31.00,3250,3500,3400
2015,October,05,32.00,3000,3300,3200
2015,August,22,32.00,3000,3300,3200
2016,March,05,32.00,3100,3250,3200
2015,May,31,32.00,3400,3800,3600
2017,February,26,33.00,3200,3350,3300
2016,April,18,34.00,3200,3500,3400
2015,September,26,35.00,3000,3350,3200
2016,March,26,35.00,3150,3500,3300
2015,June,04,35.00,3400,3800,3600
2015,June,06,35.00,3400,3800,3600
2015,August,08,35.00,3400,3800,3600
2015,June,20,35.00,3450,3800,3650
2015,June,13,35.00,3450,3800,3700
2015,June,22,35.00,3450,3800,3700
2016,March,21,36.00,3150,3400,3300
2016,April,28,36.00,3200,3500,3400
2015,April,18,36.00,3350,3800,3600
2015,April,30,36.00,3350,3800,3650
2015,July,27,36.00,3400,3750,3700
2015,May,28,36.00,3400,3800,3600
2015,July,04,36.00,3450,3800,3700
2016,May,14,37.00,3200,3500,3400
2016,May,07,37.00,3250,3500,3400
2015,October,04,37.50,3000,3300,3200
2015,September,24,38.00,3000,3350,3200
