year,month,date,arrival,min,max,modal
2017,June,15,1.20,1550,1625,1600
2017,May,20,1.20,1550,1650,1600
2017,May,18,1.30,1550,1610,1600
2017,May,05,1.40,1500,1600,1550
2017,June,02,1.50,1500,1610,1600
2017,May,21,1.50,1550,1610,1600
2017,May,26,1.50,1550,1610,1600
2017,June,01,1.70,1550,1610,1600
2017,June,05,1.70,1550,1610,1600
2017,May,19,1.70,1550,1610,1600
2017,May,02,1.80,1500,1600,1550
2017,May,08,1.80,1510,1575,1550
2017,May,11,1.80,1510,1575,1550
2017,May,22,1.80,1550,1610,1600
2017,May,24,1.80,1550,1610,1600
2017,May,16,1.80,1550,1620,1600
2017,May,09,2.00,1510,1575,1550
2017,May,10,2.00,1510,1575,1550
2017,May,14,2.00,1510,1580,1550
2017,June,03,2.00,1550,1610,1600
2017,May,12,2.20,1510,1580,1550
2017,June,07,2.20,1550,1610,1600
2016,April,18,2.50,1500,1520,1510
2017,May,01,2.50,1500,1600,1550
2015,November,15,2.50,1900,2000,1950
2017,April,28,2.70,1500,1600,1550
2017,May,15,2.80,1550,1580,1560
2016,April,29,3.00,1450,1550,1500
2015,December,02,3.00,1900,2050,2000
2015,November,16,4.50,1950,2100,2000
2016,July,12,6.00,2250,2400,2300
2015,November,21,6.50,1900,2050,2000
2016,May,01,7.00,1500,1530,1510
2015,November,22,7.00,1900,2050,2000
2016,February,12,7.00,1900,2200,2000
2016,March,17,7.00,2000,2250,2100
2015,November,20,7.50,1900,2050,2000
2015,November,23,8.00,1900,2050,2000
2016,January,11,8.50,2000,2100,2050
2015,November,17,9.00,1950,2100,2000
2016,February,21,9.00,1950,2200,2000
2016,April,05,9.00,2100,2200,2150
2016,February,17,10.50,1950,2200,2000
2016,June,15,10.50,2100,2200,2150
2016,June,26,10.50,2100,2300,2200
2016,February,14,11.00,1950,2200,2000
2016,February,24,11.00,1950,2200,2000
2016,January,10,11.00,2000,2100,2050
2016,May,11,11.00,2100,2200,2150
2016,May,25,11.00,2100,2200,2150
2015,December,30,11.00,2150,2250,2200
2015,November,25,12.00,1900,2050,2000
2016,February,16,12.00,1950,2200,2000
2016,April,24,12.00,2150,2250,2200
2016,April,26,12.00,2150,2250,2200
2016,April,19,12.20,2150,2250,2200
2016,January,21,12.50,1900,2100,2000
2016,May,17,13.00,2100,2200,2150
2016,May,22,13.00,2100,2200,2150
2016,June,05,14.00,2100,2200,2150
2016,June,12,14.00,2100,2200,2150
2016,March,20,14.00,2350,2500,2400
2016,May,08,14.50,2150,2250,2200
2016,April,27,14.50,2150,2250,2200
2016,April,28,14.50,2150,2250,2200
2016,June,03,14.80,2100,2200,2150
2015,December,06,15.00,1900,2000,1950
2016,January,24,16.00,1900,2100,2000
2016,February,25,16.00,1950,2200,2000
2016,April,17,16.00,2100,2200,2150
2015,December,29,16.00,2150,2230,2200
2016,July,08,16.50,2100,2300,2200
2016,June,21,16.50,2100,2300,2200
2015,December,13,17.00,1900,2100,1950
2015,December,08,18.00,1900,2000,1950
2016,August,08,18.50,2050,2100,2060
2015,December,04,19.00,1900,2000,1950
2015,November,24,19.00,1900,2050,2000
2016,May,10,19.00,2100,2200,2150
2015,December,23,21.00,1900,2000,1950
2016,May,24,21.00,2100,2200,2150
2016,January,02,22.00,2000,2100,2050
