year,month,date,arrival,min,max,modal
2014,July,09,1.20,4000,4500,4400
2014,July,02,1.70,2300,2400,2400
2014,July,05,1.70,2300,2400,2400
2014,July,01,1.80,2300,2400,2400
2014,July,03,2.00,2300,2400,2400
2014,July,04,2.20,2300,2400,2400
2018,February,22,21.00,2500,3100,3000
2018,January,29,21.00,4100,4200,4150
2018,March,26,23.00,1700,1800,1750
2018,September,20,23.00,2250,2400,2300
2018,January,25,23.00,4100,4500,4200
2019,November,11,23.00,5500,6200,5800
2019,November,15,24.00,5500,6200,5800
2018,August,02,24.90,2100,2250,2200
2018,August,09,25.00,2100,2200,2150
2018,May,17,26.00,1500,1650,1600
2018,March,12,26.00,1700,2200,2100
2017,October,07,26.00,2250,2450,2300
2018,May,03,27.00,1250,1350,1300
2018,October,22,27.00,2400,2600,2500
2017,August,31,27.00,3150,3300,3200
2018,January,17,27.00,4200,4600,4500
2017,December,18,27.00,4700,4800,4750
2018,July,21,28.00,2200,2400,2300
2019,August,25,28.00,2400,2800,2600
2019,September,25,28.00,5000,5200,5100
2018,November,17,29.00,1450,2310,2300
2018,June,21,29.00,1500,1700,1650
2018,November,28,29.00,1600,1900,1800
2018,June,27,29.00,2000,2200,2100
2018,August,08,29.00,2100,2250,2200
2017,October,05,29.00,2150,2300,2250
2018,July,19,29.00,2200,2400,2300
2017,September,21,29.00,2200,2500,2300
2017,October,15,29.00,3100,3550,3500
2017,October,21,29.00,3100,3600,3500
2018,February,15,29.00,3600,3700,3650
2018,February,05,29.00,3600,3900,3800
2017,November,16,29.00,3850,4100,4000
2017,December,07,29.00,4200,4300,4250
2017,November,06,30.00,3300,3650,3600
2018,March,08,30.50,3000,3200,3100
2018,March,31,31.00,1700,1800,1750
2018,September,05,31.00,1900,2050,2000
2018,March,11,31.00,2000,2600,2400
2017,October,23,31.00,3300,3600,3500
2017,October,29,31.00,3400,3650,3600
2017,October,26,31.00,3500,3650,3600
2018,February,03,31.00,3600,3900,3800
2017,November,19,31.00,3600,4250,4200
2018,January,11,31.00,4200,4600,4500
