year,month,date,arrival,min,max,modal
2014,July,10,3.80,1800,2000,1800
2014,June,04,0.10,1700,1900,1800
2014,June,20,0.10,1700,1900,1800
2014,January,22,2.00,900,1000,950
2014,July,21,2.00,1800,2000,1800
2014,July,29,2.20,1850,2000,2000
2014,January,09,2.50,1000,1100,1000
2014,January,10,2.50,1000,1100,1000
2014,July,12,2.50,2000,2100,2000
2014,June,12,2.80,1800,1850,1800
2014,July,13,2.80,2000,2100,2000
2014,January,02,3.00,1300,1400,1300
2014,July,07,3.00,1800,2000,1800
2014,July,28,3.20,1850,1900,1900
2014,March,07,3.50,800,950,950
2014,February,11,3.50,900,1000,950
2014,June,03,3.50,1700,1900,1800
2014,June,21,3.50,1700,1900,1800
2014,June,23,3.50,1700,1900,1800
2014,June,24,3.50,1700,1900,1800
2014,June,25,3.50,1700,1900,1800
2014,June,26,3.50,1700,1900,1800
2014,June,27,3.50,1700,1900,1800
2014,June,30,3.50,1700,1900,1800
2014,June,09,3.50,1800,1850,1850
2014,July,09,3.50,1800,2000,1800
2014,July,14,3.50,2000,2100,2000
2014,March,20,3.80,1000,1100,1000
2014,March,21,3.80,1000,1100,1000
2014,July,10,3.80,1800,2000,1800
2014,August,01,4.00,1500,1600,1600
2014,August,02,4.00,1500,1600,1600
2014,July,06,4.00,1800,2000,1800
2014,July,23,4.00,1800,2000,1800
2014,July,26,4.00,1850,1910,1910
2014,July,30,4.00,1850,2000,2000
2014,August,04,4.30,1500,1600,1600
2016,August,07,4.30,1750,1850,1800
2014,August,03,4.50,1500,1600,1600
2014,July,11,4.50,1700,1900,1800
2014,June,11,4.50,1750,1800,1800
2015,January,30,4.70,600,620,610
2014,April,08,4.80,1000,1100,1000
2014,July,25,5.50,1800,2000,1900
2014,August,22,5.70,2600,2625,2610
2017,July,11,7.10,825,1100,1050
2014,August,19,8.50,2500,2600,2550
2016,January,04,9.00,1000,1100,1050
2015,August,18,10.00,800,820,810
2015,August,22,10.00,940,960,950
2014,August,18,10.40,2500,2600,2550
2015,August,06,11.00,800,820,810
2015,September,06,11.00,800,820,810
