year,month,date,arrival,min,max,modal
2016,December,10,0.22,9000,9750,9500
2016,December,12,0.22,9000,9750,9500
2016,September,05,0.30,9000,9600,9300
2016,September,07,0.30,9000,9600,9300
2016,August,10,0.30,9000,9750,9500
2016,December,11,0.30,9000,9750,9500
2014,December,06,0.37,8600,9000,8800
2014,October,15,0.37,8900,9100,9000
2016,August,06,0.37,9000,9750,9500
2016,April,27,0.37,9600,10500,10000
2014,December,08,0.45,8600,9000,8800
2014,December,05,0.45,8600,9200,8900
2014,December,20,0.45,8800,9500,9150
2017,January,17,0.45,8800,9600,9000
2015,January,27,0.45,8800,9600,9200
2016,December,13,0.45,9000,9750,9350
2016,August,04,0.45,9000,9750,9500
2016,August,09,0.45,9000,9750,9500
2016,August,31,0.45,9000,9750,9500
2016,April,05,0.45,9600,10500,10000
2016,October,30,0.55,9350,9700,9500
2014,November,07,0.60,8500,9000,8750
2016,December,16,0.60,8500,9500,9000
2014,December,09,0.60,8600,9000,8800
2014,August,10,0.60,8600,9000,8800
2014,November,10,0.60,8600,9000,8800
2014,October,28,0.60,8600,9000,8800
2014,November,29,0.60,8600,9300,8950
2014,December,02,0.60,8600,9400,9000
2014,December,04,0.60,8600,9400,9000
2014,November,24,0.60,8600,9400,9000
2017,June,05,0.60,8600,9600,9000
2014,November,04,0.60,8800,9000,8900
2014,November,16,0.60,8800,9200,9000
2015,January,31,0.60,8800,9400,9100
2014,December,22,0.60,8800,9500,9150
2015,January,25,0.60,8800,9600,9200
2014,December,27,0.60,8800,9600,9200
2016,December,28,0.60,9000,9500,9400
2015,January,03,0.60,9000,9600,9300
2016,September,06,0.60,9000,9600,9300
2015,January,09,0.60,9000,9600,9300
2016,September,19,0.60,9000,9600,9300
2014,December,30,0.60,9000,9600,9300
2016,September,10,0.60,9000,9600,9350
2016,November,28,0.60,9000,9600,9350
2016,December,31,0.60,9000,9600,9350
2016,October,05,0.60,9000,9600,9400
2017,July,17,0.60,9000,9650,9350
2016,December,05,0.60,9000,9700,9350
2016,December,09,0.60,9000,9750,9500
2016,August,30,0.60,9000,9750,9500
2017,February,05,0.60,9000,9800,9350
2016,November,13,0.60,9000,9800,9600
2016,July,16,0.60,9000,10000,9500
2016,August,17,0.60,9000,10000,9500
2018,February,20,0.60,9000,10000,9500
2016,July,20,0.60,9000,10000,9500
2017,January,30,0.60,9000,10000,9500
2016,November,30,0.60,9000,10000,9500
2017,February,14,0.60,9000,10000,9600
2017,February,15,0.60,9000,10000,9600
2016,August,23,0.60,9000,10000,9600
2017,January,25,0.60,9000,10000,9600
2016,October,23,0.60,9300,9800,9500
2015,November,13,0.60,9350,9500,9450
2016,November,08,0.60,9350,10000,9600
2016,July,05,0.60,9500,10000,9750
2017,March,13,0.60,9500,10000,9800
2016,July,11,0.60,9600,10000,9750
2016,April,03,0.60,9600,10000,9800
2016,April,04,0.60,9600,10500,10000
2017,March,04,0.60,9600,10500,10000
2016,June,13,0.60,9600,10500,10000
2016,April,06,0.60,9800,10500,10000
2015,February,01,0.67,8800,9400,9100
2014,December,24,0.67,8800,9600,9200
2014,December,28,0.67,8800,9600,9200
2015,January,02,0.67,9000,9600,9300
2017,March,28,0.67,9350,10000,9600
2014,November,03,0.72,8600,9000,8800
2017,January,21,0.75,8500,9500,9000
2017,July,11,0.75,8500,9600,9000
2014,November,01,0.75,8600,9000,8800
2014,December,07,0.75,8600,9000,8800
2014,November,09,0.75,8600,9000,8800
2014,November,12,0.75,8600,9000,8800
2014,October,21,0.75,8600,9000,8800
2014,September,23,0.75,8600,9000,8800
2014,October,24,0.75,8600,9000,8800
2014,October,26,0.75,8600,9000,8800
2014,October,29,0.75,8600,9000,8800
2014,December,03,0.75,8600,9400,9000
2014,December,12,0.75,8600,9400,9050
2014,December,18,0.75,8600,9500,9050
2017,May,31,0.75,8600,9600,9000
2014,December,10,0.75,8650,9450,9050
2014,November,05,0.75,8800,9000,8900
2014,August,04,0.75,8800,9200,9000
2014,November,15,0.75,8800,9200,9000
2014,November,17,0.75,8800,9200,9000
2014,November,21,0.75,8800,9400,9100
2014,November,22,0.75,8800,9400,9100
2014,December,21,0.75,8800,9600,9200
2015,January,06,0.75,9000,9600,9300
2015,January,15,0.75,9000,9600,9300
2015,January,18,0.75,9000,9600,9300
2015,January,21,0.75,9000,9600,9300
2014,December,26,0.75,9000,9600,9300
2016,September,27,0.75,9000,9600,9300
2014,December,31,0.75,9000,9600,9300
2016,October,04,0.75,9000,9600,9400
2016,September,14,0.75,9000,9700,9400
2016,October,19,0.75,9000,9700,9500
2016,December,14,0.75,9000,9800,9350
2017,April,05,0.75,9000,10000,9500
2017,September,19,0.75,9000,10000,9500
2016,August,20,0.75,9000,10000,9500
2016,July,29,0.75,9000,10000,9500
2017,February,22,0.75,9000,10000,9600
2016,November,04,0.75,9300,10000,9600
2017,April,01,0.75,9350,10000,9700
2016,June,24,0.75,9500,10000,9750
2017,March,08,0.75,9500,10500,9800
2016,June,15,0.75,9500,10500,10000
2016,July,10,0.75,9600,10000,9750
2016,April,02,0.75,9600,10000,9800
2016,July,02,0.75,10000,11000,10500
