year,month,date,arrival,min,max,modal
2016,September,05,1.00,2200,2300,2250
2016,September,07,1.00,2200,2350,2250
2016,September,06,1.50,2200,2300,2250
2017,February,04,1.50,2600,2700,2650
2017,February,15,1.50,2650,2750,2700
2016,December,11,1.50,2700,2900,2800
2016,August,09,2.00,2150,2250,2200
2016,August,10,2.00,2150,2250,2200
2017,September,12,2.00,2250,2400,2300
2017,August,07,2.00,2300,2400,2350
2017,November,15,2.00,2300,2400,2350
2018,April,18,2.00,2300,2400,2350
2016,October,19,2.00,2300,2400,2350
2017,September,19,2.00,2300,2400,2350
2017,December,05,2.00,2300,2450,2400
2017,December,06,2.00,2300,2450,2400
2018,April,02,2.00,2400,2500,2450
2017,January,29,2.00,2500,2650,2550
2016,December,30,2.00,2500,2700,2600
2017,January,25,2.00,2550,2650,2600
2017,February,05,2.00,2600,2700,2650
2017,July,07,2.00,2600,2700,2650
2017,January,24,2.00,2600,2750,2700
2017,February,21,2.00,2650,2750,2700
2017,April,19,2.00,2650,2800,2700
2016,November,13,2.00,2700,2800,2750
2017,January,16,2.00,2700,2800,2750
2017,January,17,2.00,2700,2800,2750
2017,March,25,2.00,2700,2800,2750
2017,March,10,2.00,2700,2850,2800
2016,December,10,2.00,2700,2900,2800
2016,December,21,2.00,2700,2900,2800
2016,November,18,2.00,2750,2900,2800
2016,August,31,2.50,2150,2300,2200
2014,December,05,2.50,2200,2300,2250
2014,December,09,2.50,2200,2300,2250
2015,November,13,2.50,2200,2300,2250
2016,April,05,2.50,2250,2300,2275
2017,October,04,2.50,2250,2350,2300
2017,October,25,2.50,2250,2350,2300
2017,October,31,2.50,2250,2350,2300
2017,October,03,2.50,2250,2350,2325
2017,August,01,2.50,2300,2400,2350
2017,August,06,2.50,2300,2400,2350
2017,August,21,2.50,2300,2400,2350
2017,December,12,2.50,2300,2450,2400
2018,March,13,2.50,2350,2500,2400
2018,February,20,2.50,2400,2500,2450
2016,December,28,2.50,2500,2700,2600
2016,December,31,2.50,2500,2700,2600
2017,February,11,2.50,2600,2700,2650
2017,June,13,2.50,2600,2700,2650
2017,January,03,2.50,2600,2800,2700
2017,January,11,2.50,2650,2750,2700
2017,February,20,2.50,2650,2750,2700
2017,May,26,2.50,2650,2750,2700
2017,January,20,2.50,2700,2750,2725
2017,March,01,2.50,2700,2800,2750
2017,March,03,2.50,2700,2800,2750
2017,January,08,2.50,2700,2800,2750
2017,January,15,2.50,2700,2800,2750
2017,May,16,2.50,2700,2800,2750
2017,May,17,2.50,2700,2800,2750
2016,November,17,2.50,2700,2800,2750
2016,December,22,2.50,2700,2800,2750
2017,March,28,2.50,2700,2800,2750
2017,April,29,2.50,2700,2800,2750
2017,April,15,2.50,2700,2850,2800
2016,December,04,2.50,2700,2900,2800
2016,December,12,2.50,2700,2900,2800
2016,December,20,2.50,2700,2900,2800
2016,November,22,2.50,2700,2900,2800
2017,April,25,2.50,2750,2850,2800
2016,December,07,2.50,2800,2900,2850
2016,November,25,2.50,2800,2900,2850
2016,November,28,2.50,2800,2900,2850
2016,February,16,3.00,2100,2200,2150
2016,August,29,3.00,2100,2200,2150
2014,October,29,3.00,2100,2200,2150
2015,July,08,3.00,2150,2250,2200
2015,November,17,3.00,2150,2250,2200
2016,August,23,3.00,2150,2250,2200
2016,August,30,3.00,2150,2300,2200
2016,July,02,3.00,2200,2300,2250
2016,September,03,3.00,2200,2300,2250
2016,July,04,3.00,2200,2300,2250
2016,September,04,3.00,2200,2300,2250
2014,December,06,3.00,2200,2300,2250
2015,January,09,3.00,2200,2300,2250
2015,November,11,3.00,2200,2300,2250
2014,December,12,3.00,2200,2300,2250
2016,June,14,3.00,2200,2300,2250
2016,August,18,3.00,2200,2300,2250
2014,December,20,3.00,2200,2300,2250
2016,June,22,3.00,2200,2300,2250
2016,June,24,3.00,2200,2300,2250
2014,December,27,3.00,2200,2300,2250
2015,January,27,3.00,2200,2300,2250
2015,November,27,3.00,2200,2300,2250
2015,November,28,3.00,2200,2300,2250
2017,October,11,3.00,2200,2350,2300
2015,November,07,3.00,2250,2350,2300
2016,September,19,3.00,2250,2350,2300
2018,June,20,3.00,2250,2350,2300
2016,September,28,3.00,2250,2350,2300
2018,May,28,3.00,2250,2350,2325
2016,November,01,3.00,2300,2400,2350
2016,November,04,3.00,2300,2400,2350
2016,November,08,3.00,2300,2400,2350
2016,November,11,3.00,2300,2400,2350
2016,October,25,3.00,2300,2400,2350
2016,October,26,3.00,2300,2400,2350
2016,October,30,3.00,2300,2400,2350
2017,December,07,3.00,2300,2450,2400
2017,July,28,3.00,2350,2450,2400
2017,August,04,3.00,2350,2500,2400
2017,July,21,3.00,2350,2500,2400
2018,February,03,3.00,2400,2500,2450
2018,February,04,3.00,2400,2500,2450
2018,May,08,3.00,2400,2500,2450
2017,September,16,3.00,2400,2500,2450
2017,July,24,3.00,2400,2500,2450
2017,June,21,3.00,2500,2600,2550
2017,June,10,3.00,2500,2650,2600
2017,June,12,3.00,2500,2650,2600
2017,January,01,3.00,2500,2700,2600
2017,June,20,3.00,2500,2700,2600
2016,December,27,3.00,2500,2700,2600
2017,January,27,3.00,2500,2700,2600
2017,February,01,3.00,2600,2700,2650
2017,February,03,3.00,2600,2700,2650
2017,July,05,3.00,2600,2700,2650
2017,June,09,3.00,2600,2700,2650
2017,January,06,3.00,2600,2750,2700
2017,May,21,3.00,2600,2750,2700
2017,January,23,3.00,2600,2750,2700
2017,May,06,3.00,2650,2750,2700
2017,May,14,3.00,2650,2750,2700
2016,November,12,3.00,2650,2800,2700
2017,February,17,3.00,2650,2800,2700
2017,May,01,3.00,2700,2800,2750
2017,April,04,3.00,2700,2800,2750
2017,January,09,3.00,2700,2800,2750
