year,month,date,arrival,min,max,modal
2014,July,11,2.00,2500,2700,2600
2016,July,26,2.50,2300,2400,2350
2017,August,19,2.50,2700,3000,2800
2016,June,12,3.00,2200,2400,2300
2016,June,24,3.00,2250,2400,2300
2016,August,07,3.00,2300,2400,2350
2016,August,01,3.00,2300,2450,2400
2016,July,29,3.00,2350,2450,2400
2016,September,05,3.00,2400,2700,2550
2017,February,20,3.00,2450,2650,2500
2016,August,28,3.00,2500,2600,2550
2016,August,30,3.00,2500,2600,2550
2016,December,23,3.00,2500,2700,2600
2016,December,25,3.00,2600,2800,2700
2016,November,25,3.00,2600,2800,2700
2016,November,28,3.00,2600,2800,2700
2019,August,21,3.00,2700,2800,2750
2016,November,21,3.00,2700,2800,2750
2017,September,03,3.00,2700,3000,2800
2018,March,20,3.00,2750,3000,2800
2017,December,03,3.00,2800,3200,3000
2017,December,08,3.00,2800,3200,3000
2017,October,22,3.00,2800,3200,3000
2017,October,23,3.00,2800,3200,3000
2018,July,11,3.00,2850,3200,3000
2017,December,02,3.00,2950,3250,3000
2017,January,17,3.50,2300,2500,2400
2017,February,19,3.50,2450,2600,2500
2017,February,26,3.50,2500,2700,2600
2016,December,21,3.50,2600,2800,2700
2016,November,15,3.50,2700,2800,2750
2017,September,04,3.50,2700,3000,2800
2017,October,20,3.50,2775,3250,3000
2017,February,07,4.00,2200,2400,2250
2016,July,19,4.00,2200,2400,2300
2017,January,24,4.00,2200,2400,2300
2017,February,04,4.00,2200,2600,2350
2016,August,06,4.00,2250,2400,2300
2016,July,01,4.00,2300,2400,2350
2016,July,11,4.00,2300,2400,2350
2016,August,12,4.00,2300,2400,2350
2016,June,18,4.00,2300,2400,2350
2017,January,16,4.00,2300,2500,2400
2017,January,18,4.00,2300,2500,2400
2017,January,04,4.00,2300,2600,2400
2017,January,20,4.00,2300,2600,2400
2016,July,30,4.00,2350,2450,2400
2016,August,14,4.00,2350,2500,2400
2017,March,04,4.00,2350,2600,2500
2017,February,21,4.00,2350,2600,2500
2017,March,03,4.00,2350,2700,2500
2017,February,17,4.00,2400,2600,2500
2017,February,24,4.00,2400,2600,2500
2016,December,27,4.00,2400,2600,2500
2016,August,31,4.00,2400,2600,2500
2017,April,04,4.00,2450,2600,2500
2017,June,13,4.00,2450,2650,2500
2016,September,03,4.00,2450,2650,2600
2016,October,09,4.00,2450,2750,2600
2016,December,04,4.00,2500,2700,2600
2016,October,05,4.00,2500,2700,2600
2016,December,30,4.00,2500,2700,2600
2017,May,30,4.00,2500,2700,2650
2016,September,14,4.00,2550,2700,2600
2017,June,06,4.00,2550,2750,2700
2017,May,22,4.00,2600,2700,2650
2017,May,26,4.00,2600,2700,2650
2016,September,30,4.00,2600,2750,2700
2017,August,02,4.00,2600,2800,2700
2016,November,06,4.00,2600,2800,2700
2019,September,07,4.00,2600,2800,2700
2016,December,20,4.00,2600,2800,2700
2016,December,13,4.00,2600,2900,2800
2017,July,07,4.00,2650,2800,2700
2016,October,30,4.00,2650,2800,2700
2016,November,16,4.00,2700,2800,2750
2016,November,20,4.00,2700,2800,2750
2016,November,22,4.00,2700,2800,2750
2017,August,04,4.00,2700,2850,2800
2018,February,20,4.00,2700,2900,2800
2017,August,12,4.00,2700,3000,2800
2017,October,02,4.00,2700,3300,3000
2017,October,17,4.00,2700,3300,3000
2017,August,08,4.00,2750,3000,2800
2017,August,09,4.00,2750,3000,2800
2018,April,03,4.00,2750,3000,2850
2018,April,04,4.00,2750,3000,2850
2018,July,07,4.00,2750,3000,2850
2017,October,15,4.00,2750,3000,2850
2017,December,12,4.00,2750,3200,3000
2017,September,12,4.00,2750,3200,3000
2017,October,25,4.00,2750,3300,3000
2018,May,05,4.00,2800,3200,3000
2017,September,24,4.00,2800,3300,3000
2017,October,31,4.00,2800,3300,3000
2018,January,11,4.00,3000,3300,3200
2016,June,19,4.50,2300,2400,2350
2014,January,17,4.50,2300,2500,2400
2017,January,29,4.50,2300,2600,2350
2016,August,19,4.50,2400,2500,2450
2017,March,10,4.50,2400,2600,2500
2016,August,29,4.50,2450,2600,2500
2016,October,12,4.50,2500,2750,2600
2016,September,23,4.50,2600,2800,2700
2016,November,26,4.50,2600,2800,2700
2016,October,03,4.50,2650,2800,2700
2018,May,16,4.50,2700,3000,2850
2016,June,05,5.00,2150,2350,2200
2016,June,11,5.00,2200,2350,2300
2016,August,10,5.00,2200,2400,2300
2016,July,20,5.00,2200,2400,2350
2017,January,31,5.00,2200,2600,2350
2017,January,06,5.00,2200,2600,2500
2017,January,11,5.00,2200,2600,2500
2016,July,05,5.00,2300,2400,2350
2016,June,20,5.00,2300,2400,2350
2016,July,09,5.00,2350,2450,2400
2017,March,05,5.00,2350,2600,2500
2016,August,20,5.00,2400,2500,2450
2014,December,06,5.00,2400,2600,2500
2016,December,28,5.00,2400,2600,2500
2016,December,31,5.00,2400,2600,2500
2017,March,13,5.00,2450,2600,2500
2017,July,04,5.00,2500,2700,2600
2017,June,09,5.00,2500,2750,2600
2017,May,02,5.00,2550,2700,2600
2017,June,05,5.00,2600,2700,2650
2017,May,21,5.00,2600,2750,2650
2016,October,01,5.00,2600,2750,2700
2017,July,05,5.00,2600,2800,2700
2016,November,07,5.00,2600,2800,2700
2016,November,12,5.00,2600,2800,2700
2016,December,16,5.00,2600,2800,2700
2016,December,26,5.00,2600,2800,2700
2016,December,12,5.00,2600,2900,2750
2017,May,25,5.00,2650,2750,2700
2016,September,19,5.00,2650,2800,2700
2017,July,25,5.00,2650,2800,2700
2016,November,04,5.00,2650,2850,2800
2016,November,17,5.00,2700,2900,2800
2017,August,13,5.00,2700,3000,2800
2018,February,14,5.00,2700,3000,2800
2018,July,09,5.00,2750,3000,2850
2017,December,05,5.00,2800,3200,3000
2017,December,06,5.00,2800,3200,3000
2017,September,15,5.00,2800,3200,3000
2018,April,17,5.00,2800,3200,3000
2017,November,01,5.00,2800,3300,3000
2017,October,11,5.00,2800,3300,3000
2015,November,13,5.50,2150,2250,2200
2016,July,18,5.50,2200,2350,2300
2017,February,03,5.50,2200,2600,2350
2017,January,09,5.50,2200,2600,2400
2014,December,20,5.50,2400,2600,2500
2017,May,19,5.50,2450,2700,2650
2016,December,14,5.50,2600,2800,2700
2016,October,28,5.50,2600,2800,2700
2016,November,23,5.50,2700,2800,2750
2016,November,14,5.50,2700,2900,2800
2016,February,23,6.00,1950,2200,2100
2016,May,02,6.00,2000,2200,2150
2016,February,26,6.00,2000,2200,2150
2016,May,07,6.00,2000,2300,2100
2016,July,17,6.00,2200,2350,2300
2016,August,09,6.00,2200,2400,2300
2016,June,13,6.00,2200,2400,2300
2016,June,22,6.00,2250,2400,2300
2017,January,30,6.00,2250,2500,2350
2017,January,27,6.00,2250,2600,2350
2014,December,29,6.00,2250,2600,2425
2017,January,15,6.00,2250,2700,2400
2017,January,21,6.00,2250,2700,2400
2016,July,04,6.00,2300,2400,2350
2016,July,10,6.00,2350,2450,2400
2016,August,17,6.00,2350,2500,2400
2015,January,25,6.00,2350,2500,2425
2017,February,15,6.00,2400,2600,2500
2017,June,21,6.00,2400,2600,2500
2014,December,24,6.00,2400,2600,2500
2017,June,12,6.00,2450,2650,2550
2016,September,04,6.00,2450,2650,2600
2017,May,03,6.00,2500,2700,2600
2016,September,10,6.00,2500,2700,2600
2017,March,14,6.00,2500,2700,2600
2017,February,25,6.00,2500,2700,2600
2017,February,27,6.00,2500,2700,2600
2017,April,28,6.00,2500,2700,2600
2017,May,05,6.00,2500,2700,2650
2017,June,07,6.00,2500,2700,2650
2017,July,14,6.00,2500,2700,2650
2017,June,25,6.00,2500,2700,2650
2017,June,02,6.00,2500,2750,2600
2017,July,18,6.00,2500,2750,2600
2016,November,10,6.00,2550,2700,2650
2017,May,17,6.00,2550,2700,2650
2017,April,16,6.00,2600,2700,2650
2017,July,16,6.00,2600,2700,2650
2017,June,28,6.00,2600,2700,2650
2016,December,02,6.00,2600,2800,2700
2016,October,02,6.00,2600,2800,2700
2016,December,05,6.00,2600,2800,2700
2017,July,24,6.00,2600,2800,2700
2019,August,29,6.00,2600,2800,2700
2016,November,09,6.00,2600,2800,2750
2016,October,19,6.00,2600,2800,2750
2016,December,11,6.00,2600,2900,2750
2017,September,05,6.00,2700,3000,2800
2017,August,20,6.00,2700,3000,2850
2017,November,02,6.00,2700,3300,3000
2018,June,02,6.00,2750,3200,2850
2017,August,11,6.00,2800,3000,2900
2018,February,05,6.00,2800,3200,3000
2018,April,08,6.00,2800,3200,3000
2017,October,18,6.00,2800,3250,3000
2016,March,30,6.50,2000,2200,2100
2016,July,15,6.50,2200,2400,2300
2017,February,05,6.50,2250,2600,2350
2016,August,22,6.50,2400,2500,2450
2016,August,23,6.50,2400,2500,2450
2014,January,07,6.50,2400,2600,2500
2014,December,21,6.50,2400,2600,2500
2017,February,22,6.50,2450,2700,2500
2016,September,27,6.50,2600,2800,2700
2017,July,26,6.50,2650,2800,2700
2016,October,29,6.50,2650,2800,2700
2015,November,12,6.80,2100,2300,2200
2016,February,21,7.00,2000,2200,2100
2016,March,29,7.00,2000,2200,2100
2016,February,24,7.00,2000,2250,2150
2015,November,28,7.00,2100,2300,2200
2016,June,10,7.00,2200,2300,2250
2015,January,16,7.00,2200,2300,2250
2015,October,28,7.00,2200,2300,2250
2017,February,08,7.00,2200,2500,2350
2015,January,10,7.00,2200,2500,2350
2016,July,16,7.00,2250,2400,2325
2015,January,31,7.00,2250,2400,2325
2015,January,03,7.00,2250,2550,2400
2017,February,01,7.00,2250,2600,2350
2016,July,03,7.00,2300,2400,2350
2017,February,12,7.00,2350,2600,2400
2015,January,24,7.00,2400,2500,2450
2017,March,08,7.00,2400,2600,2500
2014,December,19,7.00,2400,2600,2500
2014,December,22,7.00,2400,2600,2500
2014,March,24,7.00,2400,2600,2500
2014,December,27,7.00,2400,2600,2500
2014,January,27,7.00,2400,2600,2500
2014,December,08,7.00,2400,2700,2550
2017,January,01,7.00,2450,2600,2500
2014,December,12,7.00,2450,2650,2550
2014,January,06,7.00,2500,2600,2550
2014,December,09,7.00,2500,2600,2550
2014,January,03,7.00,2500,2650,2575
2014,December,05,7.00,2500,2700,2600
2016,October,10,7.00,2500,2700,2600
2016,November,11,7.00,2500,2700,2600
2016,December,19,7.00,2500,2700,2600
2017,June,20,7.00,2500,2700,2600
2014,October,28,7.00,2500,2700,2600
2017,June,03,7.00,2600,2700,2650
2017,May,15,7.00,2600,2700,2650
2017,June,30,7.00,2600,2700,2650
2016,October,14,7.00,2600,2800,2700
2017,April,25,7.00,2600,2800,2700
2016,November,27,7.00,2600,2800,2700
2016,October,18,7.00,2600,2800,2750
2016,December,10,7.00,2600,2900,2700
2016,December,09,7.00,2600,2900,2750
2016,November,13,7.00,2700,2800,2750
2018,March,22,7.00,2700,2800,2750
2016,November,19,7.00,2700,2900,2800
2018,April,26,7.00,2750,3000,2800
2018,July,05,7.00,2750,3000,2850
2018,June,21,7.00,2750,3000,2850
2018,February,01,7.00,2750,3050,2850
2017,December,07,7.00,2750,3300,3200
2017,October,06,7.00,2800,3200,3000
2018,April,10,7.00,2800,3200,3000
2017,October,10,7.00,2800,3200,3000
2017,October,04,7.00,2850,3200,3000
2017,September,20,7.00,2850,3300,3000
2016,May,11,7.50,2050,2200,2100
2015,January,06,7.50,2200,2600,2400
2017,February,06,7.50,2250,2600,2350
2017,March,31,7.50,2350,2600,2500
2014,December,23,7.50,2400,2600,2500
2017,June,11,7.50,2450,2600,2500
2017,July,17,7.50,2500,2700,2600
2017,April,30,7.50,2500,2700,2600
2017,June,27,7.50,2500,2700,2650
2017,May,23,7.50,2600,2700,2650
2016,November,01,7.50,2600,2800,2700
2016,September,17,7.50,2600,2800,2700
2016,October,26,7.50,2600,2800,2700
2017,November,30,7.50,2800,3200,2950
2017,September,16,7.50,3000,3300,3200
2016,February,16,8.00,1950,2150,2050
2016,April,17,8.00,2000,2200,2100
2015,November,17,8.00,2000,2200,2100
2016,March,20,8.00,2000,2200,2100
2016,May,25,8.00,2000,2300,2150
2016,May,28,8.00,2000,2300,2150
2016,June,08,8.00,2150,2300,2200
2015,January,14,8.00,2200,2500,2350
2015,January,05,8.00,2250,2600,2425
2014,December,31,8.00,2250,2600,2425
2016,June,27,8.00,2300,2500,2400
2015,January,27,8.00,2400,2600,2500
2016,September,06,8.00,2400,2700,2550
2017,March,15,8.00,2500,2600,2550
2017,April,07,8.00,2500,2700,2600
2016,December,07,8.00,2500,2700,2600
2017,June,19,8.00,2500,2700,2600
2017,May,14,8.00,2500,2700,2650
2017,May,29,8.00,2500,2700,2650
2017,April,23,8.00,2600,2700,2650
2016,November,08,8.00,2600,2800,2700
2014,February,19,8.00,2600,2800,2700
2017,July,23,8.00,2600,2800,2700
2018,June,01,8.00,2700,3050,2850
2017,November,23,8.00,2800,3200,3000
2016,February,03,8.50,1950,2250,2100
2016,May,27,8.50,2100,2300,2200
2016,October,17,8.50,2600,2800,2700
2016,March,18,9.00,1850,2100,1975
2016,March,21,9.00,1950,2150,2000
2016,May,23,9.00,1950,2250,2150
2015,December,20,9.00,2000,2200,2100
2016,February,20,9.00,2000,2200,2100
2016,April,18,9.00,2000,2250,2150
2016,May,06,9.00,2000,2300,2150
2016,May,14,9.00,2000,2300,2200
2015,November,04,9.00,2000,2400,2200
2015,November,07,9.00,2000,2400,2200
2016,May,21,9.00,2050,2300,2150
2016,April,29,9.00,2100,2250,2150
2016,June,01,9.00,2100,2300,2200
2016,May,01,9.00,2100,2300,2200
2016,June,06,9.00,2150,2300,2250
2015,January,17,9.00,2200,2300,2250
2015,October,27,9.00,2200,2300,2250
2015,November,27,9.00,2200,2400,2300
2016,June,14,9.00,2200,2400,2350
2017,January,14,9.00,2200,2600,2400
2016,July,13,9.00,2250,2350,2325
2016,July,02,9.00,2250,2450,2350
2015,January,02,9.00,2250,2550,2400
2017,January,28,9.00,2250,2600,2350
2015,October,13,9.00,2300,2400,2350
2015,October,30,9.00,2300,2400,2350
2016,August,18,9.00,2300,2500,2400
2016,June,29,9.00,2300,2500,2400
2017,January,03,9.00,2300,2600,2400
2017,March,21,9.00,2350,2600,2450
2017,March,06,9.00,2350,2600,2500
2017,March,24,9.00,2350,2600,2500
2017,March,25,9.00,2350,2600,2500
2017,March,27,9.00,2350,2650,2500
2014,January,01,9.00,2400,2600,2500
