year,month,date,arrival,min,max,modal
2014,March,25,2.50,2100,2300,2200
2014,January,03,2.50,2250,2350,2300
2014,March,28,3.00,2100,2300,2200
2014,May,09,3.00,2200,2300,2250
2014,May,11,3.00,2200,2300,2250
2014,January,27,3.00,2200,2400,2300
2014,February,11,3.00,2300,2400,2350
2014,January,17,3.00,2300,2400,2350
2014,January,22,3.00,2300,2400,2350
2014,February,25,3.00,2300,2400,2350
2014,March,24,4.00,2100,2300,2200
2014,March,26,4.00,2100,2300,2200
2014,March,29,4.00,2100,2300,2200
2014,May,10,4.00,2200,2300,2250
2014,March,12,4.00,2200,2300,2250
2014,March,14,4.00,2200,2300,2250
2014,February,05,4.00,2200,2400,2300
2014,February,17,4.00,2200,2400,2300
2014,January,01,4.00,2250,2350,2300
2014,January,04,4.00,2250,2350,2300
2014,January,07,4.00,2250,2350,2300
2014,February,07,4.00,2300,2400,2350
2014,February,12,4.00,2300,2400,2350
2014,January,21,4.00,2300,2400,2350
2014,February,24,4.00,2300,2400,2350
2014,February,26,4.00,2300,2400,2350
2014,February,28,4.00,2300,2400,2350
2014,February,19,4.50,2200,2400,2300
2014,January,28,4.50,2200,2400,2300
2014,January,02,4.50,2250,2350,2300
2014,January,16,4.50,2300,2400,2350
2014,March,27,5.00,2100,2300,2200
2014,March,31,5.00,2100,2300,2200
2014,May,14,5.00,2200,2300,2250
2014,May,18,5.00,2200,2400,2300
2014,February,20,5.00,2200,2400,2300
2014,January,29,5.00,2200,2400,2300
2014,January,06,5.00,2250,2350,2300
2014,January,08,5.00,2250,2350,2300
2014,February,21,5.80,2300,2400,2350
2014,April,01,6.00,2100,2300,2200
2014,April,03,6.00,2150,2300,2225
2014,April,04,6.00,2150,2300,2225
2014,May,03,6.00,2150,2350,2250
2014,February,06,6.00,2200,2300,2250
2014,April,07,6.00,2200,2300,2250
2014,March,11,6.00,2200,2300,2250
2014,May,12,6.00,2200,2300,2250
2014,March,13,6.00,2200,2300,2250
2014,May,19,6.00,2200,2400,2300
2014,April,11,6.00,2250,2300,2275
2014,April,09,6.00,2250,2350,2275
2014,January,09,6.00,2250,2350,2300
2014,March,01,6.50,2300,2400,2350
2014,April,02,7.00,2150,2350,2250
2014,April,08,7.00,2200,2300,2250
2014,May,13,7.00,2200,2300,2250
2014,May,20,7.00,2200,2400,2300
2014,April,10,7.00,2250,2300,2275
2014,July,06,7.50,2000,2300,2150
2014,January,30,7.50,2200,2400,2300
2014,May,02,8.00,2150,2350,2250
2014,May,22,8.00,2200,2400,2300
2014,May,17,9.00,2200,2400,2300
2014,July,07,10.00,2000,2300,2150
2014,July,09,10.00,2000,2300,2150
2014,July,11,10.00,2000,2300,2150
2014,June,30,10.00,2100,2300,2200
2014,June,18,10.00,2150,2300,2225
2014,June,03,10.00,2150,2350,2250
2014,May,07,10.00,2200,2300,2250
2014,June,23,10.00,2200,2300,2250
2014,May,28,10.00,2200,2300,2250
2014,May,16,10.00,2200,2400,2300
2014,May,21,10.00,2200,2400,2300
2014,May,24,10.00,2200,2400,2300
2014,May,08,10.50,2200,2300,2250
2014,July,02,11.00,2100,2300,2200
2014,June,21,11.00,2100,2300,2200
2014,June,29,11.00,2100,2300,2200
2014,July,13,12.00,2000,2300,2150
2014,June,11,12.00,2100,2300,2200
2014,June,22,12.00,2100,2300,2200
2014,June,24,12.00,2100,2300,2200
2014,June,27,12.00,2100,2300,2200
2014,June,17,12.00,2150,2300,2225
2014,July,04,12.00,2150,2350,2225
2014,June,04,12.00,2150,2350,2250
2014,April,29,12.00,2150,2350,2250
2014,May,27,12.00,2200,2300,2250
2014,May,29,12.00,2200,2300,2250
2014,May,31,12.00,2200,2300,2250
2014,May,23,12.00,2200,2400,2300
2014,May,25,12.00,2200,2400,2300
2014,July,08,12.50,2000,2300,2150
2014,July,03,12.50,2150,2350,2250
2014,July,05,13.00,2150,2300,2225
2014,July,16,13.00,2200,2300,2250
2014,July,10,14.00,2000,2300,2150
2014,July,01,14.00,2100,2300,2200
2014,June,10,14.00,2100,2300,2200
2014,June,13,14.00,2100,2300,2200
2014,June,25,14.00,2100,2300,2200
2014,June,19,14.00,2150,2350,2225
2014,June,05,14.00,2150,2350,2250
2014,June,06,14.00,2150,2350,2250
2014,June,01,14.00,2200,2300,2250
2014,May,30,14.00,2200,2300,2250
2014,May,26,14.00,2200,2400,2300
2014,June,26,15.00,2100,2300,2200
2014,June,16,15.00,2150,2300,2225
2014,June,02,15.00,2200,2300,2250
2014,June,20,16.00,2200,2300,2250
