year,month,date,arrival,min,max,modal
2015,August,07,1.00,1450,1500,1475
2014,December,22,1.00,1475,1525,1500
2015,January,01,1.00,1500,1550,1525
2015,January,04,1.00,1500,1550,1525
2015,January,06,1.00,1500,1550,1525
2015,September,08,1.00,1500,1550,1525
2015,July,10,1.00,1500,1550,1525
2015,July,01,1.00,1500,1600,1550
2014,July,02,1.00,1500,1600,1550
2014,December,06,1.00,1500,1600,1550
2014,July,08,1.00,1500,1600,1550
2014,July,09,1.00,1500,1600,1550
2015,January,14,1.00,1500,1600,1550
2015,September,24,1.00,1500,1600,1550
2015,November,11,1.00,1500,1700,1600
2014,July,06,1.00,1550,1600,1575
2014,October,17,1.00,1550,1600,1575
2015,June,10,1.00,1550,1650,1600
2015,June,17,1.00,1550,1650,1600
2015,June,22,1.00,1550,1650,1600
2015,December,19,1.00,1600,1700,1650
2015,December,28,1.00,1600,1700,1650
2014,March,24,1.50,1350,1400,1375
2015,August,06,1.50,1450,1500,1475
2015,April,15,1.50,1450,1525,1500
2014,December,12,1.50,1475,1525,1500
2014,December,20,1.50,1475,1525,1500
2015,January,03,1.50,1500,1550,1525
2015,October,08,1.50,1500,1550,1525
2015,October,10,1.50,1500,1550,1525
2015,September,10,1.50,1500,1550,1525
2014,December,31,1.50,1500,1550,1525
2015,February,03,1.50,1500,1600,1550
2015,February,04,1.50,1500,1600,1550
2015,May,05,1.50,1500,1600,1550
2015,May,06,1.50,1500,1600,1550
2015,January,07,1.50,1500,1600,1550
2014,July,07,1.50,1500,1600,1550
2015,May,13,1.50,1500,1600,1550
2014,July,16,1.50,1500,1600,1550
2015,January,19,1.50,1500,1600,1550
2015,May,25,1.50,1500,1600,1550
2015,May,26,1.50,1500,1600,1550
2015,May,27,1.50,1500,1600,1550
2014,July,04,1.50,1550,1600,1575
2014,August,06,1.50,1550,1600,1575
2015,June,25,1.50,1550,1600,1575
2016,May,01,1.50,1550,1650,1600
2016,April,23,1.50,1550,1650,1600
2015,May,31,1.50,1550,1650,1600
2014,October,30,1.50,1575,1625,1600
2014,July,28,1.50,1580,1600,1590
2015,June,07,1.50,1600,1650,1625
2015,June,08,1.50,1600,1650,1625
2015,June,09,1.50,1600,1650,1625
2016,April,19,1.50,1600,1650,1625
2014,October,26,1.50,1600,1650,1625
2015,October,29,1.50,1600,1650,1625
2016,May,04,1.50,1600,1700,1650
2015,December,11,1.50,1600,1700,1650
2016,January,13,1.50,1600,1700,1650
2015,December,18,1.50,1600,1700,1650
2015,December,21,1.50,1600,1700,1650
2016,July,21,1.50,1600,1700,1650
2016,April,26,1.50,1600,1700,1650
2016,May,26,1.50,1600,1700,1650
2015,November,28,1.50,1600,1700,1650
2015,December,29,1.50,1600,1700,1650
2015,November,29,1.50,1600,1700,1650
2015,November,30,1.50,1600,1700,1650
2016,April,29,1.50,1650,1700,1675
2016,June,06,1.50,1650,1750,1700
2016,May,31,1.50,1675,1725,1700
2014,March,28,2.00,1350,1400,1375
2014,March,25,2.00,1350,1420,1385
2014,April,04,2.00,1375,1425,1400
2014,April,07,2.00,1375,1425,1400
2014,April,02,2.00,1400,1450,1425
2014,April,09,2.00,1400,1450,1425
2014,March,31,2.00,1400,1450,1425
2015,March,24,2.00,1400,1500,1450
2015,April,12,2.00,1450,1500,1475
2015,March,17,2.00,1450,1500,1475
2014,December,19,2.00,1450,1500,1475
2015,October,01,2.00,1450,1550,1500
2015,March,16,2.00,1450,1550,1500
