year,month,date,arrival,min,max,modal
2014,March,28,5.00,4000,4300,4150
2014,April,01,5.50,4000,4400,4200
2014,April,04,5.50,4000,4500,4250
2014,April,08,5.50,4000,4600,4300
2014,July,06,5.50,4600,5000,4800
2014,March,29,6.00,4000,4300,4150
2014,March,11,6.00,4200,4400,4300
2014,May,16,6.00,5000,5500,5250
2014,April,07,6.50,4000,4600,4300
2014,April,09,6.50,4000,4600,4300
2014,June,11,6.50,4400,4600,4500
2014,March,27,7.00,4000,4200,4100
2014,April,02,7.00,4000,4400,4200
2014,March,31,7.00,4000,4400,4200
2014,March,14,7.00,4200,4400,4300
2014,April,11,7.00,4200,4500,4350
2014,March,12,7.00,4200,4500,4350
2014,May,18,7.00,5200,5600,5400
2014,May,19,7.00,5200,5600,5400
2014,July,07,8.00,4600,5000,4800
2014,July,08,8.00,4600,5000,4800
2014,May,07,8.00,5000,5500,5250
2014,May,20,8.00,5400,5600,5500
2014,May,21,8.00,5400,5600,5500
2014,April,10,8.50,4200,4500,4350
2014,July,04,8.50,4500,5000,4750
2014,May,03,8.50,5000,5400,5200
2014,June,25,9.00,4200,4600,4400
2014,June,30,9.00,4500,5000,4750
2014,May,02,9.00,5000,5400,5200
2014,May,15,9.00,5000,5500,5250
2014,June,29,9.50,4500,5000,4750
2014,May,31,9.50,5000,5600,5300
2014,April,03,10.00,4000,4500,4250
2014,March,13,10.00,4300,4500,4400
2014,June,17,10.00,4500,4700,4600
2014,July,05,10.00,4500,5000,4750
2014,April,29,10.00,4800,5200,5000
2014,May,17,10.00,5000,5500,5250
2014,May,23,10.00,5200,5400,5300
2014,May,25,10.00,5200,5600,5400
2014,June,26,11.00,4200,4600,4400
2014,June,24,11.00,4200,4800,4500
2014,June,27,11.00,4400,4600,4500
2014,June,18,11.00,4500,4700,4600
2014,May,26,11.00,5200,5500,5350
2014,May,27,11.00,5200,5500,5350
2014,June,19,12.00,4200,4800,4500
2014,June,20,12.00,4200,4800,4500
2014,May,12,12.00,5000,5500,5250
2014,May,30,12.00,5000,5500,5250
2014,May,13,13.00,5000,5600,5300
2014,May,08,13.50,5200,5700,5450
2014,June,13,17.00,4400,4800,4600
2014,June,16,18.00,4400,4600,4500
2018,June,11,30.00,5500,6500,6000
2018,June,21,30.00,5500,6500,6000
2014,January,07,2.50,5800,6400,6100
2014,January,03,2.50,5800,6600,6200
2014,January,27,2.50,6000,6400,6200
2014,January,17,2.50,6000,6600,6300
2014,January,04,3.00,5800,6400,6100
2014,January,02,3.00,5800,6600,6200
2014,February,12,3.00,5800,6600,6200
2014,January,21,3.00,6000,6600,6300
2014,January,22,3.00,6000,6600,6300
2014,February,24,3.00,6000,6600,6300
2014,February,25,3.00,6000,6600,6300
2014,January,28,3.00,6000,6600,6300
2014,January,30,3.00,6000,6600,6300
2014,May,10,3.00,6000,7000,6500
2014,February,17,3.00,6200,6600,6400
2014,January,01,3.50,5800,6600,6200
2014,February,11,3.50,5800,6600,6200
2014,January,06,3.50,5900,6500,6200
2014,January,16,3.50,6000,6600,6300
2014,May,09,3.50,6000,7000,6500
2014,May,11,3.50,6000,7000,6500
2014,February,26,3.50,6000,7000,6500
2014,February,28,3.80,6000,7000,6500
2014,January,08,4.00,5800,6500,6150
2014,February,05,4.00,6000,6600,6300
2014,January,29,4.00,6000,6600,6300
2014,February,19,4.00,6000,6800,6400
2014,May,28,4.00,6000,6800,6400
2014,February,07,4.00,6000,7000,6500
2014,June,21,4.00,6000,7000,6500
2014,June,22,4.00,6000,7000,6500
2014,January,09,4.50,5800,6600,6200
2014,February,20,4.50,6000,6800,6400
2014,March,28,5.00,5600,6600,6100
2014,July,02,5.00,5800,7000,6400
2014,June,10,5.00,5800,7000,6400
2014,July,09,5.00,6000,6500,6250
2014,February,06,5.00,6000,6600,6300
2014,February,21,5.00,6000,6800,6400
2014,June,03,5.00,6000,7000,6500
2014,June,06,5.00,6000,7000,6500
2014,July,11,5.00,6000,7000,6500
2014,May,14,5.00,6000,7000,6500
2014,May,24,5.00,6000,7000,6500
2014,April,04,5.50,5800,6500,6150
2014,April,08,5.50,5800,6500,6150
2014,July,06,5.50,6000,6500,6250
2014,April,01,5.50,6000,6800,6400
2014,March,29,6.00,5600,6800,6200
2014,March,11,6.00,5800,6600,6200
2014,July,10,6.00,6000,6500,6250
2014,May,29,6.00,6000,6800,6400
2014,July,01,6.00,6000,7000,6500
2014,June,01,6.00,6000,7000,6500
2014,June,04,6.00,6000,7000,6500
2014,May,16,6.00,6000,7000,6500
2014,April,07,6.50,5800,6500,6150
2014,April,09,6.50,5800,6600,6200
2014,June,11,6.50,5800,7000,6400
2014,June,05,6.50,6000,7000,6500
2014,March,27,7.00,5600,6600,6100
2014,March,31,7.00,5600,6800,6200
2014,March,12,7.00,5800,6600,6200
2014,March,14,7.00,5800,6600,6200
2014,April,11,7.00,6000,6600,6300
2014,April,02,7.00,6000,6800,6400
2014,March,01,7.00,6000,7000,6500
2014,June,02,7.00,6000,7000,6500
2014,May,18,7.00,6000,7000,6500
2014,May,19,7.00,6000,7000,6500
2014,May,22,7.00,6000,7000,6500
2014,July,03,8.00,5800,7000,6400
2014,July,07,8.00,6000,6500,6250
2014,July,08,8.00,6000,6500,6250
2014,May,07,8.00,6000,7000,6500
2014,May,20,8.00,6000,7000,6500
2014,May,21,8.00,6000,7000,6500
2014,June,23,8.00,6000,7000,6500
2014,April,10,8.50,6000,6600,6300
2014,May,03,8.50,6000,7000,6500
2014,July,04,8.50,6000,7000,6500
2014,May,02,9.00,6000,7000,6500
2014,May,15,9.00,6000,7000,6500
2014,June,25,9.00,6000,7000,6500
2014,June,30,9.00,6000,7000,6500
2014,June,29,9.50,6000,7000,6500
2014,May,31,9.50,6000,7000,6500
2014,April,03,10.00,5800,6500,6150
2014,March,13,10.00,5800,6600,6200
2014,June,17,10.00,5800,7000,6400
2014,May,25,10.00,6000,6600,6300
2014,July,05,10.00,6000,7000,6500
2014,May,17,10.00,6000,7000,6500
2014,May,23,10.00,6000,7000,6500
2014,April,29,10.00,6000,7000,6500
2014,June,18,11.00,6000,7000,6500
2014,June,24,11.00,6000,7000,6500
2014,June,26,11.00,6000,7000,6500
2014,May,26,11.00,6000,7000,6500
2014,June,27,11.00,6000,7000,6500
2014,May,27,11.00,6000,7000,6500
2014,May,30,12.00,6000,6800,6400
2014,May,12,12.00,6000,7000,6500
2014,June,19,12.00,6000,7000,6500
2014,June,20,12.00,6000,7000,6500
2014,May,13,13.00,6000,7000,6500
2014,May,08,13.50,6000,7000,6500
2014,June,13,17.00,5800,7000,6400
2014,June,16,18.00,5800,7000,6400
