year,month,date,arrival,min,max,modal
2017,August,30,1.50,6500,7000,6700
2017,October,03,1.50,6500,7500,7000
2017,September,12,1.50,6500,7500,7000
2017,October,11,1.50,6600,7500,7000
2017,November,23,2.00,6000,7000,6500
2017,December,07,2.00,6500,7000,6600
2017,October,05,2.00,6500,7000,6800
2017,October,04,2.00,6500,7500,7000
2018,February,20,2.00,6500,7500,7000
2017,September,20,2.00,6500,7500,7000
2017,September,21,2.00,6500,7500,7000
2017,September,24,2.00,6500,7500,7000
2018,May,28,2.00,6500,7500,7000
2018,February,07,2.00,7000,7500,7250
2017,August,10,2.50,6500,7000,6800
2017,September,18,2.50,6500,7250,7000
2018,June,11,2.50,6500,7500,7000
2018,February,01,3.00,6500,7200,7000
2018,May,17,3.00,6500,7500,7000
2018,July,05,3.00,7000,7500,7250
2018,April,12,3.00,7000,7500,7250
2018,April,05,3.00,7000,7600,7250
2018,May,31,3.50,6500,7250,7000
2018,May,24,4.00,6500,7250,7000
2018,June,07,4.50,6500,7250,7000
2014,March,29,1.50,7600,8500,8050
2014,January,06,1.50,7800,8200,8000
2014,January,17,1.50,8000,8400,8200
2014,March,25,1.50,8000,8600,8300
2014,March,14,1.50,8000,9000,8500
2014,April,01,2.00,7500,8500,8000
2014,April,04,2.00,7600,8500,8050
2014,April,08,2.00,7600,8500,8050
2014,March,31,2.00,7600,8500,8050
2014,January,03,2.00,7800,8200,8000
2014,January,07,2.00,7800,8200,8000
2014,March,28,2.00,7800,8400,8100
2014,January,21,2.00,8000,8400,8200
2014,January,27,2.00,8000,8400,8200
2014,February,12,2.00,8000,8500,8250
2014,March,24,2.00,8000,8600,8300
2014,March,26,2.00,8000,8600,8300
2014,March,12,2.00,8000,9000,8500
2014,March,13,2.00,8000,9000,8500
2014,February,24,2.00,8500,9000,8750
2014,February,26,2.00,8500,9000,8750
2014,May,16,2.00,8500,9600,9050
2014,May,18,2.00,9000,10000,9500
2014,May,19,2.00,9000,10000,9500
2014,April,07,2.50,7600,8500,8050
2014,April,09,2.50,7600,8500,8050
2014,January,02,2.50,7800,8200,8000
2014,January,04,2.50,7800,8200,8000
2014,April,11,2.50,7800,8800,8300
2014,January,16,2.50,8000,8400,8200
2014,January,22,2.50,8000,8400,8200
2014,January,28,2.50,8000,8400,8200
2014,February,07,2.50,8000,8500,8250
2014,May,07,2.50,8000,9000,8500
2014,May,09,2.50,8000,9000,8500
2014,May,10,2.50,8000,9000,8500
2014,March,11,2.50,8000,9000,8500
2014,May,11,2.50,8000,9000,8500
2014,February,20,2.50,8500,8850,8675
2014,February,17,2.50,8500,9000,8750
2014,February,25,2.50,8500,9000,8750
2014,June,21,2.50,9600,10000,9800
2014,February,28,2.60,8000,9000,8500
2014,April,02,3.00,7500,8500,8000
2014,April,03,3.00,7600,8500,8050
2014,April,10,3.00,7600,8500,8050
2014,January,01,3.00,7800,8200,8000
2014,January,08,3.00,7800,8400,8100
2014,January,09,3.00,7800,8400,8100
2014,March,27,3.00,7800,8400,8100
2014,February,05,3.00,8000,8400,8200
2014,February,11,3.00,8000,8500,8250
2014,January,29,3.00,8000,8500,8250
2014,March,01,3.00,8000,9000,8500
2014,April,29,3.00,8000,9000,8500
2014,February,21,3.00,8500,8850,8675
2014,February,19,3.00,8500,8900,8700
2014,May,17,3.00,8500,9600,9050
2014,May,14,3.00,8500,9800,9150
2014,May,21,3.00,9000,10000,9500
2014,May,25,3.00,9500,10000,9750
2014,May,28,3.00,9500,10000,9750
2014,July,06,3.00,9600,10000,9800
2014,July,11,3.00,9600,10000,9800
2014,June,11,3.00,9600,10000,9800
2014,June,22,3.00,9600,10000,9800
2014,February,06,3.50,8000,8500,8250
2014,January,30,3.50,8000,8500,8250
2014,May,15,3.50,8500,9600,9050
2014,May,02,4.00,8000,9000,8500
2014,May,12,4.00,8500,9800,9150
2014,May,13,4.00,8500,9800,9150
2014,May,20,4.00,9000,10000,9500
2014,May,23,4.00,9000,10000,9500
2014,May,24,4.00,9000,10000,9500
2014,May,29,4.00,9500,10000,9750
2014,May,31,4.00,9500,10000,9750
2014,July,01,4.00,9600,10000,9800
2014,June,03,4.00,9600,10000,9800
2014,July,07,4.00,9600,10000,9800
2014,July,09,4.00,9600,10000,9800
2014,July,10,4.00,9600,10000,9800
2014,June,24,4.00,9600,10000,9800
2014,June,26,4.00,9600,10000,9800
2014,June,30,4.00,9600,10000,9800
2014,May,03,4.50,8500,9500,9000
2014,May,26,4.50,9500,10000,9750
2014,July,02,4.50,9600,10000,9800
2014,July,04,4.50,9600,10000,9800
2014,June,10,4.50,9600,10000,9800
2014,June,18,4.50,9700,10000,9850
2014,July,05,5.00,9500,10000,9750
2014,May,27,5.00,9500,10000,9750
2014,June,29,5.00,9500,10000,9750
2014,May,30,5.00,9500,10000,9750
2014,June,01,5.00,9600,10000,9800
2014,June,04,5.00,9600,10000,9800
2014,July,08,5.00,9600,10000,9800
2014,June,23,5.00,9600,10000,9800
2014,June,25,5.00,9600,10000,9800
2014,June,17,5.00,9700,10000,9850
2014,June,05,5.50,9600,10000,9800
2014,May,08,6.00,8000,9000,8500
2014,May,22,6.00,9000,10000,9500
2014,July,03,6.00,9500,10000,9750
2014,June,02,6.00,9600,10000,9800
2014,June,06,6.00,9600,10000,9800
2014,June,19,6.00,9600,10000,9800
2014,June,20,6.00,9600,10000,9800
2014,June,27,6.00,9600,10000,9800
2014,June,13,6.00,9700,10000,9850
2014,June,16,7.00,9700,10000,9850
