year,month,date,arrival,min,max,modal
2018,June,11,2.00,1400,1600,1500
2018,June,01,3.00,1300,1400,1350
2018,June,06,3.00,1300,1400,1350
2018,June,21,5.00,1400,1500,1450
2018,May,24,6.00,1200,1400,1300
2018,July,12,6.00,2400,2600,2500
2019,August,29,6.00,2800,3100,3000
2018,May,17,7.00,1300,1400,1350
2018,June,07,7.00,1400,1600,1500
2018,May,31,7.50,1350,1450,1400
2017,February,20,1.00,1200,1400,1300
2014,February,25,1.00,1400,1600,1500
2014,February,19,1.00,1500,1600,1550
2015,April,15,1.00,1600,1800,1700
2014,January,06,1.20,2000,2200,2100
2017,April,11,1.50,1000,1125,1050
2017,February,26,1.50,1150,1300,1200
2017,February,05,1.50,1200,1300,1250
2017,March,20,1.50,1200,1300,1250
2017,February,24,1.50,1200,1300,1250
2017,February,17,1.50,1200,1350,1300
2017,February,18,1.50,1200,1350,1300
2016,December,19,1.50,1250,1350,1300
2016,November,06,1.50,1300,1400,1350
2016,May,08,1.50,1300,1400,1350
2016,September,11,1.50,1300,1400,1350
2016,November,13,1.50,1300,1400,1350
2016,December,21,1.50,1300,1400,1350
2017,February,21,1.50,1300,1400,1350
2016,August,22,1.50,1300,1400,1350
2016,November,22,1.50,1300,1400,1350
2016,August,17,1.50,1300,1450,1400
2016,August,23,1.50,1300,1450,1400
2016,August,06,1.50,1300,1500,1400
2017,January,30,1.50,1300,1500,1400
2017,May,31,1.50,1350,1500,1400
2016,November,28,1.50,1400,1450,1425
2016,September,19,1.50,1400,1500,1450
2016,December,27,1.50,1400,1500,1450
2016,August,30,1.50,1400,1500,1450
2016,June,12,1.50,1400,1600,1500
2014,February,24,1.50,1400,1600,1500
2014,January,28,1.50,1400,1700,1550
2016,July,16,1.50,1450,1600,1500
2016,July,02,1.50,1500,1600,1550
2014,February,26,1.50,1500,1600,1550
2016,June,21,1.50,1500,1700,1600
2017,January,22,1.50,1500,1700,1600
2017,January,25,1.50,1600,1700,1650
2017,January,24,1.50,1600,1750,1700
2016,December,06,1.50,1600,1900,1700
2016,December,05,1.50,1700,1900,1800
2014,January,07,1.50,1950,2150,2050
2017,August,07,1.50,2000,2100,2050
2014,January,17,1.50,2000,2200,2100
2015,April,21,1.50,2200,2400,2300
2014,January,01,1.50,2200,2500,2350
2015,July,03,1.50,2400,2600,2500
2015,July,13,1.50,2500,2700,2600
2017,April,08,2.00,950,1100,1000
2017,April,09,2.00,1000,1100,1050
2017,April,15,2.00,1000,1150,1100
2017,March,31,2.00,1000,1200,1100
2017,April,05,2.00,1050,1200,1100
2017,April,02,2.00,1100,1200,1150
2017,April,24,2.00,1100,1200,1150
2017,March,10,2.00,1100,1250,1200
2017,February,03,2.00,1100,1300,1200
2017,March,04,2.00,1150,1300,1200
2017,May,02,2.00,1200,1300,1250
2017,May,03,2.00,1200,1300,1250
2017,March,06,2.00,1200,1300,1250
2017,February,25,2.00,1200,1300,1250
2017,February,27,2.00,1200,1300,1250
2017,February,28,2.00,1200,1300,1250
2017,February,04,2.00,1200,1350,1300
2017,February,07,2.00,1200,1350,1300
2017,February,06,2.00,1200,1400,1300
2016,November,18,2.00,1200,1400,1300
2017,June,05,2.00,1250,1350,1300
2016,November,11,2.00,1250,1350,1300
2017,February,19,2.00,1250,1400,1300
2016,November,05,2.00,1300,1380,1350
2017,May,14,2.00,1300,1400,1325
2016,November,07,2.00,1300,1400,1350
2017,June,09,2.00,1300,1400,1350
2016,May,09,2.00,1300,1400,1350
2016,November,12,2.00,1300,1400,1350
2016,November,15,2.00,1300,1400,1350
2016,August,19,2.00,1300,1400,1350
2016,November,19,2.00,1300,1400,1350
2016,December,20,2.00,1300,1400,1350
2016,November,23,2.00,1300,1400,1350
2017,July,26,2.00,1300,1400,1350
2016,October,28,2.00,1300,1400,1350
2017,July,17,2.00,1300,1450,1400
2016,December,23,2.00,1300,1450,1400
2016,October,22,2.00,1300,1500,1350
2016,July,05,2.00,1300,1500,1400
2017,January,10,2.00,1300,1500,1400
2016,December,13,2.00,1300,1500,1400
2016,June,24,2.00,1300,1500,1400
2016,October,24,2.00,1300,1500,1400
2017,May,30,2.00,1300,1500,1400
2016,November,25,2.00,1300,1500,1450
2016,November,21,2.00,1325,1400,1350
2017,June,13,2.00,1350,1450,1400
2016,May,13,2.00,1350,1450,1400
2016,October,18,2.00,1350,1450,1400
2016,October,29,2.00,1350,1450,1400
2017,February,01,2.00,1350,1500,1400
2016,November,26,2.00,1350,1500,1400
2016,October,31,2.00,1350,1500,1400
2016,May,11,2.00,1400,1450,1425
2016,October,03,2.00,1400,1500,1450
