year,month,date,arrival,min,max,modal
2015,April,01,0.50,600,700,650
2017,February,24,2.00,380,450,400
2017,January,23,2.00,600,700,650
2017,January,30,2.00,600,700,690
2017,January,08,2.00,700,800,750
2017,November,15,2.00,800,900,825
2017,September,03,2.00,1000,1100,1050
2014,January,17,2.00,1100,1300,1200
2017,November,07,2.00,1250,1400,1300
2016,November,28,2.00,1300,1400,1350
2016,November,22,2.00,1350,1450,1400
2016,November,13,2.00,1400,1500,1450
2016,June,12,2.00,1600,1700,1650
2016,July,16,2.00,1900,2000,1950
2016,July,19,2.00,1950,2050,2000
2017,March,13,2.50,400,520,500
2017,April,02,2.50,450,500,475
2017,March,26,2.50,450,500,475
2017,April,16,2.50,450,550,500
2017,February,04,2.50,450,650,550
2017,February,05,2.50,500,550,525
2017,February,20,2.50,500,600,550
2017,February,21,2.50,500,600,550
2014,February,19,2.50,500,700,600
2017,January,25,2.50,600,700,650
2017,January,15,2.50,700,750,725
2015,July,03,2.50,700,800,750
2015,July,13,2.50,700,800,750
2016,February,16,2.50,700,800,750
2014,February,25,2.50,700,800,750
2016,December,31,2.50,700,850,800
2016,December,27,2.50,750,850,800
2017,October,21,2.50,800,850,820
2017,October,03,2.50,800,850,825
2017,November,14,2.50,800,900,820
2016,January,09,2.50,800,900,850
2017,September,20,2.50,800,950,900
2015,August,18,2.50,900,1000,950
2017,November,10,2.50,900,1100,1000
2014,January,28,2.50,900,1100,1000
2015,October,16,2.50,925,1025,975
2017,August,29,2.50,1000,1100,1050
2016,December,20,2.50,1000,1150,1100
2016,March,09,2.50,1000,1175,1100
2016,December,06,2.50,1000,1200,1100
2017,August,07,2.50,1000,1200,1100
2015,November,15,2.50,1100,1200,1150
2015,November,16,2.50,1100,1200,1150
2016,March,14,2.50,1150,1250,1200
2015,November,25,2.50,1150,1250,1200
2016,May,08,2.50,1200,1300,1250
2015,November,28,2.50,1200,1300,1250
2017,November,05,2.50,1200,1400,1300
2014,January,06,2.50,1400,1500,1450
2016,November,19,2.50,1400,1500,1450
2016,November,21,2.50,1400,1500,1450
2014,January,03,2.50,1400,1600,1500
2016,October,31,2.50,1450,1600,1550
2016,August,30,2.50,1800,1900,1850
2016,August,22,2.50,1800,2000,1900
2016,July,30,2.50,1850,2000,1900
2016,July,13,2.50,1900,1950,1925
2016,July,05,2.50,1900,2000,1950
2016,July,17,2.50,1900,2100,2000
2016,June,21,2.50,1900,2100,2000
2016,July,20,2.50,1950,2050,2000
2016,July,02,2.50,2000,2200,2100
2017,April,01,3.00,400,500,450
2017,April,08,3.00,400,500,450
2015,May,30,3.00,400,500,450
2017,March,15,3.00,400,525,500
2017,April,15,3.00,400,550,450
2017,March,03,3.00,450,500,475
2017,February,17,3.00,450,500,475
2017,April,07,3.00,450,525,500
2017,April,18,3.00,450,550,500
2017,January,20,3.00,450,600,500
2017,March,27,3.00,480,520,500
2017,February,25,3.00,500,550,520
2017,February,27,3.00,500,550,520
2017,March,06,3.00,500,550,525
2017,February,26,3.00,500,575,550
2017,June,05,3.00,500,600,550
2017,February,07,3.00,500,600,550
2017,February,19,3.00,500,600,550
2017,February,22,3.00,500,600,550
2015,April,21,3.00,500,650,600
2015,March,15,3.00,500,700,600
2014,February,17,3.00,500,700,600
2017,January,21,3.00,500,700,600
2017,May,30,3.00,550,625,600
2017,February,06,3.00,550,650,600
2017,April,24,3.00,550,700,600
2017,January,27,3.00,550,700,600
2015,April,15,3.00,600,650,625
2017,February,01,3.00,600,700,650
2015,April,04,3.00,600,700,650
2016,February,07,3.00,600,700,650
2017,January,24,3.00,600,700,650
2017,January,29,3.00,600,700,675
2015,April,08,3.00,600,750,675
2016,February,21,3.00,600,750,700
2016,February,10,3.00,700,750,725
2014,February,05,3.00,700,800,750
2015,July,05,3.00,700,800,750
2015,July,06,3.00,700,800,750
2017,January,09,3.00,700,800,750
2014,February,11,3.00,700,800,750
2016,January,23,3.00,700,800,750
2014,February,24,3.00,700,800,750
2016,December,30,3.00,700,800,750
2015,July,01,3.00,700,900,800
2016,February,26,3.00,700,900,800
2014,February,26,3.00,750,800,775
2016,January,01,3.00,750,850,800
2015,July,14,3.00,750,850,800
2016,December,17,3.00,750,900,800
2016,December,28,3.00,750,900,800
2017,October,06,3.00,790,825,800
2017,October,17,3.00,800,840,820
2017,October,04,3.00,800,850,820
2017,October,22,3.00,800,850,820
2015,August,10,3.00,800,900,850
2017,November,20,3.00,800,900,850
2017,November,26,3.00,800,900,850
2015,June,30,3.00,800,900,850
2015,August,09,3.00,800,1000,900
2017,July,17,3.00,850,925,900
2017,August,02,3.00,850,950,900
2015,November,01,3.00,900,950,925
2015,September,07,3.00,900,950,925
2015,October,12,3.00,900,950,925
2017,July,25,3.00,900,950,925
2015,August,01,3.00,900,1000,950
2017,August,04,3.00,900,1000,950
2017,September,16,3.00,900,1000,950
2015,August,19,3.00,900,1000,950
2015,September,22,3.00,900,1000,950
2014,January,29,3.00,900,1000,950
2015,October,30,3.00,900,1000,950
2014,January,27,3.00,900,1050,975
2016,December,07,3.00,900,1050,1000
2015,August,04,3.00,900,1100,1000
2017,July,11,3.00,900,1100,1000
2015,October,17,3.00,925,975,950
2015,November,03,3.00,950,1000,975
2015,September,23,3.00,950,1000,975
2016,December,19,3.00,950,1050,1000
2015,September,08,3.00,950,1100,1000
2015,September,18,3.00,950,1100,1050
2017,November,01,3.00,975,1025,1000
2015,August,28,3.00,1000,1050,1025
2017,October,31,3.00,1000,1050,1025
2016,March,07,3.00,1000,1100,1050
2015,November,07,3.00,1000,1100,1050
2017,August,08,3.00,1000,1150,1100
2016,December,21,3.00,1000,1150,1100
2017,August,06,3.00,1000,1200,1100
2014,January,21,3.00,1000,1200,1100
2014,January,22,3.00,1000,1200,1100
2015,November,14,3.00,1100,1150,1125
2016,December,02,3.00,1100,1200,1150
2016,March,15,3.00,1100,1250,1200
2015,December,02,3.00,1150,1250,1200
2016,December,05,3.00,1150,1250,1200
2016,March,13,3.00,1150,1250,1200
2016,April,18,3.00,1150,1250,1200
2015,November,23,3.00,1150,1250,1200
2016,March,21,3.00,1180,1250,1200
2016,May,02,3.00,1200,1250,1225
2015,December,06,3.00,1200,1300,1250
2016,May,11,3.00,1200,1300,1250
2015,November,29,3.00,1200,1300,1250
2015,December,12,3.00,1200,1325,1250
2015,December,13,3.00,1200,1325,1250
2016,November,29,3.00,1200,1325,1300
2017,November,03,3.00,1200,1400,1300
2015,December,27,3.00,1250,1350,1300
2016,November,26,3.00,1300,1400,1350
2016,November,27,3.00,1300,1400,1350
2016,November,18,3.00,1350,1500,1400
2016,November,06,3.00,1400,1500,1450
2014,January,07,3.00,1400,1500,1450
2016,November,20,3.00,1400,1500,1450
2014,January,01,3.00,1400,1600,1500
2016,October,14,3.00,1450,1550,1500
2015,December,20,3.00,1450,1550,1500
2016,October,19,3.00,1500,1550,1525
2016,September,19,3.00,1500,1550,1525
2016,November,01,3.00,1500,1600,1550
2016,October,01,3.00,1500,1600,1550
2016,May,28,3.00,1500,1600,1550
2016,October,28,3.00,1500,1600,1550
2016,October,29,3.00,1500,1600,1550
2016,June,05,3.00,1500,1700,1600
2016,October,03,3.00,1550,1600,1580
2016,June,10,3.00,1600,1700,1650
2016,June,14,3.00,1600,1700,1650
2016,October,24,3.00,1600,1800,1700
2016,August,06,3.00,1750,1850,1800
2016,September,03,3.00,1750,1900,1800
2016,August,08,3.00,1800,1900,1850
2016,August,16,3.00,1800,1900,1850
2016,August,17,3.00,1800,1900,1850
2016,August,23,3.00,1800,1900,1850
2016,August,01,3.00,1800,1950,1900
2016,June,19,3.00,1800,2000,1900
2016,August,20,3.00,1800,2000,1900
2016,July,29,3.00,1800,2000,1900
2016,July,12,3.00,1850,1950,1900
2016,August,28,3.00,1850,2000,1900
2016,July,15,3.00,1900,2000,1950
2016,August,05,3.00,1900,2100,2000
2016,July,09,3.00,1900,2100,2000
2016,July,10,3.00,1900,2100,2000
2016,June,20,3.00,1900,2100,2000
2016,June,22,3.00,1900,2100,2000
2016,June,29,3.00,1900,2100,2000
2016,June,24,3.00,1950,2100,2000
2016,July,01,3.00,2000,2200,2100
2016,March,18,3.40,1100,1200,1150
2017,March,31,3.50,350,500,400
2017,March,04,3.50,400,500,450
2017,April,05,3.50,400,500,450
2017,March,10,3.50,400,550,450
2017,March,20,3.50,450,500,475
2017,March,25,3.50,450,500,475
2017,February,28,3.50,450,550,500
2017,February,03,3.50,500,600,550
2017,April,25,3.50,550,700,600
2017,June,09,3.50,550,750,650
2017,May,03,3.50,600,700,650
2017,January,31,3.50,600,700,650
2017,May,05,3.50,625,700,650
2017,January,16,3.50,650,750,700
2017,January,18,3.50,650,750,700
2017,January,06,3.50,700,800,750
2016,February,15,3.50,720,760,740
2017,October,11,3.50,775,850,800
2017,October,08,3.50,790,825,800
2017,October,02,3.50,800,850,825
2017,October,16,3.50,800,850,825
2017,November,28,3.50,800,900,825
2016,January,02,3.50,800,900,850
2016,January,16,3.50,800,900,850
2017,October,27,3.50,800,900,850
2017,January,01,3.50,800,1000,900
2016,December,23,3.50,800,1000,900
2017,July,19,3.50,825,900,875
2017,July,21,3.50,875,950,900
2015,October,28,3.50,900,950,925
2017,August,05,3.50,900,1000,925
2016,January,06,3.50,900,1000,950
2017,July,07,3.50,900,1000,950
2017,September,10,3.50,900,1100,1000
2016,March,04,3.50,950,1100,1000
2017,August,16,3.50,950,1100,1000
2017,August,26,3.50,950,1150,1000
2017,August,12,3.50,1000,1100,1050
2015,August,29,3.50,1000,1100,1050
2016,May,04,3.50,1200,1250,1225
2016,April,17,3.50,1200,1250,1225
2016,May,17,3.50,1200,1300,1250
2015,November,27,3.50,1200,1300,1250
2016,May,13,3.50,1300,1350,1325
2015,December,15,3.50,1300,1400,1350
2016,November,12,3.50,1400,1480,1450
2016,November,15,3.50,1400,1500,1450
2016,May,23,3.50,1400,1500,1450
2016,November,07,3.50,1425,1500,1450
2016,October,16,3.50,1500,1550,1525
2016,September,18,3.50,1500,1550,1525
2016,October,05,3.50,1500,1600,1550
2016,October,22,3.50,1500,1600,1550
2016,May,27,3.50,1500,1600,1550
2016,May,29,3.50,1500,1600,1550
2016,September,30,3.50,1500,1600,1550
2016,May,31,3.50,1500,1650,1600
2016,September,11,3.50,1500,1700,1600
2016,September,10,3.50,1600,1700,1650
2016,October,25,3.50,1600,1800,1700
2016,June,15,3.50,1700,1800,1750
2016,June,18,3.50,1800,2000,1900
2016,August,29,3.50,1900,2000,1950
2016,July,11,3.50,1900,2100,2000
2016,July,18,3.50,1900,2100,2000
2016,June,28,3.50,1900,2100,2000
2016,January,08,3.80,700,750,725
2015,May,31,4.00,400,450,425
2017,April,09,4.00,400,500,450
2017,March,24,4.00,400,500,450
2017,April,03,4.00,450,500,475
2017,February,18,4.00,450,550,500
2015,March,28,4.00,450,550,500
2017,May,26,4.00,450,600,550
2017,May,28,4.00,450,600,580
2017,March,28,4.00,480,525,500
2017,March,08,4.00,500,600,550
2015,April,28,4.00,500,600,550
2017,May,31,4.00,500,650,600
2015,March,14,4.00,500,700,600
2017,April,26,4.00,550,700,600
2015,April,11,4.00,600,650,625
2017,June,11,4.00,600,675,650
2017,May,02,4.00,600,700,650
2015,April,03,4.00,600,700,650
2015,April,06,4.00,600,700,650
2017,February,12,4.00,600,700,650
2015,March,17,4.00,600,700,650
2015,March,21,4.00,600,700,650
2017,January,22,4.00,600,700,650
2017,January,28,4.00,600,700,650
2015,July,10,4.00,600,800,700
2015,July,12,4.00,600,800,700
2017,January,17,4.00,650,750,700
2014,February,12,4.00,700,750,725
2016,February,14,4.00,700,750,725
2016,January,25,4.00,700,750,725
2014,February,07,4.00,700,800,750
2017,January,10,4.00,700,800,750
2017,January,11,4.00,700,800,750
2015,June,27,4.00,700,800,750
2016,December,10,4.00,700,900,800
2016,December,13,4.00,700,900,800
2017,June,18,4.00,750,825,800
2017,June,21,4.00,750,825,800
2015,July,07,4.00,750,850,800
2017,October,09,4.00,790,825,800
2017,October,25,4.00,790,825,800
2017,October,23,4.00,800,850,820
2017,October,14,4.00,800,850,825
2017,November,21,4.00,800,900,825
2017,November,29,4.00,800,900,826
2016,January,10,4.00,800,900,850
2017,June,27,4.00,800,900,850
2017,November,27,4.00,800,900,850
2017,July,31,4.00,800,900,850
2017,January,02,4.00,800,1000,900
2015,August,08,4.00,800,1000,900
2015,August,11,4.00,800,1000,900
2016,January,20,4.00,800,1000,900
2017,October,15,4.00,820,850,825
2017,July,28,4.00,850,900,890
2017,July,26,4.00,850,925,900
2017,June,30,4.00,850,950,900
2015,July,29,4.00,850,1000,900
2016,December,26,4.00,850,1000,950
2017,July,24,4.00,875,950,900
2015,October,04,4.00,900,950,925
2015,September,26,4.00,900,950,925
2015,October,31,4.00,900,950,925
2017,July,14,4.00,900,975,950
2017,July,04,4.00,900,1000,950
2016,January,05,4.00,900,1000,950
2017,August,11,4.00,900,1000,950
2015,August,17,4.00,900,1000,950
2015,September,27,4.00,900,1000,950
2015,September,09,4.00,900,1100,1000
2017,July,10,4.00,900,1100,1000
2015,July,31,4.00,900,1100,1000
2017,September,11,4.00,900,1100,1050
2016,December,16,4.00,900,1200,1000
2017,September,04,4.00,1000,1100,1050
2016,March,06,4.00,1000,1100,1050
2015,November,06,4.00,1000,1100,1050
2016,April,16,4.00,1000,1100,1050
2017,August,25,4.00,1000,1100,1050
2017,August,28,4.00,1000,1100,1050
2016,March,08,4.00,1000,1150,1100
2016,March,11,4.00,1000,1200,1100
2015,November,17,4.00,1000,1200,1100
2015,November,20,4.00,1100,1200,1150
2016,December,03,4.00,1150,1250,1200
2016,March,16,4.00,1150,1250,1200
2016,March,19,4.00,1150,1250,1200
2016,March,20,4.00,1150,1250,1200
2016,December,04,4.00,1200,1250,1225
2015,December,05,4.00,1200,1250,1225
2016,May,06,4.00,1200,1250,1225
2016,April,19,4.00,1200,1250,1225
2015,November,22,4.00,1200,1250,1225
2015,November,30,4.00,1200,1300,1250
2015,December,11,4.00,1200,1325,1250
2016,November,25,4.00,1200,1325,1300
2017,November,06,4.00,1200,1400,1300
2015,December,29,4.00,1300,1400,1350
2016,November,23,4.00,1350,1450,1400
2014,January,08,4.00,1400,1500,1450
2016,November,08,4.00,1400,1500,1450
2016,November,14,4.00,1400,1500,1450
2014,January,04,4.00,1400,1600,1500
2016,September,23,4.00,1475,1550,1500
2016,October,18,4.00,1500,1550,1525
2016,June,01,4.00,1500,1600,1550
2016,October,04,4.00,1500,1600,1550
2016,October,10,4.00,1500,1600,1550
2016,October,12,4.00,1500,1600,1550
2016,September,27,4.00,1500,1650,1600
2016,June,06,4.00,1500,1700,1600
2016,June,11,4.00,1500,1700,1600
2016,October,30,4.00,1500,1700,1600
2016,September,14,4.00,1550,1680,1600
2016,October,26,4.00,1650,1850,1700
2016,September,05,4.00,1700,1900,1800
2016,August,02,4.00,1800,2000,1900
2016,August,19,4.00,1800,2000,1900
2016,August,27,4.00,1800,2000,1900
2016,July,03,4.00,1900,2000,1950
2016,July,04,4.00,1900,2000,1950
2016,July,26,4.00,1900,2000,1950
2016,July,27,4.00,1900,2000,1950
2016,February,13,4.40,700,750,725
2016,January,22,4.40,700,750,725
2015,May,22,4.50,400,450,425
2017,March,21,4.50,450,500,475
2017,April,04,4.50,450,500,480
2015,May,19,4.50,450,550,500
2017,March,07,4.50,500,550,525
2017,June,06,4.50,500,600,550
2017,May,14,4.50,500,600,550
2015,April,25,4.50,500,600,550
2015,April,26,4.50,500,600,550
2017,May,16,4.50,525,600,575
2017,May,25,4.50,550,625,600
2015,April,13,4.50,550,650,600
2015,March,16,4.50,550,650,600
2015,April,12,4.50,600,650,625
2017,February,14,4.50,600,700,650
2015,March,18,4.50,600,700,650
2015,July,11,4.50,600,800,700
2017,January,14,4.50,700,800,750
2017,October,24,4.50,790,820,800
2015,August,07,4.50,800,900,850
2017,September,23,4.50,800,900,850
2015,June,29,4.50,800,900,850
2017,September,15,4.50,800,1000,900
2017,July,16,4.50,850,950,900
2015,October,02,4.50,900,950,925
2015,August,12,4.50,900,1000,950
2015,October,27,4.50,925,975,950
2015,September,11,4.50,950,1050,1000
2017,July,12,4.50,950,1050,1000
2017,October,28,4.50,950,1050,1000
2017,August,27,4.50,950,1150,1000
2017,October,30,4.50,1000,1050,1025
2015,September,04,4.50,1000,1150,1100
2016,April,29,4.50,1150,1250,1200
2015,December,07,4.50,1200,1250,1225
2015,November,21,4.50,1200,1250,1225
2016,May,10,4.50,1200,1300,1250
2016,May,18,4.50,1250,1400,1350
2016,November,16,4.50,1400,1500,1450
2016,October,15,4.50,1450,1550,1500
2015,December,22,4.50,1450,1550,1500
2016,June,08,4.50,1500,1700,1600
2016,June,13,4.50,1600,1700,1650
2016,October,23,4.50,1600,1750,1700
2016,August,07,4.50,1800,1900,1850
2016,February,12,4.60,650,700,675
2016,February,09,4.70,700,750,725
2016,February,06,4.80,650,750,700
2016,January,18,4.80,800,900,850
2017,April,11,5.00,400,500,450
2015,May,20,5.00,400,500,450
2017,March,22,5.00,400,500,450
2015,May,09,5.00,400,550,500
2017,June,03,5.00,500,550,525
2015,April,17,5.00,500,550,525
2015,April,27,5.00,500,550,525
2017,May,22,5.00,500,580,550
2017,June,02,5.00,500,600,550
2015,May,05,5.00,500,600,550
2015,March,29,5.00,500,600,550
2015,March,31,5.00,500,600,550
2015,April,05,5.00,600,650,625
2015,April,14,5.00,600,650,625
2017,May,01,5.00,600,700,650
2015,April,07,5.00,600,700,650
2017,February,13,5.00,600,700,650
2017,June,13,5.00,600,700,650
2015,March,23,5.00,600,700,650
2017,January,04,5.00,600,800,700
2017,May,06,5.00,625,700,650
2015,July,04,5.00,700,750,725
2015,June,17,5.00,700,800,750
2016,January,24,5.00,700,800,750
2014,February,28,5.00,700,800,750
2017,June,19,5.00,700,800,780
2017,June,16,5.00,700,825,800
2017,June,23,5.00,750,850,800
2016,December,11,5.00,750,875,850
2017,November,22,5.00,800,900,820
2017,September,25,5.00,800,900,825
2017,July,18,5.00,800,900,850
2014,February,21,5.00,800,900,850
2017,June,28,5.00,800,900,850
2017,September,12,5.00,800,1000,900
2017,July,29,5.00,850,900,890
2016,December,25,5.00,850,1000,925
2015,August,05,5.00,900,1000,950
2015,October,05,5.00,900,1000,950
2016,January,11,5.00,900,1000,950
2015,August,16,5.00,900,1000,950
2016,December,18,5.00,900,1000,950
2015,September,20,5.00,900,1000,950
2015,June,22,5.00,900,1000,950
2015,September,28,5.00,900,1000,950
2015,September,29,5.00,900,1000,950
2017,August,14,5.00,900,1050,1000
2017,November,11,5.00,900,1200,1000
2015,October,18,5.00,950,1000,975
2015,August,02,5.00,1000,1100,1050
2015,August,03,5.00,1000,1100,1050
2015,August,21,5.00,1000,1100,1050
2015,June,24,5.00,1000,1100,1050
2015,August,30,5.00,1000,1100,1050
2017,August,30,5.00,1000,1100,1050
2016,March,29,5.00,1150,1250,1200
2016,April,30,5.00,1150,1250,1200
2016,April,25,5.00,1200,1250,1225
2014,January,16,5.00,1200,1300,1250
