year,month,date,arrival,min,max,modal
2017,August,08,1.50,7600,8700,8500
2017,July,25,1.50,8000,8700,8500
2017,July,06,2.00,6700,10500,9000
2017,July,15,2.00,7500,9000,8500
2017,October,17,2.00,7600,8700,8200
2017,August,05,2.00,7700,8700,8600
2017,August,09,2.00,7800,8600,8500
2017,July,28,2.00,7900,8700,8600
2017,February,18,2.00,8000,9000,8500
2017,July,21,2.00,8000,9000,8500
2016,December,12,2.00,8000,10500,8600
2017,February,15,2.00,8000,10500,9000
2017,February,22,2.00,8000,10500,9000
2016,December,21,2.00,8400,10500,9000
2017,May,20,2.00,8400,10500,9500
2016,December,15,2.00,8500,10500,9000
2017,June,15,2.00,8500,10500,9000
2017,June,19,2.00,8500,10500,9000
2017,July,12,2.00,8600,9600,9500
2017,July,07,2.00,8600,10000,9000
2017,July,10,2.00,8600,10000,9000
2017,February,13,2.00,8650,10000,9000
2017,June,30,2.00,8650,10000,9000
2017,February,04,2.00,8700,11000,10000
2017,February,08,2.00,9000,11000,9500
2017,August,16,2.50,7600,8600,8500
2017,July,29,2.50,7900,8700,8600
2017,July,26,2.50,7900,8800,8400
2017,July,18,2.50,8000,9000,8500
2017,July,24,2.50,8000,9000,8700
2017,July,14,2.50,8000,9000,8900
2017,June,21,2.50,8400,9000,8400
2017,June,17,2.50,8400,10000,9500
2017,June,20,2.50,8500,10500,9000
2017,June,23,2.50,8650,10500,8700
2017,July,01,2.50,8650,10500,9000
2017,September,19,3.00,7300,8400,8200
2017,October,09,3.00,7500,8600,8200
2017,August,04,3.00,7700,8700,8600
2017,August,07,3.00,7700,8700,8600
2017,August,02,3.00,7900,8700,8600
2017,July,20,3.00,8000,8700,8500
2017,July,27,3.00,8000,8700,8600
2017,June,14,3.00,8000,10500,8650
2017,July,11,3.00,8050,9050,9000
2017,July,13,3.00,8200,9200,8900
2017,July,17,3.00,8500,9500,9000
2017,July,05,3.00,8600,10000,9000
2019,August,09,3.00,9500,10500,9500
2017,August,10,3.50,7600,8600,8500
2017,August,14,3.50,7800,8600,8500
2017,July,31,3.50,7800,8600,8500
2017,August,03,3.50,7800,8700,8500
2017,September,01,4.00,7200,8200,8100
2017,September,21,4.00,7300,8400,8200
2017,September,11,4.00,7500,8500,8200
2017,September,16,4.00,7500,8500,8200
2017,August,17,4.00,7600,8600,8400
