year,month,date,arrival,min,max,modal
2016,October,20,2.00,2200,2400,2300
2016,October,19,4.00,2250,2300,2250
2015,June,07,5.00,1800,1900,1850
2015,December,20,5.00,1950,2100,2000
2015,December,30,5.00,2000,2200,2100
2016,October,22,5.00,2280,2500,2480
2015,June,06,6.00,1800,1900,1850
2015,June,10,6.00,1800,1900,1850
2015,June,12,6.00,1800,1900,1850
2015,June,24,6.00,1800,1900,1850
2015,May,29,6.00,1800,1900,1850
2014,November,10,6.00,1800,2000,1900
2014,July,21,6.00,1900,2100,2000
2014,July,30,6.00,1900,2100,2000
2015,December,24,6.00,2000,2100,2000
2016,January,03,6.00,2000,2200,2100
2015,December,29,6.00,2000,2200,2100
2016,January,13,6.00,2100,2200,2200
2014,September,01,7.00,1700,1900,1800
2015,June,14,7.00,1780,1850,1820
2015,June,17,7.00,1780,1850,1820
2015,March,01,7.00,1800,1900,1850
2015,June,09,7.00,1800,1900,1850
2015,June,11,7.00,1800,1900,1850
2015,March,22,7.00,1800,1900,1850
2015,May,28,7.00,1800,1900,1850
2015,May,31,7.00,1800,1900,1850
2014,October,12,7.00,1800,2000,1900
2014,August,16,7.00,1800,2000,1900
2014,October,20,7.00,1800,2000,1900
2014,October,26,7.00,1800,2000,1900
2015,July,20,7.00,1900,2000,1950
2015,February,08,7.00,1900,2200,2050
2016,January,04,7.00,2000,2200,2100
2016,October,21,7.00,2300,2520,2410
2014,August,14,8.00,1700,1900,1800
2015,June,13,8.00,1780,1850,1820
2015,June,15,8.00,1780,1850,1820
2015,June,16,8.00,1780,1850,1820
2015,June,02,8.00,1800,1900,1850
2015,June,05,8.00,1800,1900,1850
2015,June,08,8.00,1800,1900,1850
2015,June,21,8.00,1800,1900,1850
2015,June,26,8.00,1800,1900,1850
2015,May,30,8.00,1800,1900,1850
2015,July,05,8.00,1900,2000,1950
2015,July,12,8.00,1900,2000,1950
2015,July,19,8.00,1900,2000,1950
2015,July,21,8.00,1900,2000,1950
2015,February,07,8.00,1900,2200,2050
2014,December,13,8.00,2000,2100,2050
2014,November,13,8.00,2000,2100,2050
2015,December,21,8.00,2000,2100,2050
2014,December,27,8.00,2000,2100,2050
2016,January,02,8.00,2000,2200,2100
2015,December,31,8.00,2000,2200,2100
2014,November,23,8.00,2100,2200,2150
2016,January,14,8.00,2100,2200,2200
2018,December,27,8.00,2400,2600,2500
2015,January,15,9.00,1600,1700,1650
2015,January,19,9.00,1600,1700,1650
2015,January,14,9.00,1700,1800,1750
2014,August,17,9.00,1700,1900,1800
2015,June,27,9.00,1780,1900,1800
2015,June,01,9.00,1800,1900,1850
2015,March,06,9.00,1800,1900,1850
2015,May,06,9.00,1800,1900,1850
2015,June,22,9.00,1800,1900,1850
2014,September,14,9.00,1800,2000,1900
2014,October,19,9.00,1800,2000,1900
2014,October,27,9.00,1800,2000,1900
2015,February,09,9.00,1900,2000,1950
2016,July,24,9.00,1900,2000,1950
2015,February,06,9.00,1900,2200,2050
2016,January,05,9.00,2000,2200,2100
2016,July,17,9.00,2000,2200,2100
2016,July,19,9.00,2000,2200,2100
2016,January,25,9.00,2180,2200,2200
2016,January,27,9.00,2180,2200,2200
2015,February,12,9.50,1800,1900,1850
2014,August,23,10.00,1700,1900,1800
2014,August,24,10.00,1700,1900,1800
2014,August,25,10.00,1700,1900,1800
2015,June,03,10.00,1800,1900,1850
2015,May,10,10.00,1800,1900,1850
2015,February,16,10.00,1800,1900,1850
2015,April,19,10.00,1800,1900,1850
2015,March,21,10.00,1800,1900,1850
2014,November,02,10.00,1800,2000,1900
2014,November,03,10.00,1800,2000,1900
2015,February,04,10.00,1800,2000,1900
2014,October,07,10.00,1800,2000,1900
2014,August,18,10.00,1800,2000,1900
2014,October,25,10.00,1800,2000,1900
2015,July,03,10.00,1850,1950,1900
2015,July,11,10.00,1900,2000,1950
2015,July,15,10.00,1900,2000,1950
2015,July,22,10.00,1900,2000,1950
2014,August,03,10.00,1900,2100,2000
2014,August,04,10.00,1900,2100,2000
2014,August,09,10.00,1900,2100,2000
2014,August,10,10.00,1900,2100,2000
2014,August,15,10.00,1900,2100,2000
2014,July,16,10.00,1900,2100,2000
2014,July,19,10.00,1900,2100,2000
2014,August,21,10.00,1900,2100,2000
2015,October,01,10.00,1950,2100,2000
2015,October,11,10.00,1950,2100,2000
2014,December,14,10.00,2000,2100,2050
2015,December,17,10.00,2000,2100,2050
2014,December,28,10.00,2000,2100,2050
2015,September,27,10.00,2000,2100,2060
2015,September,20,10.00,2000,2150,2100
2016,January,01,10.00,2000,2200,2100
2016,January,06,10.00,2000,2200,2100
2016,January,08,10.00,2000,2200,2100
2014,July,11,10.00,2000,2200,2100
2017,October,27,10.00,2000,2400,2200
2014,December,02,10.00,2100,2200,2150
2016,January,10,10.00,2100,2200,2200
2014,September,06,11.00,1700,2000,1800
2015,June,19,11.00,1780,1850,1820
2015,May,05,11.00,1800,1900,1850
2015,May,09,11.00,1800,1900,1850
2015,May,11,11.00,1800,1900,1850
2015,February,14,11.00,1800,1900,1850
2015,March,15,11.00,1800,1900,1850
2015,May,24,11.00,1800,1900,1850
2015,April,30,11.00,1800,1900,1850
2015,February,05,11.00,1800,2000,1900
2014,October,09,11.00,1800,2000,1900
2015,March,24,11.00,1800,2000,1900
2014,September,05,12.00,1700,1900,1800
2014,August,31,12.00,1700,1900,1800
2015,June,18,12.00,1780,1850,1820
2015,June,20,12.00,1780,1850,1820
2015,June,28,12.00,1780,1900,1800
2015,May,01,12.00,1800,1900,1850
2015,May,04,12.00,1800,1900,1850
