year,month,date,arrival,min,max,modal
2014,November,10,12.00,1500,1700,1600
2014,October,07,12.00,1600,1800,1700
2014,July,30,13.00,1500,1700,1600
2014,December,14,13.50,1600,1700,1650
2014,October,20,15.00,1600,1700,1650
2014,August,17,15.50,1500,1700,1600
2014,August,03,16.00,1500,1700,1600
2014,November,23,16.00,1600,1800,1700
2014,December,13,16.50,1600,1700,1650
2017,August,16,16.80,1600,1800,1700
2014,July,21,17.00,1500,1700,1600
2014,August,10,17.00,1500,1800,1600
2014,August,15,17.00,1500,1800,1600
2014,August,21,17.00,1500,1800,1600
2017,July,28,17.00,1500,1900,1800
2014,October,27,17.00,1600,1800,1700
2015,May,31,18.00,1300,1500,1400
2014,November,13,18.00,1500,1750,1650
2015,May,30,18.50,1300,1500,1400
2015,May,29,19.00,1300,1500,1400
2015,May,10,19.00,1400,1500,1450
2014,August,14,19.00,1500,1800,1600
2014,August,16,19.00,1500,1800,1600
2014,November,20,19.00,1600,1800,1700
2015,May,06,19.50,1400,1500,1450
2017,July,26,19.50,1600,1900,1700
2015,May,24,19.90,1500,1700,1600
2018,September,06,20.00,1200,1400,1300
2018,September,07,20.00,1200,1400,1300
2018,June,20,20.00,1200,1450,1350
2018,September,11,20.00,1200,1550,1350
2018,July,10,20.00,1200,1800,1400
2018,June,08,20.00,1260,1450,1350
2018,September,20,20.00,1300,1500,1400
2015,December,22,20.00,1300,1500,1400
2018,October,24,20.00,1350,1430,1400
2015,May,09,20.00,1400,1500,1450
2018,June,15,20.00,1400,1600,1500
2014,September,01,20.00,1500,1700,1600
2014,August,09,20.00,1500,1800,1600
2014,November,17,20.00,1600,1800,1700
2019,January,04,21.00,1300,1400,1350
2015,June,12,21.00,1300,1500,1400
2018,June,12,21.00,1300,1600,1400
2015,May,05,21.00,1400,1500,1450
2017,August,08,21.00,1500,1800,1700
2015,July,04,21.00,1600,1700,1650
2014,July,19,21.50,1500,1700,1600
2014,December,02,21.50,1600,1800,1700
2018,September,22,22.00,1200,1400,1300
2018,September,01,22.00,1200,1600,1400
2019,March,08,22.00,1300,1400,1350
2018,November,13,22.00,1300,1400,1350
2017,December,03,22.00,1300,1500,1400
2018,November,07,22.00,1300,1500,1400
2018,June,13,22.00,1300,1600,1400
2014,December,17,22.00,1300,1600,1400
2015,May,08,22.00,1400,1500,1450
2018,July,13,22.00,1400,1600,1500
2014,December,21,22.00,1400,1700,1500
2015,July,05,22.00,1600,1700,1650
2014,October,16,22.00,1600,1700,1650
2015,June,21,22.00,1600,1700,1650
2014,October,26,22.00,1600,1800,1700
2014,October,12,22.50,1600,1800,1700
2016,January,13,23.00,1200,1500,1300
2015,June,07,23.00,1350,1450,1400
2015,November,08,23.00,1350,1550,1450
2014,December,27,23.00,1400,1700,1600
2015,July,22,23.00,1450,1550,1500
2015,May,25,23.00,1450,1700,1550
2015,July,12,23.00,1500,1600,1550
2014,August,06,23.00,1500,1700,1600
2014,December,07,23.00,1500,1700,1600
2015,June,06,23.50,1350,1450,1400
2014,December,12,23.50,1600,1700,1650
2015,October,04,23.70,1450,1550,1500
2015,February,07,24.00,1300,1500,1400
2015,July,19,24.00,1400,1500,1450
2017,August,09,24.00,1500,1800,1700
2015,June,16,24.00,1600,1700,1650
2017,July,25,24.00,1600,1800,1700
2016,December,21,24.00,1650,1800,1750
2015,May,22,24.30,1500,1700,1600
2015,May,26,24.50,1400,1600,1500
2014,September,14,24.50,1500,1800,1650
2014,August,25,24.50,1500,1800,1700
2015,June,14,24.50,1600,1700,1650
2015,June,26,24.50,1600,1700,1650
2015,June,28,24.50,1600,1700,1650
2015,May,27,25.00,1300,1500,1400
2015,May,28,25.00,1300,1500,1400
2015,March,22,25.00,1400,1500,1450
2014,August,04,25.00,1500,1700,1600
2014,August,18,25.00,1500,1700,1600
2017,February,18,25.00,1500,1900,1700
2014,December,06,25.00,1600,1800,1700
2014,August,24,25.00,1600,1800,1700
2017,July,29,25.00,1600,1900,1800
2016,October,20,25.00,1750,1900,1800
2015,June,20,25.50,1600,1700,1650
2015,June,10,26.00,1300,1500,1400
2015,September,21,26.00,1450,1600,1500
2014,July,26,26.00,1500,1700,1650
2014,November,03,26.00,1600,1700,1650
2015,July,11,26.50,1500,1600,1550
2015,May,23,26.50,1500,1700,1600
2015,July,01,26.50,1600,1700,1650
2014,October,19,26.50,1600,1700,1650
2018,August,23,27.00,1200,1600,1400
2014,December,28,27.00,1400,1700,1600
2014,August,01,27.00,1500,1700,1600
2015,June,19,27.00,1500,1700,1650
2015,July,08,27.00,1550,1600,1575
2015,June,27,27.00,1600,1700,1650
2014,November,02,27.00,1600,1800,1700
2014,October,08,27.00,1600,1800,1700
2016,October,30,27.00,1700,1900,1800
2015,July,20,27.50,1400,1500,1450
2014,December,20,27.50,1400,1600,1500
2014,July,25,27.50,1500,1700,1600
2015,February,08,28.00,1200,1400,1300
2015,June,02,28.00,1280,1480,1380
2015,March,15,28.00,1500,1550,1525
2014,October,22,28.00,1500,1700,1600
2017,August,19,28.00,1500,1800,1700
2014,August,31,28.00,1500,1800,1700
2014,November,09,28.00,1550,1650,1600
2015,May,13,28.00,1550,1650,1600
2015,June,17,28.00,1600,1700,1650
2014,October,29,28.00,1600,1700,1650
2015,July,15,28.50,1500,1600,1550
2015,June,30,28.50,1600,1700,1650
2015,June,01,29.00,1300,1500,1400
2015,June,05,29.00,1300,1500,1400
2015,May,04,29.00,1400,1500,1450
2015,April,15,29.00,1400,1500,1450
2015,January,03,29.00,1400,1700,1500
2015,October,02,29.00,1450,1550,1500
2015,October,03,29.00,1450,1550,1500
2014,December,03,29.00,1600,1700,1650
2015,June,22,29.00,1600,1700,1650
2014,December,16,29.00,1600,1800,1700
2014,November,16,29.00,1600,1800,1700
2018,June,04,29.50,1200,1400,1300
2015,January,02,29.50,1400,1700,1500
2014,December,25,29.50,1400,1700,1500
2014,September,06,29.50,1500,1700,1600
2014,July,16,29.50,1500,1700,1600
2015,June,15,29.50,1600,1700,1650
2017,April,11,29.50,1700,1900,1800
2018,September,24,30.00,1200,1400,1300
2015,January,25,30.00,1200,1400,1300
2018,June,06,30.00,1260,1450,1350
2015,March,01,30.00,1300,1400,1350
2015,February,06,30.00,1300,1500,1400
2015,January,04,30.00,1400,1700,1600
2014,August,20,30.00,1500,1800,1650
2017,August,04,30.00,1600,1800,1700
2014,October,18,30.00,1600,1800,1700
2016,January,10,30.50,1200,1500,1300
2016,January,27,30.50,1200,1500,1300
2015,September,20,30.50,1450,1600,1500
2014,November,29,30.50,1500,1600,1550
2014,September,05,30.50,1500,1700,1600
2015,May,16,30.50,1500,1700,1600
2014,August,02,30.50,1500,1800,1600
2015,May,17,30.80,1500,1700,1600
2015,June,09,31.00,1300,1500,1400
2014,December,23,31.00,1400,1600,1500
2015,January,23,31.00,1400,1600,1500
2014,December,19,31.00,1400,1700,1500
