year,month,date,arrival,min,max,modal
2017,July,24,2.00,1450,1500,1450
2016,July,14,2.00,1500,1550,1520
2017,May,09,2.00,1500,1600,1550
2017,May,06,3.00,1500,1600,1550
2017,April,26,3.00,1500,1600,1550
2016,June,20,4.00,1640,1650,1640
2017,April,24,5.00,1400,1500,1450
2017,July,20,5.00,1450,1500,1450
2015,April,27,5.00,1450,1500,1475
2017,June,05,5.00,1500,1600,1550
2016,June,30,5.00,1530,1650,1630
2017,May,02,5.00,1600,1650,1620
2016,June,16,5.00,1630,1650,1630
2016,May,16,6.00,1120,1630,1250
2017,May,11,6.00,1500,1550,1520
2017,May,04,6.00,1500,1550,1530
2017,May,15,6.00,1500,1600,1550
2017,May,08,6.00,1500,1650,1600
2016,April,28,7.00,1500,1550,1520
2017,May,18,8.00,1500,1600,1550
2016,May,02,8.00,1550,1600,1570
