year,month,date,arrival,min,max,modal
2014,January,02,3.00,5600,5800,5700
2014,June,01,4.00,6500,7000,6800
2014,June,08,4.00,6500,7000,6800
2014,May,28,4.00,6500,7000,6800
2014,June,07,4.00,6700,7200,6800
2014,June,12,4.00,6700,7200,6800
2014,July,07,4.00,7500,8000,7800
2014,July,08,4.00,7500,8000,7800
2014,July,13,4.00,7500,8000,7800
2014,June,25,4.00,7500,8000,7800
2014,June,30,4.00,7500,8000,7800
2014,February,24,4.50,6000,7000,6500
2014,February,28,5.00,5700,6000,5800
2014,March,01,5.00,6000,6400,6200
2014,March,05,5.00,6000,6500,6200
2014,January,06,5.00,6000,6500,6300
2014,March,25,5.00,6000,7000,6800
2014,May,05,5.00,6500,7000,6700
2014,May,02,5.00,6500,7000,6800
2014,May,04,5.00,6500,7000,6800
2014,June,06,5.00,6500,7000,6800
2014,May,17,5.00,6500,7000,6800
2014,May,21,5.00,6500,7000,6800
2014,May,23,5.00,6500,7000,6800
2014,May,24,5.00,6500,7000,6800
2014,May,25,5.00,6500,7000,6800
2014,May,29,5.00,6500,7000,6800
2014,March,31,5.00,6500,7000,6800
2014,June,02,5.00,6600,7200,6800
2014,June,04,5.00,6700,7000,6900
2014,June,05,5.00,6700,7200,6800
2014,June,09,5.00,7000,7500,7200
2014,July,03,5.00,7500,8000,7700
2014,July,06,5.00,7500,8000,7700
2014,June,16,5.00,7500,8000,7700
2014,June,18,5.00,7500,8000,7700
2014,July,09,5.00,7500,8000,7800
2014,July,10,5.00,7500,8000,7800
2014,July,12,5.00,7500,8000,7800
2014,January,16,6.00,5500,6000,5600
2014,January,29,6.00,5600,6000,5800
2014,March,03,6.00,6000,6400,6200
2014,February,13,6.00,6000,6500,6300
2014,February,18,6.00,6000,7000,6500
2014,March,19,6.00,6000,7000,6800
2014,May,03,6.00,6500,7000,6800
2014,April,05,6.00,6500,7000,6800
2014,May,06,6.00,6500,7000,6800
2014,April,09,6.00,6500,7000,6800
2014,May,11,6.00,6500,7000,6800
2014,May,12,6.00,6500,7000,6800
2014,May,15,6.00,6500,7000,6800
2014,May,18,6.00,6500,7000,6800
2014,May,26,6.00,6500,7000,6800
2014,May,27,6.00,6500,7000,6800
2014,April,28,6.00,6500,7000,6800
2014,May,30,6.00,6500,7000,6800
2014,May,31,6.00,6600,7200,6900
2014,July,04,6.00,7000,8000,7500
2014,June,10,6.00,7200,7500,7300
2014,June,26,6.00,7500,8000,7800
2014,June,27,6.00,7500,8000,7800
2014,June,28,6.00,7500,8000,7800
2014,June,29,6.00,7500,8000,7800
2014,January,09,7.00,5500,6000,5700
2014,January,18,7.00,5500,6000,5700
2014,January,08,7.00,5500,6000,5800
2014,February,05,7.00,5600,6000,5800
2014,March,26,7.00,6000,7000,6500
2014,March,28,7.00,6000,7000,6500
2014,March,29,7.00,6000,7000,6500
2014,April,02,7.00,6000,7000,6800
2014,March,12,7.00,6000,7000,6800
2014,April,17,7.00,6500,7000,6700
2014,May,08,7.00,6500,7000,6800
2014,April,10,7.00,6500,7000,6800
2014,May,20,7.00,6500,7000,6800
2014,April,21,7.00,6500,7000,6800
2014,May,22,7.00,6500,7000,6800
2014,June,03,7.00,6800,7200,7000
2014,June,11,7.00,7200,7500,7300
2014,June,13,7.00,7200,7500,7300
2014,June,14,7.00,7200,7500,7300
2014,June,15,7.00,7200,7500,7300
2014,July,05,7.00,7500,8000,7800
2014,July,14,7.00,7500,8000,7800
2014,June,21,7.00,7500,8000,7800
2014,June,23,7.00,7500,8000,7800
2014,June,24,7.00,7500,8000,7800
2014,January,13,7.50,5500,6000,5600
2014,January,17,7.50,5500,6000,5600
2014,March,24,7.50,6000,7000,6500
2014,February,15,8.00,5000,6000,5700
2014,February,01,8.00,5600,6000,5800
2014,February,07,8.00,5600,6000,5800
2014,March,27,8.00,6000,7000,6500
2014,March,20,8.00,6000,7000,6700
2014,March,21,8.00,6000,7000,6800
2014,May,07,8.00,6500,7000,6600
2014,April,19,8.00,6500,7000,6800
2014,July,02,8.00,7500,8000,7800
2014,February,12,8.50,6000,6500,6300
2014,February,04,9.00,5600,6000,5800
2014,April,23,9.00,6500,7000,6600
2014,January,07,10.00,5500,6000,5700
2014,March,11,10.00,5500,6000,5700
2014,April,04,10.00,6500,7000,6700
2014,April,07,10.00,6500,7000,6700
2014,June,17,10.00,7500,8000,7700
2014,July,01,10.00,7500,8000,7800
2014,January,10,11.00,5500,6000,5800
2014,April,11,12.00,6500,7000,6700
2014,May,14,12.00,6500,7000,6700
2014,April,22,12.00,6500,7000,6700
2014,April,08,12.00,6500,7000,6800
2014,May,10,12.00,6500,7000,6800
2014,May,19,12.00,6500,7000,6800
2014,May,13,13.00,6500,7000,6800
2014,June,20,15.00,7500,8000,7800
2014,June,22,15.00,7500,8000,7800
2014,March,13,16.00,6000,7000,6800
