year,month,date,arrival,min,max,modal
2014,March,01,20.00,7000,7400,7200
2014,January,06,20.00,7000,7500,7200
2014,June,01,20.00,8500,9000,8700
2014,June,07,20.00,8500,9000,8700
2014,June,08,20.00,8500,9000,8700
2014,June,12,20.00,8500,9000,8700
2014,May,28,20.00,8500,9000,8700
2014,June,30,20.00,8500,9000,8800
2014,July,07,20.00,9000,9500,9300
2014,July,08,20.00,9000,9500,9300
2014,July,10,20.00,9000,9500,9300
2014,July,06,25.00,2800,3000,2900
2014,February,28,25.00,6800,7500,7200
2014,January,02,25.00,7000,7500,7200
2014,March,19,25.00,7000,9000,8000
2014,May,02,25.00,8500,9000,8700
2014,June,04,25.00,8500,9000,8700
2014,June,05,25.00,8500,9000,8700
2014,June,09,25.00,8500,9000,8700
2014,July,13,25.00,8500,9000,8700
2014,May,17,25.00,8500,9000,8700
2014,May,24,25.00,8500,9000,8700
2014,June,25,25.00,8500,9000,8700
2014,May,29,25.00,8500,9000,8700
2014,June,16,25.00,8500,9000,8800
2014,July,09,25.00,9000,9500,9300
2014,July,12,25.00,9000,9500,9300
2014,July,03,25.00,9000,10000,9500
2014,June,26,25.00,9000,10000,9500
2014,June,28,25.00,9000,10000,9500
2014,January,09,30.00,6000,7000,6500
2014,March,05,30.00,7000,7500,7300
2014,March,29,30.00,8000,9000,8500
2014,March,31,30.00,8000,9000,8500
2014,May,06,30.00,8500,9000,8600
2014,May,12,30.00,8500,9000,8600
2014,April,21,30.00,8500,9000,8600
2014,April,28,30.00,8500,9000,8600
2014,June,02,30.00,8500,9000,8700
2014,June,06,30.00,8500,9000,8700
2014,May,23,30.00,8500,9000,8700
2014,May,30,30.00,8500,9000,8700
2014,June,18,30.00,8500,9000,8800
2014,May,21,30.00,8500,9000,8800
2014,May,25,30.00,8500,9000,8800
2014,July,05,30.00,9000,9500,9200
2014,June,27,30.00,9000,10000,9500
2014,June,29,30.00,9000,10000,9500
2014,February,24,35.00,7000,8000,7500
2014,January,08,40.00,6000,7000,6500
2014,February,05,40.00,6500,7000,6800
2014,January,29,40.00,6500,7000,6800
2014,March,20,40.00,7000,9000,8000
2014,February,13,40.00,7500,7800,7600
2014,March,24,40.00,8000,9000,8500
2014,March,26,40.00,8000,9000,8500
2014,March,27,40.00,8000,9000,8500
2014,March,28,40.00,8000,9000,8500
2014,April,02,40.00,8500,9000,8700
2014,June,03,40.00,8500,9000,8700
2014,May,03,40.00,8500,9000,8700
2014,April,04,40.00,8500,9000,8700
2014,May,07,40.00,8500,9000,8700
2014,May,08,40.00,8500,9000,8700
2014,April,10,40.00,8500,9000,8700
2014,May,11,40.00,8500,9000,8700
2014,May,13,40.00,8500,9000,8700
2014,July,14,40.00,8500,9000,8700
2014,April,17,40.00,8500,9000,8700
2014,May,18,40.00,8500,9000,8700
2014,June,21,40.00,8500,9000,8700
2014,May,22,40.00,8500,9000,8700
2014,June,23,40.00,8500,9000,8700
2014,May,26,40.00,8500,9000,8700
2014,May,27,40.00,8500,9000,8700
2014,June,10,40.00,8500,9000,8800
2014,June,11,40.00,8500,9000,8800
2014,June,13,40.00,8500,9000,8800
2014,June,14,40.00,8500,9000,8800
2014,June,15,40.00,8500,9000,8800
2014,June,24,40.00,8500,9000,8800
2014,May,31,40.00,8500,9000,8800
2014,July,02,40.00,9000,10000,9500
2014,March,21,45.00,7000,9000,8000
2014,January,07,50.00,6000,7000,6800
2014,February,15,50.00,6000,7500,7200
2014,March,03,50.00,6500,7000,6800
2014,February,07,50.00,6500,7000,6800
2014,January,16,50.00,6500,7000,6800
2014,January,28,50.00,6500,7000,6800
2014,January,18,50.00,6500,7200,7000
2014,February,18,50.00,7000,7500,7300
2014,March,12,50.00,7500,8000,7800
2014,April,05,50.00,8500,9000,8700
2014,April,09,50.00,8500,9000,8700
2014,May,10,50.00,8500,9000,8700
2014,May,15,50.00,8500,9000,8700
2014,June,17,50.00,8500,9000,8700
2014,April,19,50.00,8500,9000,8700
2014,May,19,50.00,8500,9000,8700
2014,May,20,50.00,8500,9000,8700
2014,April,23,50.00,8500,9000,8700
2014,July,04,50.00,8500,9200,8800
2014,January,10,60.00,6000,7000,6500
2014,January,13,60.00,6500,7000,6800
2014,February,01,60.00,6500,7200,7000
2014,April,08,60.00,8500,9000,8700
2014,April,11,60.00,8500,9000,8700
2014,July,01,60.00,9000,10000,9500
2014,January,17,65.00,6500,7200,7000
2014,March,11,70.00,7000,7500,7300
2014,March,13,70.00,7000,8000,7800
2014,February,12,70.00,7500,8800,8600
2014,May,14,70.00,8500,9000,8700
2014,April,22,70.00,8500,9000,8700
2014,February,04,75.00,6500,7000,6800
2014,June,20,80.00,8500,9200,9000
2014,June,22,80.00,8500,9200,9000
2014,April,07,90.00,8500,9000,8600
