year,month,date,arrival,min,max,modal
2019,September,09,0.80,4200,4400,4300
2019,September,05,1.00,4000,4400,4200
2019,September,10,1.00,4300,4400,4400
2019,September,17,1.00,4500,4700,4600
2019,August,31,1.50,4200,4400,4300
2019,September,07,1.50,4400,4500,4400
2019,September,23,1.50,4500,5000,4800
2019,September,16,2.00,4200,4400,4200
2019,September,04,2.00,4200,4400,4300
2019,August,28,2.00,4400,4500,4400
2017,January,19,2.00,5000,5200,5000
2019,August,29,3.00,4400,4600,4500
2017,February,16,7.00,4500,5000,4600
