year,month,date,arrival,min,max,modal
2022,May,24,70.00,1500,1650,1600
2014,July,30,3.00,2800,3100,3000
2014,July,21,3.00,3200,3400,3300
2022,May,12,3.00,4000,5000,4500
2014,July,29,4.00,2800,3100,3000
2022,April,02,4.40,1420,1600,1500
2015,May,10,5.00,2300,2500,2400
2014,September,01,5.00,2500,2700,2600
2014,August,25,5.00,2500,2700,2600
2014,August,14,5.00,2700,2800,2750
2014,August,03,5.00,2800,3100,3000
2022,March,23,5.50,1570,1800,1650
2015,May,06,6.00,2300,2500,2400
2015,May,09,6.00,2300,2500,2400
2014,November,03,6.00,2400,2500,2450
2014,October,12,6.00,2400,2500,2450
2014,October,19,6.00,2400,2500,2450
2014,September,14,6.00,2500,2550,2525
2014,August,31,6.00,2500,2700,2600
2014,August,04,6.00,2600,3000,2800
2014,August,11,6.00,2700,2900,2800
2014,August,09,6.00,2800,2900,2850
2014,August,18,6.00,3000,3500,3200
2022,March,30,6.30,1400,1600,1500
2015,December,22,7.00,1800,2100,2000
2015,April,30,7.00,1950,2050,2000
2014,December,14,7.00,2100,2200,2150
2014,October,20,7.00,2300,2400,2350
2015,May,05,7.00,2300,2500,2400
2014,September,05,7.00,2400,2500,2450
2014,September,19,7.00,2500,2600,2550
2014,November,09,7.00,2500,2700,2600
2014,August,06,7.00,2600,2800,2700
2014,August,24,7.00,2600,2800,2700
2014,August,02,7.00,2600,3000,2800
2015,November,08,7.00,2800,2900,2850
2014,July,26,7.00,2800,3000,2900
2014,August,01,7.00,2800,3200,3000
2014,July,22,7.00,2900,3100,3000
2014,October,07,7.00,3000,3200,3100
2014,July,18,7.00,3200,3400,3300
2022,April,20,7.20,1240,1400,1300
2014,August,07,7.50,2700,2800,2750
2016,October,20,8.00,1200,1500,1300
2015,April,01,8.00,1400,1500,1450
2015,March,08,8.00,1500,1600,1550
2015,April,23,8.00,1700,1800,1750
2015,April,29,8.00,1900,2100,2000
2015,February,15,8.00,2100,2200,2150
2015,May,04,8.00,2300,2400,2350
2014,October,09,8.00,2300,2400,2350
2015,May,12,8.00,2300,2400,2350
2014,September,25,8.00,2300,2400,2350
2015,May,08,8.00,2300,2500,2400
2014,November,02,8.00,2400,2500,2450
2014,October,26,8.00,2400,2500,2450
2014,November,20,8.00,2400,2600,2500
2014,November,17,8.00,2500,2600,2550
2014,September,02,8.00,2600,2700,2650
2014,August,29,8.00,2600,2700,2650
2014,August,23,8.00,2600,2800,2700
2014,August,17,8.00,2600,2900,2800
2014,November,10,8.00,2650,2700,2670
2014,August,08,8.00,2700,2800,2750
2014,August,16,8.00,2700,2800,2775
2014,August,21,8.00,2700,2900,2750
2014,August,10,8.00,2700,2900,2850
2014,July,25,8.00,3000,3200,3100
2014,July,19,8.00,3200,3400,3300
2015,September,21,8.00,5000,5200,5100
2015,April,19,9.00,1700,1800,1750
2015,April,22,9.00,1700,1800,1750
2015,March,24,9.00,1700,1800,1750
2014,November,13,9.00,2400,2500,2450
2014,October,16,9.00,2400,2500,2450
2014,October,18,9.00,2400,2500,2450
2014,September,06,9.00,2400,2600,2500
2014,November,16,9.00,2500,2600,2550
2014,September,16,9.00,2500,2600,2550
2014,August,20,9.00,2600,2700,2650
2014,August,30,9.00,2600,2700,2650
2014,August,22,9.00,2600,2800,2700
2015,June,25,9.10,2100,2200,2150
2015,March,22,10.00,1500,1600,1550
2015,April,24,10.00,1700,1800,1750
2015,December,18,10.00,1800,2000,1900
2015,April,18,10.00,1900,2000,1950
2015,March,01,10.00,2000,2100,2050
2014,December,21,10.00,2000,2200,2100
2015,January,10,10.00,2100,2200,2150
2015,February,07,10.00,2100,2300,2200
2015,February,08,10.00,2100,2300,2200
2015,May,30,10.00,2150,2350,2200
2014,October,10,10.00,2300,2400,2350
2014,October,11,10.00,2300,2400,2350
2014,October,14,10.00,2300,2400,2350
2014,October,23,10.00,2300,2400,2350
2014,October,24,10.00,2300,2400,2350
2015,May,03,10.00,2300,2500,2400
2015,May,01,10.00,2400,2500,2450
2014,November,01,10.00,2400,2500,2450
2014,November,04,10.00,2400,2500,2450
2014,December,05,10.00,2400,2500,2450
2015,June,10,10.00,2400,2500,2450
2015,July,12,10.00,2400,2500,2450
2014,October,13,10.00,2400,2500,2450
2015,June,14,10.00,2400,2500,2450
2014,October,17,10.00,2400,2500,2450
2014,November,22,10.00,2400,2500,2450
2014,November,25,10.00,2400,2500,2450
2014,October,25,10.00,2400,2500,2450
2014,October,27,10.00,2400,2500,2450
2014,November,08,10.00,2450,2500,2475
2015,November,11,10.00,2500,2600,2550
2015,May,17,10.00,2500,2600,2550
2014,December,27,10.00,2500,2600,2550
2014,September,09,10.00,2600,2700,2650
2014,September,10,10.00,2600,2700,2650
2015,November,12,10.00,2600,2700,2650
2014,November,23,10.00,2600,2700,2650
2014,September,04,10.00,2700,2800,2750
2014,August,12,10.00,2700,2800,2750
2014,August,13,10.00,2750,2800,2775
2015,December,02,10.00,2800,3100,3000
2014,October,08,10.00,2900,3100,3000
2015,November,18,10.00,3000,3300,3100
2017,December,07,10.00,4700,4800,4750
2015,October,02,10.00,5000,5200,5100
2015,April,15,11.00,1500,1600,1550
2015,April,21,11.00,1700,1800,1750
2015,March,23,11.00,1700,1800,1750
2015,April,25,11.00,1700,1800,1750
2015,April,17,11.00,1900,2000,1950
2015,May,29,11.00,2100,2400,2200
2015,May,25,11.00,2400,2600,2500
2015,April,05,12.00,1400,1500,1450
