year,month,date,arrival,min,max,modal
2014,July,18,10.00,2500,3000,2800
2014,July,17,20.00,2500,3000,2700
2018,November,05,60.00,1900,2200,2000
2022,February,14,75.00,900,1500,1200
2022,February,12,80.00,800,1500,1200
2022,February,27,80.00,800,1600,1200
2022,February,16,80.00,1400,2000,1600
2022,February,18,85.00,900,1800,1400
2022,February,07,90.00,800,1400,1100
2022,February,22,90.00,900,1500,1200
2014,February,21,10.00,1000,1200,1100
2014,February,26,10.00,1200,1400,1300
2014,February,28,15.00,1200,1500,1400
2014,February,11,20.00,500,700,600
2014,February,06,20.00,800,1000,900
2014,February,05,20.00,800,1200,1000
2014,February,15,20.00,1200,1500,1300
2014,January,08,20.00,1800,2000,1900
2014,February,12,25.00,1200,1400,1300
2014,February,24,25.00,1200,1400,1300
2014,February,13,25.00,1400,1500,1450
2014,March,03,25.00,1400,1600,1500
2014,March,01,25.00,1500,1800,1650
2014,February,18,29.00,1000,1200,1100
2014,January,09,30.00,1800,2000,1900
2014,February,07,35.00,600,800,700
2014,February,04,40.00,700,1000,800
2014,January,28,40.00,1000,1200,1100
2014,January,10,40.00,1300,1400,1350
2014,January,06,40.00,1800,2200,2100
2014,January,27,41.00,1300,1400,1350
2014,February,01,45.00,600,800,700
2014,January,29,50.00,900,1200,1050
2014,January,16,50.00,1200,1500,1400
2014,January,13,50.00,1300,1500,1400
2014,January,04,50.00,1600,2000,1800
2014,January,07,50.00,1800,2100,2000
2014,January,17,55.00,1200,1500,1400
2014,January,18,60.00,1200,1500,1300
2014,January,02,75.00,1600,1800,1700
2017,July,12,100.00,2500,3000,3000
2019,June,24,3.00,2800,3000,2900
2019,June,10,3.00,3000,3200,3100
2019,July,22,3.20,3200,3500,3350
2019,June,25,4.00,2700,3000,2850
2019,June,07,4.00,2800,3000,2800
2019,June,15,4.00,2800,3000,2900
2019,June,18,4.00,2800,3000,2900
2019,June,19,4.00,2800,3000,2900
2019,June,11,4.00,2800,3200,3000
2019,June,20,4.00,3000,3200,3100
2019,June,12,4.00,3000,3300,3150
2019,March,15,5.00,800,1500,1150
2019,January,09,5.00,1700,1900,1800
2019,July,09,5.00,2600,2900,2800
2019,July,25,5.00,3200,3500,3300
2019,July,11,6.00,2800,3000,2900
2019,May,30,6.00,3500,3800,3600
2019,July,10,7.00,2600,2900,2750
2019,March,11,8.00,800,1200,1000
2019,March,14,8.00,800,1500,1150
2016,October,20,8.00,2400,2600,2500
2019,July,12,8.00,2800,3000,2900
2019,March,12,9.00,800,1000,900
2019,March,13,9.00,800,1400,1100
2019,March,16,9.00,1100,1200,1150
2019,July,03,9.00,3100,3300,3200
