year,month,date,arrival,min,max,modal
2016,February,03,1.34,9500,10500,10300
2017,January,10,2.69,9500,10500,10200
2014,August,04,8.96,9200,9800,9500
2017,August,03,9.00,8000,10500,10000
2018,July,12,9.00,8500,10500,9800
2016,May,04,9.00,8500,10500,10300
2018,May,15,9.00,8500,10800,9800
2018,September,03,9.00,8700,10800,10200
2018,July,30,9.00,8700,10800,10200
2016,September,01,9.00,9000,10500,10200
2016,August,02,9.00,9000,10500,10200
2016,August,06,9.00,9000,10500,10200
2016,July,06,9.00,9000,10500,10200
2017,May,06,9.00,9000,10500,10200
2016,September,06,9.00,9000,10500,10200
2016,June,07,9.00,9000,10500,10200
2016,August,08,9.00,9000,10500,10200
2016,July,08,9.00,9000,10500,10200
2016,August,11,9.00,9000,10500,10200
2016,July,11,9.00,9000,10500,10200
2016,July,14,9.00,9000,10500,10200
2016,August,15,9.00,9000,10500,10200
2016,August,17,9.00,9000,10500,10200
2016,June,17,9.00,9000,10500,10200
2016,November,19,9.00,9000,10500,10200
2016,November,21,9.00,9000,10500,10200
2016,July,25,9.00,9000,10500,10200
2017,May,26,9.00,9000,10500,10200
2016,August,27,9.00,9000,10500,10200
2016,July,27,9.00,9000,10500,10200
2016,October,27,9.00,9000,10500,10200
2016,July,29,9.00,9000,10500,10200
2016,June,30,9.00,9000,10500,10200
2015,May,01,9.00,9200,9800,9500
2014,September,01,9.00,9200,9800,9500
2015,February,02,9.00,9200,9800,9500
2015,January,02,9.00,9200,9800,9500
2014,June,02,9.00,9200,9800,9500
2014,July,03,9.00,9200,9800,9500
2014,December,04,9.00,9200,9800,9500
2014,July,04,9.00,9200,9800,9500
2014,November,04,9.00,9200,9800,9500
2015,February,05,9.00,9200,9800,9500
2015,May,06,9.00,9200,9800,9500
2014,September,06,9.00,9200,9800,9500
2014,November,07,9.00,9200,9800,9500
2014,August,08,9.00,9200,9800,9500
2014,October,08,9.00,9200,9800,9500
2014,June,09,9.00,9200,9800,9500
2015,March,09,9.00,9200,9800,9500
2014,October,10,9.00,9200,9800,9500
2014,December,11,9.00,9200,9800,9500
2014,July,11,9.00,9200,9800,9500
