year,month,date,arrival,min,max,modal
2018,September,10,5.00,2200,2500,2400
2014,August,18,5.00,2400,2900,2700
2017,November,09,6.00,2300,2500,2400
2019,August,03,10.00,2200,2500,2400
2019,November,06,10.00,2200,2500,2400
2019,July,10,10.00,2200,2500,2400
2019,July,14,10.00,2200,2500,2400
2019,July,15,10.00,2200,2500,2400
2019,January,29,10.00,2200,2500,2400
2017,July,10,10.00,2300,2500,2400
2016,April,04,10.00,2400,2900,2700
2015,June,04,10.00,2400,2900,2700
2014,October,06,10.00,2400,2900,2700
2015,July,07,10.00,2400,2900,2700
2015,June,11,10.00,2400,2900,2700
2014,October,11,10.00,2400,2900,2700
2014,August,13,10.00,2400,2900,2700
2015,July,14,10.00,2400,2900,2700
2015,July,17,10.00,2400,2900,2700
2014,August,19,10.00,2400,2900,2700
2015,February,23,10.00,2400,2900,2700
2015,January,24,10.00,2400,2900,2700
2015,July,25,10.00,2400,2900,2700
2014,October,25,10.00,2400,2900,2700
2014,September,26,10.00,2400,2900,2700
2015,May,27,10.00,2400,2900,2700
2015,May,28,10.00,2400,2900,2700
2014,December,16,15.00,2400,2900,2700
2017,April,01,20.00,2100,2250,2200
2017,February,01,20.00,2100,2250,2200
2017,March,01,20.00,2100,2250,2200
2017,May,01,20.00,2100,2250,2200
2016,December,02,20.00,2100,2250,2200
2017,April,03,20.00,2100,2250,2200
2016,September,03,20.00,2100,2250,2200
2017,April,04,20.00,2100,2250,2200
2017,March,04,20.00,2100,2250,2200
2017,April,05,20.00,2100,2250,2200
2017,January,05,20.00,2100,2250,2200
2016,December,06,20.00,2100,2250,2200
2016,September,06,20.00,2100,2250,2200
2017,April,08,20.00,2100,2250,2200
2017,May,09,20.00,2100,2250,2200
2016,December,10,20.00,2100,2250,2200
2017,May,10,20.00,2100,2250,2200
2017,February,11,20.00,2100,2250,2200
2017,March,11,20.00,2100,2250,2200
2017,April,13,20.00,2100,2250,2200
2017,March,13,20.00,2100,2250,2200
2017,April,14,20.00,2100,2250,2200
2017,January,14,20.00,2100,2250,2200
2016,November,14,20.00,2100,2250,2200
2016,September,14,20.00,2100,2250,2200
2017,April,15,20.00,2100,2250,2200
2016,September,15,20.00,2100,2250,2200
2017,February,16,20.00,2100,2250,2200
2017,April,18,20.00,2100,2250,2200
2016,October,18,20.00,2100,2250,2200
2016,October,19,20.00,2100,2250,2200
2017,April,20,20.00,2100,2250,2200
2017,January,20,20.00,2100,2250,2200
2016,September,20,20.00,2100,2250,2200
2016,December,21,20.00,2100,2250,2200
2017,April,22,20.00,2100,2250,2200
2016,October,22,20.00,2100,2250,2200
2016,September,22,20.00,2100,2250,2200
2017,January,23,20.00,2100,2250,2200
2016,September,23,20.00,2100,2250,2200
2016,December,24,20.00,2100,2250,2200
2017,March,24,20.00,2100,2250,2200
2016,November,24,20.00,2100,2250,2200
2016,September,24,20.00,2100,2250,2200
2017,April,25,20.00,2100,2250,2200
2017,February,25,20.00,2100,2250,2200
2017,March,25,20.00,2100,2250,2200
