year,month,date,arrival,min,max,modal
2014,February,07,5.00,4200,4600,4500
2014,February,01,10.00,4200,4400,4300
2014,January,01,10.00,4200,4400,4300
2014,January,07,10.00,4200,4400,4300
2014,January,16,10.00,4200,4400,4300
2014,January,18,10.00,4200,4400,4300
2014,January,24,10.00,4200,4400,4300
2014,February,26,10.00,4200,4600,4500
2014,January,17,15.00,4200,4400,4300
2014,July,02,5.00,4200,4800,4500
2014,June,19,5.00,4200,4800,4500
2014,June,02,10.00,4200,4500,4400
2014,May,21,10.00,4200,4600,4500
2014,July,04,10.00,4200,4800,4500
2014,July,09,10.00,4200,4800,4500
2014,May,13,10.00,4200,4800,4500
2014,July,14,10.00,4200,4800,4500
2014,June,14,10.00,4200,4800,4500
2014,May,17,10.00,4200,4800,4500
2014,June,24,10.00,4200,4800,4500
2015,February,27,10.00,4200,4800,4500
2014,May,29,10.00,4200,4800,4500
2014,June,30,10.00,4200,4800,4500
2014,April,08,10.00,4200,4800,4600
2014,May,27,10.00,4200,4800,4600
2014,April,15,10.00,4400,4800,4500
2014,April,05,10.00,4500,4800,4600
