year,month,date,arrival,min,max,modal
2014,January,08,9.00,7000,7500,7300
2014,May,30,9.00,7000,7500,7300
2014,April,05,10.00,6000,7500,7200
2014,April,07,10.00,6200,7500,7200
2014,April,08,10.00,6200,7500,7200
2014,April,10,10.00,6200,7500,7300
2014,July,04,10.00,7000,7500,7200
2014,January,21,10.00,7000,7500,7200
2015,February,27,10.00,7000,7500,7200
2014,July,01,10.00,7000,7500,7300
2014,February,07,10.00,7000,7500,7300
2014,January,09,10.00,7000,7500,7300
2014,April,11,10.00,7000,7500,7300
2014,July,11,10.00,7000,7500,7300
2014,March,12,10.00,7000,7500,7300
2014,February,14,10.00,7000,7500,7300
2014,July,14,10.00,7000,7500,7300
2014,April,15,10.00,7000,7500,7300
2014,February,15,10.00,7000,7500,7300
2014,April,16,10.00,7000,7500,7300
2014,May,16,10.00,7000,7500,7300
2014,June,17,10.00,7000,7500,7300
2014,May,19,10.00,7000,7500,7300
2014,June,20,10.00,7000,7500,7300
2014,January,22,10.00,7000,7500,7300
2014,January,24,10.00,7000,7500,7300
2014,June,24,10.00,7000,7500,7300
2014,June,25,10.00,7000,7500,7300
2014,January,26,10.00,7000,7500,7300
2014,June,28,10.00,7000,7500,7300
2014,June,07,10.00,7000,7800,7500
2014,June,10,10.00,7000,7800,7500
2014,June,11,10.00,7000,7800,7500
2014,May,06,15.00,6200,7500,7100
2014,April,09,15.00,6200,7500,7300
2014,May,02,15.00,7000,7500,7300
2014,January,03,15.00,7000,7500,7300
2014,April,14,15.00,7000,7500,7300
2014,April,21,15.00,7000,7500,7300
2014,May,22,15.00,7000,7500,7300
2014,January,27,15.00,7000,7500,7300
2014,May,27,15.00,7000,7500,7300
2014,May,31,15.00,7000,7500,7300
2014,May,17,18.00,7000,7500,7300
2014,April,02,20.00,6000,7500,7200
2014,April,03,20.00,6000,7500,7200
2014,April,04,20.00,6000,7500,7200
2014,July,09,20.00,7000,7300,7200
2014,July,02,20.00,7000,7500,7200
2014,January,16,20.00,7000,7500,7200
2014,January,18,20.00,7000,7500,7200
2014,February,26,20.00,7000,7500,7200
2015,February,26,20.00,7000,7500,7200
2014,February,01,20.00,7000,7500,7300
2014,March,01,20.00,7000,7500,7300
2014,July,03,20.00,7000,7500,7300
2014,March,05,20.00,7000,7500,7300
2014,February,08,20.00,7000,7500,7300
2014,July,08,20.00,7000,7500,7300
2014,June,12,20.00,7000,7500,7300
2014,June,14,20.00,7000,7500,7300
2014,June,18,20.00,7000,7500,7300
2014,April,19,20.00,7000,7500,7300
2014,June,19,20.00,7000,7500,7300
2014,June,21,20.00,7000,7500,7300
2014,May,21,20.00,7000,7500,7300
2014,January,23,20.00,7000,7500,7300
2014,June,23,20.00,7000,7500,7300
2014,May,23,20.00,7000,7500,7300
2014,May,24,20.00,7000,7500,7300
2014,June,26,20.00,7000,7500,7300
2014,June,27,20.00,7000,7500,7300
2014,February,28,20.00,7000,7500,7300
2014,May,28,20.00,7000,7500,7300
2014,May,29,20.00,7000,7500,7300
2014,June,30,20.00,7000,7500,7300
2014,June,03,20.00,7000,7600,7300
2014,June,02,20.00,7000,7600,7500
2014,June,05,20.00,7000,7800,7500
2014,June,06,20.00,7000,7800,7500
2014,June,09,20.00,7000,7800,7500
2014,January,01,30.00,7000,7500,7300
2014,January,17,30.00,7000,7500,7300
2014,March,06,40.00,7000,7500,7300
2014,January,07,40.00,7000,7500,7300
2014,January,10,40.00,7000,7500,7300
2014,January,08,9.00,5400,5800,5600
2014,February,07,10.00,5400,5800,5600
2014,January,09,10.00,5400,5800,5600
2014,March,12,10.00,5400,5800,5600
2014,February,14,10.00,5400,5800,5600
2014,February,15,10.00,5400,5800,5600
2014,January,21,10.00,5400,5800,5600
2014,January,22,10.00,5400,5800,5600
2014,January,24,10.00,5400,5800,5600
2014,January,26,10.00,5400,5800,5600
2014,January,03,15.00,5400,5800,5600
2014,January,27,15.00,5400,5800,5600
2014,February,01,20.00,5400,5800,5600
2014,March,01,20.00,5400,5800,5600
2014,March,05,20.00,5400,5800,5600
2014,February,08,20.00,5400,5800,5600
2014,January,16,20.00,5400,5800,5600
2014,January,18,20.00,5400,5800,5600
2014,January,23,20.00,5400,5800,5600
2014,February,26,20.00,5400,5800,5600
2014,February,28,20.00,5400,5800,5600
2014,January,01,30.00,5400,5800,5600
2014,January,17,30.00,5400,5800,5600
2014,March,06,40.00,5400,5800,5600
2014,January,07,40.00,5400,5800,5600
2014,January,10,40.00,5400,5800,5600
