year,month,date,arrival,min,max,modal
2014,February,28,10.00,7000,7500,7200
2014,January,01,10.00,7000,7500,7300
2014,January,16,10.00,7000,7500,7300
2014,January,18,10.00,7000,7500,7300
2014,February,26,10.00,7000,7500,7300
2014,January,07,20.00,7000,7500,7200
2014,January,10,20.00,7000,7500,7300
2014,January,17,20.00,7000,7500,7300
2014,April,05,5.00,7000,7500,7300
2014,April,15,5.00,7000,7800,7500
2014,May,22,5.00,7200,7800,7500
2014,June,10,5.00,8500,9500,9000
2014,May,15,10.00,7200,7800,7500
2014,May,29,10.00,7200,7800,7500
2014,May,31,10.00,7200,7800,7500
2014,May,19,10.00,7500,7800,7600
2014,June,02,10.00,8500,9500,9000
2014,July,03,10.00,8500,9500,9000
2014,July,04,10.00,8500,9500,9000
2014,June,05,10.00,8500,9500,9000
2014,July,09,10.00,8500,9500,9000
2014,July,14,10.00,8500,9500,9000
2014,June,14,10.00,8500,9500,9000
2014,June,18,10.00,8500,9500,9000
2014,June,26,10.00,8500,9500,9000
2014,June,30,10.00,8500,9500,9000
2014,April,08,20.00,7000,7800,7500
