year,month,date,arrival,min,max,modal
2014,February,11,9.00,1700,1800,1700
2014,January,08,9.00,2300,2500,2400
2014,January,04,18.00,2000,2200,2100
2014,January,22,20.00,1600,1700,1650
2014,January,07,20.00,2200,2300,2250
2014,May,07,25.00,1500,1800,1600
2014,March,03,27.00,1400,1500,1450
2014,May,02,27.00,1550,1800,1600
2014,January,06,29.00,2400,2500,2450
2014,February,19,30.00,1500,1600,1550
2014,January,18,30.00,1600,1700,1650
2022,April,08,40.00,1500,1600,1550
2022,April,30,40.00,1600,1700,1650
2014,February,10,40.00,1650,1750,1700
2014,January,16,60.00,1800,2000,1900
2014,January,30,60.00,1800,2000,1900
2014,February,25,78.00,1500,1800,1600
2014,February,26,80.00,1500,1800,1600
2014,January,17,80.00,2100,2200,2150
2014,January,09,139.00,2500,2700,2600
