year,month,date,arrival,min,max,modal
2022,April,11,10.00,2500,3200,3000
2014,February,07,20.00,800,1100,900
2014,January,23,20.00,900,1200,1000
2014,January,16,20.00,1300,1400,1350
2014,January,02,27.00,1500,1700,1600
2014,February,17,30.00,600,800,700
2014,February,14,30.00,700,900,800
2014,May,07,35.00,1400,1800,1600
2014,January,27,36.00,900,1200,1000
2014,January,30,40.00,700,900,800
2014,February,08,40.00,800,950,850
2022,April,08,40.00,1800,1900,1850
2014,February,13,50.00,700,900,800
2014,January,29,60.00,700,800,750
2014,January,17,60.00,1300,1400,1350
2022,April,30,60.00,1700,2500,2100
2014,February,25,70.00,1000,1200,1100
2014,January,06,78.00,1400,1500,1450
2014,February,11,80.00,800,900,800
2014,March,03,80.00,900,1000,950
2014,March,06,80.00,900,1000,950
2014,January,28,80.00,1000,1200,1100
2014,May,02,80.00,1300,1800,1600
2014,January,01,80.00,1600,1700,1650
2014,February,19,100.00,600,700,650
2014,January,08,100.00,1400,1600,1500
2022,March,17,100.00,1500,1700,1600
2014,February,10,120.00,750,850,800
2014,February,26,120.00,1000,1200,1100
2014,January,04,120.00,1500,1600,1550
2014,January,18,130.00,1400,1500,1400
2014,January,24,140.00,900,1000,950
2014,January,09,169.00,1500,1700,1600
2014,January,22,200.00,1200,1300,1250
2014,January,07,280.00,1500,1600,1550
