year,month,date,arrival,min,max,modal
2014,January,09,2.00,1800,2100,2000
2022,April,30,3.00,3000,3400,3200
2014,February,17,5.00,1100,1300,1200
2014,January,27,5.00,1100,1300,1200
2014,January,16,5.00,1600,1700,1650
2014,January,30,8.00,900,1100,1000
2014,January,24,8.00,1200,1300,1250
2014,January,23,8.00,1200,1500,1400
2014,January,18,8.00,1600,1900,1800
2014,January,06,8.00,1900,2000,1950
2022,April,11,8.00,2200,2600,2500
2014,January,28,8.50,1000,1200,1100
2014,January,08,9.00,1700,1800,1750
2014,February,03,10.00,800,1100,900
2014,February,14,10.00,900,1250,1100
2014,March,01,10.00,1100,1450,1300
2014,February,08,10.00,1200,1400,1300
2014,March,07,10.00,1400,1600,1500
2014,February,26,10.00,1400,1600,1500
2014,January,01,10.00,1900,2000,1950
2014,January,17,10.00,1900,2200,2100
2014,May,02,12.00,1400,1500,1450
2014,May,07,12.00,1400,1700,1600
2022,March,17,12.00,1800,2000,1900
2014,January,07,12.00,2300,2500,2400
2014,January,29,15.00,900,1100,1000
2014,February,07,15.00,1100,1400,1200
2014,March,03,15.00,1400,1500,1450
2014,March,06,15.00,1400,1500,1450
2014,February,28,15.00,1400,1600,1500
2014,February,25,15.00,1500,1700,1600
2014,February,19,20.00,800,1200,1000
2014,January,04,20.00,2000,2200,2100
2014,January,22,25.00,1300,1500,1400
2014,January,02,25.00,2000,2200,2100
