year,month,date,arrival,min,max,modal
2014,August,07,2.00,2100,2200,2150
2014,August,13,12.00,1800,2100,2000
2014,July,25,15.00,1800,1900,1850
2014,July,21,7.00,2800,3000,2900
2014,July,30,6.00,1700,1800,1750
2014,July,26,12.00,2500,2900,2700
2014,August,13,12.00,2600,2800,2700
2014,August,01,10.00,1700,1800,1750
2014,July,21,7.00,2500,2700,2600
2014,July,30,6.00,2800,2900,2850
2014,August,01,10.00,2500,2800,2600
2014,July,25,15.00,2600,2800,2700
2014,July,26,12.00,1700,1800,1750
2014,July,22,12.00,1800,1950,1900
2014,July,15,15.00,3100,3400,3200
2014,August,16,8.00,2500,2600,2550
2014,July,15,15.00,2600,2800,2700
2014,July,23,10.00,2500,2800,2700
2014,July,22,12.00,2500,2600,2550
2014,August,16,8.00,1800,2100,1900
2014,July,23,10.00,1700,1800,1750
2014,July,15,15.00,2000,2200,2100
