year,month,date,arrival,min,max,modal
2014,August,07,2.00,2400,2600,2500
2017,August,25,3.00,2800,3300,3200
2014,August,13,5.00,2400,2600,2500
2014,July,22,5.00,2400,2700,2500
2014,August,04,5.00,2500,2700,2600
2014,July,15,6.00,2400,2600,2500
2014,July,23,6.00,2400,2600,2500
2014,July,26,6.00,2400,2600,2500
2014,August,01,9.00,2400,2600,2500
2014,July,25,9.00,2400,2600,2500
2014,July,21,9.00,2600,2800,2700
2014,July,28,12.00,2400,2600,2500
2017,August,26,2.50,2800,3200,3000
2014,August,16,4.00,2400,2600,2500
2019,September,16,4.00,4000,4500,4400
2014,July,22,5.00,2500,2800,2600
2014,July,15,6.00,2450,2600,2500
2019,September,19,8.00,4000,4500,4400
2014,August,01,9.00,2500,2700,2600
2014,July,21,9.00,2700,2800,2750
2019,September,26,10.00,4500,5200,5100
2014,July,28,12.00,2600,2800,2700
2019,September,30,12.00,5000,5500,5300
2019,September,24,15.00,4000,5000,4800
2014,July,31,2.00,2700,3000,2800
2014,July,30,2.50,3000,3200,3100
