year,month,date,arrival,min,max,modal
2017,May,03,3.00,600,700,650
2019,March,28,3.00,600,700,650
2018,April,30,3.00,1200,1500,1400
2018,April,27,3.00,1300,1400,1350
2018,May,07,3.00,1400,1500,1450
2018,May,08,3.00,1400,1500,1450
2018,May,10,3.00,1400,1500,1450
2019,March,26,3.50,700,800,750
2018,May,04,3.50,1400,1500,1450
2018,May,09,3.50,1400,1500,1450
2019,March,02,4.00,600,700,650
2019,March,04,4.00,600,700,650
2019,March,05,4.00,600,700,650
2019,March,07,4.00,600,700,650
2019,April,10,4.00,600,700,650
2019,March,12,4.00,600,700,650
2019,March,20,4.00,600,700,650
2019,March,25,4.00,600,700,650
2019,February,26,4.00,600,700,650
2017,April,29,4.00,600,700,650
2017,May,02,4.00,600,700,675
2017,April,20,4.00,600,800,750
2017,April,25,4.00,600,800,750
2019,February,01,4.00,700,800,750
2019,January,24,4.00,700,800,750
2019,March,27,4.00,700,800,750
2019,February,28,4.00,700,800,750
2019,January,28,4.00,700,800,750
2019,January,25,4.00,800,900,850
2017,August,25,4.00,800,900,875
2018,April,03,4.00,1000,1100,1050
2018,April,06,4.00,1000,1200,1100
2018,April,18,4.00,1000,1200,1100
2018,April,21,4.00,1000,1200,1100
2018,April,17,4.00,1000,1250,1100
2018,April,09,4.00,1100,1200,1150
2018,April,10,4.00,1100,1200,1150
2018,April,19,4.00,1100,1250,1200
2019,January,03,4.00,1200,1300,1250
2018,May,02,4.00,1200,1400,1300
2018,April,26,4.00,1200,1400,1300
2018,April,28,4.00,1200,1400,1300
2018,May,03,4.00,1400,1500,1450
2018,May,05,4.00,1400,1500,1450
2016,December,19,4.00,1600,1700,1650
2016,December,16,4.00,1700,1800,1750
2019,March,01,4.50,600,700,650
2019,March,08,4.50,600,700,650
2019,February,11,4.50,600,700,650
2019,February,12,4.50,600,700,650
2019,February,16,4.50,600,700,650
2019,February,18,4.50,600,700,650
2019,February,20,4.50,600,700,650
2019,February,22,4.50,600,700,650
2019,February,25,4.50,600,700,650
2019,February,27,4.50,600,700,650
2019,February,14,4.50,600,800,700
2019,February,05,4.50,700,800,750
2019,March,06,4.50,700,800,750
2019,February,07,4.50,700,800,750
2019,February,08,4.50,700,800,750
2016,December,22,4.50,800,900,850
2019,January,22,4.50,800,900,850
2019,January,07,4.50,1000,1200,1100
2018,April,20,4.50,1000,1200,1100
2019,February,21,5.00,600,700,650
2019,February,24,5.00,600,700,650
2017,April,21,5.00,600,800,700
2017,April,27,5.00,600,800,700
2017,April,18,5.00,600,800,750
2017,April,24,5.00,600,800,750
2017,April,28,5.00,600,800,750
2019,February,02,5.00,700,800,750
2019,February,04,5.00,700,800,750
2019,February,13,5.00,700,800,750
2016,December,21,5.00,800,900,850
2016,December,29,5.00,800,900,850
2017,August,26,5.00,800,1000,900
2017,August,28,5.00,800,1000,900
2018,March,27,5.00,900,1000,950
2018,March,31,5.00,1000,1100,1025
2018,April,02,5.00,1000,1100,1050
2018,April,07,5.00,1000,1200,1100
2018,April,14,5.00,1000,1300,1200
2018,April,16,5.00,1000,1300,1200
2018,April,11,5.00,1100,1200,1150
2018,April,13,5.00,1100,1300,1200
2016,December,13,5.00,1300,1400,1350
2016,December,14,5.00,1700,1800,1750
2017,April,13,6.00,600,700,650
2017,April,14,6.00,600,750,700
2017,April,15,6.00,600,750,700
2017,April,22,6.00,600,750,700
2019,February,09,6.00,700,800,750
2016,December,26,6.00,700,800,750
2016,December,28,6.00,800,900,850
2018,January,06,6.00,800,1000,900
2018,January,05,6.00,800,1100,1000
2016,December,20,6.00,900,1000,950
2018,March,23,6.00,900,1000,950
2018,March,30,6.00,900,1000,950
2018,April,12,6.00,1000,1200,1100
2016,December,15,6.00,1200,1400,1300
2018,April,24,6.00,1200,1400,1300
2016,December,17,6.00,1300,1400,1350
2016,December,10,6.00,1600,1700,1650
2017,March,21,7.00,500,1000,800
2017,April,08,7.00,600,700,650
2017,April,12,7.00,600,800,700
2017,April,06,7.00,600,800,750
2017,April,10,7.00,600,800,750
2017,April,26,7.00,600,800,750
2017,March,24,7.00,600,1000,800
2018,March,22,7.00,900,1000,950
2018,March,26,7.00,900,1000,950
2017,March,13,8.00,500,800,600
2017,April,07,8.00,600,700,650
2017,April,01,8.00,600,800,700
2017,March,31,8.00,600,800,700
2017,April,03,8.00,600,800,750
2017,April,05,8.00,600,800,750
2017,April,17,8.00,600,800,750
2017,February,16,8.00,600,1000,800
2017,March,20,8.00,600,1000,800
2017,February,23,8.00,600,1000,800
2019,February,06,8.00,700,800,750
2018,January,08,8.00,800,1000,900
2017,February,18,8.00,800,1000,900
2018,January,09,8.00,800,1200,1100
2018,March,24,8.00,900,1000,950
2018,March,28,8.00,900,1000,950
2018,March,29,8.00,900,1000,950
2017,March,16,9.00,500,800,700
2017,March,17,9.00,500,1000,700
2017,March,23,9.00,500,1000,800
2017,April,04,9.00,600,800,750
2017,March,28,9.00,600,1000,800
2017,March,18,10.00,500,1000,800
2017,April,11,10.00,600,800,750
2017,March,27,10.00,600,1000,800
2018,February,26,10.00,700,800,750
2018,March,05,10.00,800,900,850
2018,March,09,10.00,800,900,850
