year,month,date,arrival,min,max,modal
2019,January,07,3.00,300,400,350
2019,January,03,4.00,1200,1300,1250
2019,January,05,4.50,1400,1500,1450
2019,January,10,5.00,1500,1600,1550
2017,December,22,5.00,1500,1700,1600
2017,April,27,6.00,1000,1400,1200
2019,January,18,6.00,1200,1300,1250
2019,January,21,8.00,1200,1300,1250
2018,May,05,20.00,300,400,350
2017,March,17,1.20,800,1000,900
2018,December,20,2.00,1800,2000,1900
2017,July,01,2.00,1800,2200,2000
2018,December,18,2.00,2000,2200,2100
2017,June,30,2.00,2000,2200,2100
2017,June,24,2.50,1800,2000,1900
2017,June,29,2.50,1800,2000,1900
2017,June,27,2.50,2400,2500,2450
2017,May,25,3.00,900,1000,950
2017,June,08,3.00,1200,1400,1300
2017,June,09,3.00,1200,1400,1300
2017,June,10,3.00,1200,1500,1400
2018,December,26,3.00,1600,1800,1700
2016,December,14,3.00,1700,1800,1750
2017,June,20,3.00,1700,1800,1750
2017,June,23,3.00,1800,2000,1900
2017,July,03,3.00,2000,2400,2300
2017,May,06,3.00,2200,2300,2250
2019,October,21,3.00,3000,3200,3100
2017,May,27,3.50,800,1000,900
2017,May,15,3.50,1400,1600,1500
2017,June,22,3.50,1700,1800,1750
2017,May,08,3.50,2100,2200,2150
2017,May,10,3.50,2200,2300,2250
2017,May,18,4.00,800,1000,900
2017,May,29,4.00,800,1000,900
2017,May,30,4.00,800,1000,900
2017,April,20,4.00,1000,1200,1100
2017,April,26,4.00,1000,1300,1200
2017,June,02,4.00,1200,1400,1300
2017,June,07,4.00,1200,1400,1300
2018,December,29,4.00,1200,1400,1300
2017,June,13,4.00,1400,1500,1450
2018,December,28,4.00,1400,1500,1450
2017,June,01,4.00,1400,1600,1500
2017,May,16,4.00,1400,1600,1500
2018,December,27,4.00,1400,1600,1500
2017,May,05,4.00,1500,2000,1800
2018,December,24,4.00,1600,1700,1650
2017,June,21,4.00,1700,1800,1750
2017,May,03,4.00,1800,2000,1900
2017,May,04,4.00,1800,2000,1900
2017,December,27,4.00,1800,2000,1900
2017,May,11,4.00,2000,2200,2100
2018,June,15,4.00,2200,2500,2400
2017,May,19,4.50,700,900,800
2017,May,23,4.50,800,1000,900
2017,May,26,4.50,1000,1200,1100
2017,June,19,4.50,2000,2200,2100
2017,May,20,5.00,800,1000,900
2017,May,22,5.00,800,1000,900
2017,May,24,5.00,800,1000,900
2017,April,25,5.00,800,1000,900
2018,January,24,5.00,900,1000,950
2017,April,06,5.00,1000,1200,1100
2017,May,17,5.00,1000,1200,1100
2017,April,22,5.00,1000,1300,1200
2017,April,28,5.00,1000,1500,1400
2017,April,24,5.00,1200,1400,1300
2018,January,05,5.00,1200,1500,1400
2017,June,03,5.00,1300,1400,1350
2017,June,05,5.00,1300,1400,1350
2017,June,14,5.00,1300,1400,1350
2017,June,15,5.00,1300,1400,1350
2019,January,09,5.00,1400,1500,1450
2017,June,12,5.00,1600,1800,1700
2018,June,14,5.00,2200,2400,2300
2019,October,28,5.00,3000,3200,3100
2017,April,14,6.00,800,1200,1000
2017,April,04,6.00,800,1200,1100
2017,April,21,6.00,1000,1200,1100
2017,May,02,6.00,1000,1500,1400
2017,April,29,6.00,1000,1500,1400
2017,April,18,6.00,1200,1400,1300
2019,January,14,6.00,1400,1500,1450
2017,June,06,6.00,1400,1600,1500
2017,April,11,6.00,1400,1600,1500
2018,June,13,6.00,2000,2200,2100
2017,March,13,7.00,700,1000,800
2017,February,01,7.00,800,900,850
2017,April,01,7.00,1000,1200,1100
2017,April,10,7.00,1000,1500,1400
2017,April,12,7.00,1400,1600,1500
2017,April,13,7.00,1400,1600,1500
2018,January,09,7.00,1600,1700,1650
2017,February,23,8.00,500,700,600
2017,March,07,8.00,600,700,650
2017,April,15,8.00,700,1200,1000
2017,April,03,8.00,800,1200,1000
2017,April,17,8.00,800,1200,1000
2017,March,24,8.00,800,1200,1000
2017,March,25,8.00,800,1200,1000
2017,April,05,8.00,1000,1200,1100
2017,April,08,8.00,1000,1400,1200
2017,April,07,8.00,1200,1400,1300
2018,January,08,8.00,1600,1800,1700
2018,June,02,8.00,1700,1800,1750
2018,June,12,8.00,2500,2600,2550
2017,March,23,10.00,800,1200,1000
2018,May,25,10.00,1000,1150,1100
2018,January,10,10.00,1000,1200,1100
2019,January,22,10.00,1000,1200,1100
2018,May,24,10.00,1200,1300,1250
2017,March,28,11.00,1000,1200,1100
2017,March,30,11.00,1000,1200,1100
2017,March,31,11.00,1000,1200,1100
2017,March,29,11.00,1000,1400,1200
2018,January,16,11.00,1200,1400,1300
2017,February,27,12.00,400,700,600
2017,March,06,12.00,500,600,550
2017,March,08,12.00,500,600,550
2017,March,16,12.00,500,800,700
2017,February,24,12.00,500,800,700
2017,February,04,12.00,600,800,700
2017,March,14,12.00,600,800,700
2017,March,21,12.00,800,1000,900
2019,January,24,12.00,1000,1200,1100
2017,March,27,12.00,1200,1400,1300
2018,January,11,12.00,1400,1600,1500
2018,January,20,12.00,1400,1600,1500
2018,January,13,12.00,1400,1700,1600
2018,January,17,12.00,1700,1900,1800
2019,January,25,12.50,1000,1200,1100
2019,January,28,12.50,1000,1200,1100
2017,March,10,13.00,500,600,550
2017,February,20,13.00,500,700,600
2017,March,15,13.00,500,800,700
2017,March,18,13.00,800,1000,900
2018,January,19,13.00,1200,1400,1300
2018,January,12,13.00,1400,1600,1500
2018,January,15,13.00,1500,1700,1600
2018,February,28,14.00,400,500,450
2018,February,19,14.00,400,550,500
2017,March,03,14.00,500,600,550
2017,February,16,14.00,500,800,700
2018,February,15,14.00,600,700,650
2017,February,10,14.00,600,800,700
2018,February,08,14.00,700,800,750
2018,February,06,14.00,800,900,850
2018,March,05,15.00,200,500,400
2018,February,17,15.00,400,500,450
2018,February,20,15.00,400,500,450
2017,March,01,15.00,500,600,550
2017,March,02,15.00,500,600,550
2017,March,09,15.00,500,600,550
2018,February,14,15.00,500,600,550
2017,February,18,15.00,500,600,550
2017,February,25,15.00,500,600,600
2017,March,04,15.00,500,700,600
2017,March,11,15.00,500,700,600
2018,May,12,15.00,500,700,600
2017,February,15,15.00,500,700,600
2017,February,28,15.00,500,700,600
2018,February,10,15.00,600,800,700
2018,February,12,15.00,600,800,700
2019,February,24,15.00,600,800,700
2019,February,28,15.00,600,800,700
2018,February,03,15.00,700,800,750
2018,February,07,15.00,700,800,750
2018,February,13,15.00,700,800,750
2019,February,21,15.00,700,800,750
2017,February,13,15.00,700,900,800
2018,May,17,15.00,800,1000,900
2017,March,20,15.00,800,1000,900
2018,May,19,15.00,1000,1200,1100
2019,March,04,15.00,1100,1200,1150
2019,February,01,15.00,1200,1300,1250
2018,January,29,15.00,1200,1300,1250
2018,May,28,15.00,1400,1500,1450
2018,May,30,15.00,1400,1500,1450
2019,March,27,15.00,1500,2000,1800
2018,January,18,15.00,1600,1700,1650
2018,January,22,15.00,1600,1700,1650
2019,March,12,15.00,1700,1800,1750
2019,March,20,15.00,1700,1800,1750
2019,March,07,15.00,1800,1900,1850
2019,April,10,15.00,1800,1900,1850
2019,March,28,15.00,1800,2000,1900
2019,March,25,15.00,2000,2200,2100
2019,February,11,16.00,500,600,550
2017,February,14,16.00,500,600,550
2017,February,17,16.00,500,700,600
2019,February,04,16.00,600,700,650
2018,February,09,16.00,600,700,650
2018,February,16,16.00,600,700,650
2018,January,30,16.00,600,800,700
2018,February,01,16.00,700,800,750
2019,March,01,16.00,700,800,750
2019,February,06,16.00,700,800,750
2019,February,08,16.00,700,800,750
2019,February,02,16.00,1000,1100,1050
2019,March,05,16.00,1400,1500,1450
2019,March,08,16.00,1700,1800,1750
2019,March,26,16.00,1700,1800,1750
2019,February,09,17.00,600,800,700
2019,March,02,17.00,700,800,750
2019,February,07,17.00,700,800,750
2018,February,05,17.00,1200,1400,1300
2019,March,06,17.00,1700,1800,1750
2018,April,25,17.50,300,400,350
2019,February,25,17.50,600,700,650
2018,April,30,18.00,300,500,400
2018,March,06,18.00,300,600,500
