year,month,date,arrival,min,max,modal
2015,March,05,0.20,2200,2600,2310
2014,August,11,0.30,2210,2600,2310
2015,October,14,0.40,2200,2600,2310
2015,February,21,0.50,2200,2600,2310
2014,August,02,0.50,2210,2600,2310
2014,September,05,0.60,2200,2600,2310
2014,September,08,0.60,2200,2600,2310
2015,November,05,0.60,2200,2600,2400
2015,November,20,0.60,2200,2600,2400
2015,November,22,0.60,2200,2600,2400
2014,September,24,0.70,2200,2600,2310
2014,August,10,0.70,2210,2600,2310
2015,May,06,0.80,2200,2600,2310
2015,February,11,0.80,2200,2600,2310
2014,August,28,0.80,2200,2600,2310
2015,December,03,0.80,2200,2600,2400
2015,November,18,0.80,2200,2600,2400
2015,October,23,0.80,2200,2600,2400
2014,August,07,0.80,2210,2600,2310
2015,October,09,0.90,2200,2600,2310
2014,September,22,0.90,2200,2600,2310
2015,May,23,1.00,2200,2600,2310
2015,June,24,1.00,2200,2600,2310
2015,April,29,1.00,2200,2600,2310
2015,November,04,1.00,2200,2600,2400
2015,December,14,1.00,2200,2600,2400
2015,November,19,1.00,2200,2600,2400
2015,November,27,1.00,2200,2600,2400
2014,August,09,1.00,2210,2600,2310
2014,September,04,1.10,2200,2600,2310
2015,April,24,1.10,2200,2600,2310
2015,May,27,1.10,2200,2600,2310
2015,December,02,1.10,2200,2600,2400
2015,November,14,1.10,2200,2600,2400
2015,June,04,1.20,2200,2600,2310
2015,February,17,1.20,2200,2600,2310
2015,February,20,1.20,2200,2600,2310
2014,August,27,1.20,2200,2600,2310
2015,October,15,1.20,2200,2600,2400
2015,May,29,1.30,2200,2600,2310
2015,November,03,1.30,2200,2600,2400
2015,November,23,1.30,2200,2600,2400
2015,June,10,1.40,2200,2600,2310
2014,October,11,1.40,2200,2600,2310
2016,January,03,1.40,2200,2600,2400
2015,November,24,1.40,2200,2600,2400
2014,September,06,1.50,2200,2600,2310
2015,November,12,1.50,2200,2600,2400
2015,October,16,1.50,2200,2600,2400
2015,October,31,1.50,2200,2600,2400
2014,August,22,1.50,2210,2600,2310
2015,December,04,1.60,2200,2600,2400
2015,December,16,1.60,2200,2600,2400
2015,November,25,1.60,2200,2600,2400
2015,November,28,1.60,2200,2600,2400
2014,August,23,1.70,2200,2600,2310
2014,October,29,1.70,2200,2600,2310
2014,September,30,1.70,2200,2600,2310
2015,October,28,1.70,2200,2600,2400
2015,December,29,1.70,2200,2600,2400
2015,June,02,1.80,2200,2600,2310
2014,September,03,1.80,2200,2600,2310
2014,October,13,1.80,2200,2600,2310
2014,September,16,1.80,2200,2600,2310
2014,August,25,1.80,2200,2600,2310
2015,December,07,1.80,2200,2600,2400
2015,December,30,1.80,2200,2600,2400
2015,June,30,1.90,2200,2600,2310
2015,December,31,1.90,2200,2600,2400
2015,September,11,2.00,2200,2600,2310
2015,January,17,2.00,2200,2600,2310
2014,August,26,2.00,2200,2600,2310
2015,May,26,2.00,2200,2600,2310
2014,August,29,2.00,2200,2600,2310
2016,July,03,2.00,2200,2600,2400
2016,January,06,2.00,2200,2600,2400
2016,November,10,2.00,2200,2600,2400
2015,October,17,2.00,2200,2600,2400
2016,June,21,2.00,2200,2600,2400
2015,November,21,2.00,2200,2600,2400
2016,June,26,2.00,2200,2600,2400
2016,January,27,2.00,2200,2600,2400
2016,January,28,2.00,2200,2600,2400
2015,November,30,2.00,2200,2600,2400
2015,June,23,2.10,2200,2600,2310
2015,November,16,2.10,2200,2600,2400
2015,October,22,2.10,2200,2600,2400
2015,October,30,2.10,2200,2600,2400
2016,July,04,2.20,2200,2600,2400
2016,June,25,2.20,2200,2600,2400
2015,November,26,2.20,2200,2600,2400
2015,October,07,2.30,2200,2600,2310
2015,April,21,2.30,2200,2600,2310
2016,June,28,2.30,2200,2600,2400
2014,October,14,2.40,2200,2600,2310
2016,June,23,2.40,2200,2600,2400
2016,June,24,2.40,2200,2600,2400
2016,June,27,2.40,2200,2600,2400
2016,October,27,2.40,2200,2600,2400
2016,June,29,2.40,2200,2600,2400
2015,February,16,2.50,2200,2600,2310
2015,November,02,2.50,2200,2600,2400
2016,September,06,2.50,2200,2600,2400
2016,July,07,2.50,2200,2600,2400
2016,March,08,2.50,2200,2600,2400
2016,March,12,2.50,2200,2600,2400
2016,October,13,2.50,2200,2600,2400
2016,July,15,2.50,2200,2600,2400
2016,September,16,2.50,2200,2600,2400
2016,July,18,2.50,2200,2600,2400
2015,October,19,2.50,2200,2600,2400
2016,July,21,2.50,2200,2600,2400
2016,August,22,2.50,2200,2600,2400
2016,January,25,2.50,2200,2600,2400
2015,October,26,2.50,2200,2600,2400
2015,October,08,2.60,2200,2600,2310
2016,March,01,2.60,2200,2600,2400
2016,March,03,2.60,2200,2600,2400
2015,November,13,2.60,2200,2600,2400
2016,February,15,2.60,2200,2600,2400
2016,February,24,2.60,2200,2600,2400
2016,September,07,2.70,2200,2600,2400
2016,July,10,2.70,2200,2600,2400
2016,April,13,2.70,2200,2600,2400
2016,July,23,2.70,2200,2600,2400
2016,September,23,2.70,2200,2600,2400
2016,September,26,2.70,2200,2600,2400
2016,February,28,2.70,2200,2600,2400
2016,March,02,2.80,2200,2600,2400
2016,September,05,2.80,2200,2600,2400
2016,March,07,2.80,2200,2600,2400
2016,September,08,2.80,2200,2600,2400
2016,April,09,2.80,2200,2600,2400
2016,July,09,2.80,2200,2600,2400
2016,April,12,2.80,2200,2600,2400
2016,July,12,2.80,2200,2600,2400
2016,February,16,2.80,2200,2600,2400
2016,July,16,2.80,2200,2600,2400
2016,February,18,2.80,2200,2600,2400
2016,July,20,2.80,2200,2600,2400
2016,February,22,2.80,2200,2600,2400
2016,July,22,2.80,2200,2600,2400
2016,August,23,2.80,2200,2600,2400
2016,February,25,2.80,2200,2600,2400
2016,March,25,2.80,2200,2600,2400
2016,February,29,2.80,2200,2600,2400
2016,July,31,2.80,2200,2600,2400
2016,November,04,2.90,2200,2600,2400
2016,April,11,2.90,2200,2600,2400
2016,January,11,2.90,2200,2600,2400
2016,September,11,2.90,2200,2600,2400
2016,March,13,2.90,2200,2600,2400
2016,April,17,2.90,2200,2600,2400
2016,September,19,2.90,2200,2600,2400
2016,February,21,2.90,2200,2600,2400
2016,May,22,2.90,2200,2600,2400
2016,April,23,2.90,2200,2600,2400
2016,March,23,2.90,2200,2600,2400
2016,August,25,2.90,2200,2600,2400
2016,February,26,2.90,2200,2600,2400
2016,March,27,2.90,2200,2600,2400
2015,January,10,3.00,2200,2600,2310
2014,October,24,3.00,2200,2600,2310
2016,August,01,3.00,2200,2600,2400
2016,March,04,3.00,2200,2600,2400
2016,April,06,3.00,2200,2600,2400
2016,March,06,3.00,2200,2600,2400
2015,November,06,3.00,2200,2600,2400
2016,July,08,3.00,2200,2600,2400
2016,April,10,3.00,2200,2600,2400
2016,July,11,3.00,2200,2600,2400
2016,September,12,3.00,2200,2600,2400
2016,April,14,3.00,2200,2600,2400
2016,March,14,3.00,2200,2600,2400
2016,August,16,3.00,2200,2600,2400
2016,February,17,3.00,2200,2600,2400
2016,June,18,3.00,2200,2600,2400
2016,July,19,3.00,2200,2600,2400
2016,March,19,3.00,2200,2600,2400
2016,June,20,3.00,2200,2600,2400
2016,February,23,3.00,2200,2600,2400
2016,July,25,3.00,2200,2600,2400
2016,August,26,3.00,2200,2600,2400
