year,month,date,arrival,min,max,modal
2014,June,05,0.10,1730,1930,1830
2014,June,06,0.10,1730,1930,1830
2014,June,09,0.10,1730,1930,1830
2014,June,10,0.10,1730,1930,1830
2014,June,11,0.10,1730,1930,1830
2014,June,12,0.10,1730,1930,1830
2014,June,16,1.30,1730,1930,1830
2014,June,26,1.50,1730,1930,1830
2014,June,21,1.60,1730,1930,1830
2014,June,18,2.00,1730,1930,1830
2014,June,30,2.00,1730,1930,1830
2014,July,18,2.10,1730,1930,1830
2014,June,17,2.30,1730,1930,1830
2014,July,02,2.50,1730,1930,1830
2014,June,23,2.50,1730,1930,1830
2014,June,25,2.50,1730,1930,1830
2014,June,24,2.70,1730,1930,1830
2016,February,23,2.90,1900,2100,2000
2014,July,01,3.50,1730,1930,1830
2016,January,01,0.20,1900,2100,2000
2014,September,05,0.20,1900,2100,2000
2014,August,02,0.30,1730,1930,1830
2015,March,05,0.30,1900,2100,2000
2015,February,11,0.30,1900,2100,2000
2015,November,11,0.30,1900,2100,2000
2014,August,10,0.40,1730,1930,1830
2014,August,23,0.40,1900,2100,2000
2015,May,23,0.40,1900,2100,2000
2014,July,19,0.50,1730,1930,1830
2015,October,09,0.50,1900,2100,2000
2014,October,11,0.50,1900,2100,2000
2015,April,29,0.50,1900,2100,2000
2014,August,29,0.50,1900,2100,2000
2014,October,03,0.50,2200,2600,2310
2014,August,11,0.60,1730,1930,1830
2014,August,13,0.60,1900,2100,2000
2015,October,16,0.60,1900,2100,2000
2014,September,04,0.70,1900,2100,2000
2015,March,06,0.70,1900,2100,2000
2015,May,06,0.70,1900,2100,2000
2015,June,01,0.70,1990,2100,2000
2014,August,07,0.80,1730,1930,1830
2015,July,04,0.80,1900,2100,2000
2015,June,04,0.80,1900,2100,2000
2014,September,06,0.80,1900,2100,2000
2015,February,16,0.80,1900,2100,2000
2015,February,21,0.80,1900,2100,2000
2015,April,24,0.80,1900,2100,2000
2014,September,24,0.80,1900,2100,2000
2015,November,04,0.90,1900,2100,2000
2015,October,14,0.90,1900,2100,2000
2015,November,18,0.90,1900,2100,2000
2015,October,22,0.90,1900,2100,2000
2014,October,01,1.00,1900,2100,2000
2015,December,02,1.00,1900,2100,2000
2015,September,11,1.00,1900,2100,2000
2015,October,21,1.00,1900,2100,2000
2015,November,22,1.00,1900,2100,2000
2014,August,27,1.00,1900,2100,2000
2015,May,27,1.00,1900,2100,2000
2015,October,28,1.00,1900,2100,2000
2015,May,29,1.00,1900,2100,2000
2015,December,03,1.10,1900,2100,2000
2015,October,24,1.10,1900,2100,2000
2014,August,09,1.20,1730,1930,1830
2015,November,23,1.20,1900,2100,2000
2015,November,14,1.20,2200,2600,2400
2014,October,13,1.30,1900,2100,2000
2015,October,15,1.30,1900,2100,2000
2015,October,26,1.30,1900,2100,2000
2014,August,25,1.40,1900,2100,2000
2018,April,07,1.40,2400,2600,2500
2015,November,06,1.50,1900,2100,2000
