year,month,date,arrival,min,max,modal
2014,June,07,0.10,8500,9000,8700
2014,June,10,0.10,8500,9000,8700
2014,June,11,0.10,8500,9000,8700
2014,June,12,0.10,8500,9000,8700
2014,June,06,0.10,8700,9700,9600
2014,June,27,0.20,8500,9000,8700
2014,June,30,0.20,8500,9000,8700
2014,July,02,0.30,8500,9000,8700
2014,June,18,0.30,8500,9000,8700
2014,June,23,0.40,8500,9000,8700
2014,June,25,0.50,8700,9700,9600
2014,June,16,0.60,8700,9700,9600
2014,July,01,0.70,8500,9000,8700
2014,June,24,0.90,8700,9700,9600
