year,month,date,arrival,min,max,modal
2015,November,03,0.12,9000,11000,9500
2015,November,06,0.12,9600,10200,9800
2015,November,17,0.15,9000,10500,9500
2015,November,27,0.15,9700,10500,9900
2015,November,07,0.21,9500,10400,9800
2014,July,18,0.22,8200,9000,8700
2015,November,11,0.22,9500,10400,9800
2015,August,14,0.30,8200,8700,8700
2015,August,20,0.30,8200,9000,8700
2015,September,28,0.30,8400,9000,8800
2015,September,10,0.30,8400,9200,8700
2015,August,31,0.30,8400,9200,8800
2015,September,04,0.30,8500,9200,8900
2015,August,28,0.30,8500,9800,9500
2015,September,07,0.30,8600,9400,8800
2015,November,20,0.30,9500,10400,9800
2015,November,26,0.30,9500,10500,9800
2015,November,16,0.30,9500,10600,9800
2015,October,15,0.30,9800,10200,10000
2015,December,09,0.36,9000,11000,9600
2015,September,17,0.37,8400,9200,8800
2015,August,25,0.37,8400,9200,8800
2015,August,29,0.37,8500,9200,8600
2015,November,09,0.37,9500,10200,9800
2016,March,15,0.42,9900,10200,10100
2015,October,01,0.45,8400,9000,8800
2015,September,30,0.45,8500,9000,8900
2015,October,13,0.45,9500,9800,9600
2016,March,14,0.60,8700,10100,9600
2014,September,11,0.60,9000,10000,9500
2014,July,31,0.60,9000,10000,9500
2015,August,06,0.75,8130,9000,8400
2014,August,08,0.75,9000,10000,9500
2015,July,03,0.90,8000,9500,9000
2016,June,17,0.90,9800,10100,9900
2016,June,03,1.19,900,1000,980
2017,November,01,1.79,8000,9500,9000
2014,June,21,2.00,8500,9000,8600
2014,July,10,8.00,8000,8200,8100
2014,June,26,8.00,8000,8200,8100
2014,April,09,10.00,8000,9000,8500
2014,May,31,20.00,8000,9500,9000
2014,May,28,23.00,8000,9500,9000
2014,June,11,40.00,8000,9500,9000
2014,June,12,40.00,8000,9500,9000
2014,May,27,40.00,8000,9500,9000
2014,May,29,40.00,8200,9500,9000
2014,June,13,50.00,8000,9500,9000
2014,June,17,50.00,8000,9500,9000
2014,June,18,60.00,8000,9500,9000
